uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502469080.11, 1502469082.18, 1502469082.18, 1502469112.96, 1502469112.97, 1502469115.05, 1502469115.05,1502469117.04, 1502469245.84, 1502469245.89, 1502469245.89, 1502469248.16, 1502469248.26
unit.000001, stage_1, 1502469080.11, 1502469082.59, 1502469082.59, 1502469112.99, 1502469112.99, 1502469115.08, 1502469115.08,1502469117.22, 1502469251.93, 1502469251.93, 1502469251.94, 1502469252.98, 1502469253.08
unit.000002, stage_1, 1502469080.11, 1502469081.56, 1502469081.56, 1502469112.94, 1502469112.94, 1502469115.02, 1502469115.03,1502469116.87, 1502469245.82, 1502469245.86, 1502469245.87, 1502469247.74, 1502469247.85
unit.000003, stage_1, 1502469080.11, 1502469081.97, 1502469081.97, 1502469112.96, 1502469112.96, 1502469115.04, 1502469115.05,1502469117.0, 1502469245.82, 1502469245.87, 1502469245.87, 1502469248.1, 1502469248.2
unit.000004, stage_1, 1502469080.11, 1502469082.37, 1502469082.37, 1502469112.97, 1502469112.97, 1502469115.06, 1502469115.06,1502469117.1, 1502469250.12, 1502469250.13, 1502469250.13, 1502469251.61, 1502469251.71
unit.000005, stage_1, 1502469080.11, 1502469082.57, 1502469082.57, 1502469112.98, 1502469112.99, 1502469115.07, 1502469115.07,1502469117.17, 1502469250.33, 1502469250.33, 1502469250.33, 1502469251.82, 1502469251.92
unit.000006, stage_1, 1502469080.11, 1502469081.76, 1502469081.76, 1502469112.95, 1502469112.96, 1502469115.04, 1502469115.04,1502469116.95, 1502469245.85, 1502469245.91, 1502469245.91, 1502469247.95, 1502469248.05
unit.000007, stage_1, 1502469080.11, 1502469082.38, 1502469082.38, 1502469112.98, 1502469112.98, 1502469115.06, 1502469115.07,1502469117.13, 1502469250.13, 1502469250.14, 1502469250.14, 1502469251.68, 1502469251.78
unit.000008, stage_1, 1502469080.11, 1502469081.76, 1502469081.76, 1502469112.95, 1502469112.95, 1502469115.03, 1502469115.03,1502469116.91, 1502469245.73, 1502469245.74, 1502469245.75, 1502469247.9, 1502469248.0
unit.000009, stage_1, 1502469080.11, 1502469081.35, 1502469081.35, 1502469112.91, 1502469112.91, 1502469114.99, 1502469114.99,1502469116.66, 1502469245.83, 1502469245.88, 1502469245.88, 1502469247.29, 1502469247.39
unit.000010, stage_1, 1502469080.11, 1502469082.17, 1502469082.17, 1502469112.93, 1502469112.94, 1502469115.02, 1502469115.02,1502469116.83, 1502469245.83, 1502469245.88, 1502469245.89, 1502469247.7, 1502469247.8
