stage, pipeline, probe,timestamp

stage_1,pipeline_1,start_time,2017-08-21 15:32:38.459053
stage_1,pipeline_1,wait_time,2017-08-21 15:32:38.482148
stage_1,pipeline_1,res_time,2017-08-21 15:52:25.955075
stage_1,pipeline_1,done_time,2017-08-21 15:52:25.955161
stage_1,pipeline_2,start_time,2017-08-21 15:32:38.461549
stage_1,pipeline_2,wait_time,2017-08-21 15:32:38.482154
stage_1,pipeline_2,res_time,2017-08-21 15:52:28.801797
stage_1,pipeline_2,done_time,2017-08-21 15:52:28.801884
stage_1,pipeline_3,start_time,2017-08-21 15:32:38.463462
stage_1,pipeline_3,wait_time,2017-08-21 15:32:38.482157
stage_1,pipeline_3,res_time,2017-08-21 15:52:43.491497
stage_1,pipeline_3,done_time,2017-08-21 15:52:43.491580
stage_1,pipeline_4,start_time,2017-08-21 15:32:38.464461
stage_1,pipeline_4,wait_time,2017-08-21 15:32:38.482160
stage_1,pipeline_4,res_time,2017-08-21 15:52:24.527824
stage_1,pipeline_4,done_time,2017-08-21 15:52:24.527896
stage_1,pipeline_5,start_time,2017-08-21 15:32:38.465096
stage_1,pipeline_5,wait_time,2017-08-21 15:32:38.482162
stage_1,pipeline_5,res_time,2017-08-21 15:52:42.760708
stage_1,pipeline_5,done_time,2017-08-21 15:52:42.760786
stage_1,pipeline_6,start_time,2017-08-21 15:32:38.465727
stage_1,pipeline_6,wait_time,2017-08-21 15:32:38.482165
stage_1,pipeline_6,res_time,2017-08-21 15:52:31.667299
stage_1,pipeline_6,done_time,2017-08-21 15:52:31.667380
stage_1,pipeline_7,start_time,2017-08-21 15:32:38.466542
stage_1,pipeline_7,wait_time,2017-08-21 15:32:38.482167
stage_1,pipeline_7,res_time,2017-08-21 15:52:32.388506
stage_1,pipeline_7,done_time,2017-08-21 15:52:32.388536
stage_1,pipeline_8,start_time,2017-08-21 15:32:38.467190
stage_1,pipeline_8,wait_time,2017-08-21 15:32:38.482170
stage_1,pipeline_8,res_time,2017-08-21 15:52:30.237261
stage_1,pipeline_8,done_time,2017-08-21 15:52:30.237338
stage_1,pipeline_9,start_time,2017-08-21 15:32:38.467792
stage_1,pipeline_9,wait_time,2017-08-21 15:32:38.482173
stage_1,pipeline_9,res_time,2017-08-21 15:52:39.978279
stage_1,pipeline_9,done_time,2017-08-21 15:52:39.978363
stage_1,pipeline_10,start_time,2017-08-21 15:32:38.468400
stage_1,pipeline_10,wait_time,2017-08-21 15:32:38.482175
stage_1,pipeline_10,res_time,2017-08-21 15:52:26.665562
stage_1,pipeline_10,done_time,2017-08-21 15:52:26.665643
stage_1,pipeline_11,start_time,2017-08-21 15:32:38.469005
stage_1,pipeline_11,wait_time,2017-08-21 15:32:38.482178
stage_1,pipeline_11,res_time,2017-08-21 15:52:37.934657
stage_1,pipeline_11,done_time,2017-08-21 15:52:37.934723
stage_1,pipeline_12,start_time,2017-08-21 15:32:38.469614
stage_1,pipeline_12,wait_time,2017-08-21 15:32:38.482180
stage_1,pipeline_12,res_time,2017-08-21 15:52:21.664667
stage_1,pipeline_12,done_time,2017-08-21 15:52:21.664694
stage_1,pipeline_13,start_time,2017-08-21 15:32:38.470218
stage_1,pipeline_13,wait_time,2017-08-21 15:32:38.482183
stage_1,pipeline_13,res_time,2017-08-21 15:52:42.046460
stage_1,pipeline_13,done_time,2017-08-21 15:52:42.046543
stage_1,pipeline_14,start_time,2017-08-21 15:32:38.470833
stage_1,pipeline_14,wait_time,2017-08-21 15:32:38.482185
stage_1,pipeline_14,res_time,2017-08-21 15:52:38.646355
stage_1,pipeline_14,done_time,2017-08-21 15:52:38.646437
stage_1,pipeline_15,start_time,2017-08-21 15:32:38.471443
stage_1,pipeline_15,wait_time,2017-08-21 15:32:38.482188
stage_1,pipeline_15,res_time,2017-08-21 15:52:22.373801
stage_1,pipeline_15,done_time,2017-08-21 15:52:22.373866
stage_1,pipeline_16,start_time,2017-08-21 15:32:38.472135
stage_1,pipeline_16,wait_time,2017-08-21 15:32:38.482190
stage_1,pipeline_16,res_time,2017-08-21 15:52:23.096990
stage_1,pipeline_16,done_time,2017-08-21 15:52:23.097071
stage_1,pipeline_17,start_time,2017-08-21 15:32:38.472751
stage_1,pipeline_17,wait_time,2017-08-21 15:32:38.482193
stage_1,pipeline_17,res_time,2017-08-21 15:52:23.812714
stage_1,pipeline_17,done_time,2017-08-21 15:52:23.812791
