uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done
unit.000027, stage_1, 1503322358.51, 1503322361.65, 1503322361.65, 1503322402.04, 1503322402.06, 1503322404.35, 1503322404.35,1503322407.47, 1503323456.82, 1503323529.05, 1503323529.09, 1503323530.4, 1503323530.5
unit.000028, stage_1, 1503322358.51, 1503322361.86, 1503322361.86, 1503322402.09, 1503322402.11, 1503322404.37, 1503322404.37,1503322407.56, 1503323538.22, 1503323538.35, 1503323538.35, 1503323540.19, 1503323540.29
unit.000029, stage_1, 1503322358.51, 1503322362.22, 1503322362.22, 1503322402.16, 1503322402.18, 1503322404.39, 1503322404.4,1503322407.7, 1503323538.32, 1503323538.49, 1503323538.49, 1503323541.65, 1503323541.75
unit.000030, stage_1, 1503322358.51, 1503322362.42, 1503322362.42, 1503322402.21, 1503322402.23, 1503322404.41, 1503322404.42,1503322407.78, 1503323538.3, 1503323538.45, 1503323538.45, 1503323541.24, 1503323541.35
unit.000031, stage_1, 1503322358.51, 1503322362.62, 1503322362.62, 1503322402.25, 1503322402.27, 1503322404.43, 1503322404.43,1503322407.87, 1503323538.33, 1503323538.5, 1503323538.5, 1503323541.8, 1503323541.9
unit.000032, stage_2, 1503323533.52, 1503323534.8, 1503323534.8, 1503323535.23, 1503323535.28, 1503323535.37, 1503323535.4,1503323535.46, 1503323579.73, 1503323579.82, 1503323579.86, 1503323580.7, 1503323580.9
unit.000033, stage_2, 1503323534.24, 1503323534.85, 1503323534.85, 1503323535.31, 1503323535.34, 1503323535.43, 1503323535.49,1503323535.51, 1503323579.79, 1503323579.89, 1503323579.93, 1503323581.0, 1503323581.21
unit.000034, stage_2, 1503323541.67, 1503323542.83, 1503323542.83, 1503323543.22, 1503323543.27, 1503323543.3, 1503323543.33,1503323543.36, 1503323588.18, 1503323588.27, 1503323588.32, 1503323589.47, 1503323589.67
unit.000035, stage_2, 1503323542.38, 1503323543.13, 1503323543.13, 1503323543.51, 1503323543.55, 1503323543.58, 1503323543.6,1503323543.63, 1503323588.41, 1503323588.44, 1503323588.47, 1503323589.77, 1503323589.97
unit.000036, stage_2, 1503323543.1, 1503323543.96, 1503323543.96, 1503323544.41, 1503323544.45, 1503323544.48, 1503323544.51,1503323544.54, 1503323588.22, 1503323588.35, 1503323588.38, 1503323590.07, 1503323590.27
unit.000037, stage_2, 1503323543.82, 1503323544.53, 1503323544.53, 1503323544.94, 1503323545.03, 1503323545.06, 1503323545.1,1503323545.13, 1503323595.9, 1503323595.94, 1503323595.96, 1503323596.75, 1503323596.95
unit.000038, stage_2, 1503323544.54, 1503323545.36, 1503323545.36, 1503323545.71, 1503323545.75, 1503323545.78, 1503323545.81,1503323545.84, 1503323631.58, 1503323631.64, 1503323631.67, 1503323632.85, 1503323633.05
unit.000039, stage_2, 1503323545.25, 1503323545.93, 1503323545.93, 1503323546.37, 1503323546.42, 1503323546.45, 1503323546.48,1503323546.51, 1503323629.24, 1503323629.37, 1503323629.44, 1503323631.16, 1503323631.35
unit.000040, stage_2, 1503323545.96, 1503323546.77, 1503323546.77, 1503323547.14, 1503323547.18, 1503323547.21, 1503323547.24,1503323547.27, 1503323629.34, 1503323629.54, 1503323629.57, 1503323631.23, 1503323631.44
unit.000041, stage_2, 1503323546.67, 1503323547.34, 1503323547.34, 1503323547.8, 1503323547.84, 1503323547.88, 1503323547.91,1503323547.95, 1503323629.3, 1503323629.47, 1503323629.5, 1503323631.45, 1503323631.65
unit.000042, stage_2, 1503323547.38, 1503323548.18, 1503323548.18, 1503323548.58, 1503323548.63, 1503323548.66, 1503323548.7,1503323548.72, 1503323629.41, 1503323629.59, 1503323629.62, 1503323631.55, 1503323631.65
unit.000043, stage_2, 1503323548.1, 1503323548.76, 1503323548.76, 1503323549.11, 1503323549.14, 1503323549.17, 1503323549.2,1503323549.23, 1503323638.91, 1503323639.0, 1503323639.05, 1503323639.48, 1503323639.68
unit.000044, stage_2, 1503323548.81, 1503323549.58, 1503323549.58, 1503323550.0, 1503323550.04, 1503323550.07, 1503323550.1,1503323550.13, 1503323638.96, 1503323639.09, 1503323639.12, 1503323639.76, 1503323639.96
unit.000045, stage_2, 1503323549.52, 1503323550.05, 1503323550.05, 1503323550.41, 1503323550.45, 1503323550.48, 1503323550.53,1503323550.56, 1503323641.82, 1503323641.96, 1503323642.04, 1503323643.09, 1503323643.29
unit.000046, stage_2, 1503323550.24, 1503323550.99, 1503323550.99, 1503323551.43, 1503323551.47, 1503323551.56, 1503323551.59,1503323551.62, 1503323663.23, 1503323663.28, 1503323663.32, 1503323664.64, 1503323664.85
unit.000047, stage_2, 1503323550.96, 1503323552.39, 1503323552.39, 1503323552.82, 1503323552.86, 1503323552.89, 1503323552.92,1503323552.95, 1503323641.89, 1503323642.07, 1503323642.09, 1503323643.37, 1503323643.58
unit.000048, stage_2, 1503323551.67, 1503323552.56, 1503323552.56, 1503323552.98, 1503323553.02, 1503323553.05, 1503323553.08,1503323553.11, 1503323642.0, 1503323642.19, 1503323642.22, 1503323643.39, 1503323643.49
unit.000049, stage_2, 1503323552.39, 1503323552.85, 1503323552.85, 1503323553.27, 1503323553.31, 1503323553.34, 1503323553.37,1503323553.4, 1503323641.93, 1503323642.12, 1503323642.16, 1503323643.59, 1503323643.7
unit.000050, stage_2, 1503323556.52, 1503323557.1, 1503323557.1, 1503323557.54, 1503323557.6, 1503323557.63, 1503323557.66,1503323557.69, 1503323722.19, 1503323722.28, 1503323722.31, 1503323724.17, 1503323724.37
unit.000051, stage_2, 1503323557.23, 1503323558.51, 1503323558.51, 1503323558.93, 1503323558.97, 1503323559.0, 1503323559.03,1503323559.05, 1503323711.54, 1503323711.57, 1503323711.6, 1503323711.84, 1503323711.94
unit.000052, stage_2, 1503323557.94, 1503323558.66, 1503323558.66, 1503323559.1, 1503323559.14, 1503323559.17, 1503323559.2,1503323559.23, 1503323709.52, 1503323709.55, 1503323709.58, 1503323710.16, 1503323710.36
