uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1504194535.23, 1504194535.92, 1504194535.92, 1504194541.28, 1504194541.3, 1504194541.31, 1504194541.32,1504194541.35, 1504194554.52, 1504194554.55, 1504194554.56, 1504194555.74, 1504194555.84
unit.000001, stage_1, 1504194535.23, 1504194536.52, 1504194536.52, 1504194541.43, 1504194541.45, 1504194541.46, 1504194541.46,1504194541.59, 1504194560.67, 1504194560.68, 1504194560.69, 1504194561.45, 1504194561.55
unit.000002, stage_1, 1504194535.23, 1504194536.12, 1504194536.12, 1504194541.33, 1504194541.35, 1504194541.36, 1504194541.36,1504194541.42, 1504194573.27, 1504194573.3, 1504194573.31, 1504194575.07, 1504194575.17
unit.000003, stage_1, 1504194535.23, 1504194536.32, 1504194536.32, 1504194541.36, 1504194541.38, 1504194541.38, 1504194541.39,1504194541.47, 1504194560.67, 1504194560.68, 1504194560.68, 1504194561.45, 1504194561.55
unit.000004, stage_1, 1504194535.23, 1504194536.52, 1504194536.52, 1504194541.41, 1504194541.43, 1504194541.44, 1504194541.44,1504194541.55, 1504194561.64, 1504194561.65, 1504194561.65, 1504194562.75, 1504194562.85
unit.000005, stage_1, 1504194535.23, 1504194535.92, 1504194535.92, 1504194541.21, 1504194541.28, 1504194541.28, 1504194541.29,1504194541.29, 1504194626.81, 1504194626.81, 1504194626.82, 1504194627.75, 1504194627.86
unit.000006, stage_1, 1504194535.23, 1504194536.32, 1504194536.32, 1504194541.38, 1504194541.4, 1504194541.41, 1504194541.41,1504194541.51, 1504194565.15, 1504194565.16, 1504194565.16, 1504194566.07, 1504194566.17
unit.000007, stage_1, 1504194535.23, 1504194536.12, 1504194536.12, 1504194541.31, 1504194541.33, 1504194541.34, 1504194541.34,1504194541.39, 1504194554.55, 1504194554.56, 1504194554.57, 1504194555.74, 1504194555.84
unit.000008, stage_2, 1504194558.86, 1504194559.84, 1504194559.84, 1504194560.23, 1504194560.29, 1504194560.33, 1504194560.37,1504194560.4, 1504194579.71, 1504194579.74, 1504194579.77, 1504194580.59, 1504194580.79
unit.000009, stage_2, 1504194559.57, 1504194560.14, 1504194560.14, 1504194560.53, 1504194560.57, 1504194560.6, 1504194560.63,1504194560.66, 1504194698.08, 1504194698.13, 1504194698.16, 1504194699.55, 1504194699.75
unit.000010, stage_2, 1504194563.58, 1504194564.25, 1504194564.25, 1504194564.66, 1504194564.71, 1504194564.74, 1504194564.77,1504194564.8, 1504194594.26, 1504194594.3, 1504194594.32, 1504194595.21, 1504194595.41
unit.000011, stage_2, 1504194564.19, 1504194564.85, 1504194564.85, 1504194565.19, 1504194565.24, 1504194565.28, 1504194565.33,1504194565.37, 1504194588.44, 1504194588.53, 1504194588.56, 1504194589.59, 1504194589.79
unit.000012, stage_2, 1504194564.9, 1504194565.65, 1504194565.65, 1504194566.1, 1504194566.14, 1504194566.17, 1504194566.2,1504194566.23, 1504194623.32, 1504194623.42, 1504194623.45, 1504194624.36, 1504194624.56
unit.000013, stage_2, 1504194569.01, 1504194569.56, 1504194569.56, 1504194569.96, 1504194570.01, 1504194570.04, 1504194570.07,1504194570.1, 1504194604.68, 1504194604.73, 1504194604.76, 1504194606.43, 1504194606.63
unit.000014, stage_2, 1504194576.53, 1504194577.57, 1504194577.57, 1504194578.02, 1504194578.17, 1504194578.2, 1504194578.23,1504194578.26, 1504194617.91, 1504194617.96, 1504194617.99, 1504194619.74, 1504194619.95
unit.000021, stage_2, 1504194629.72, 1504194630.57, 1504194630.57, 1504194630.88, 1504194631.21, 1504194631.24, 1504194631.27,1504194631.3, 1504204970.5, 1504204970.53, 1504204970.56, 1504204971.92, 1504204972.12
unit.000015, stage_3, 1504194584.05, 1504194584.67, 1504194584.67, 1504194585.1, 1504194585.16, 1504194585.19, 1504194585.22,1504194585.25, 1504196938.99, 1504196939.04, 1504196939.07, 1504196940.94, 1504196941.04
unit.000016, stage_3, 1504194591.58, 1504194592.21, 1504194592.21, 1504194592.66, 1504194592.73, 1504194592.77, 1504194592.81,1504194592.85, 1504195383.07, 1504195383.13, 1504195383.17, 1504195384.69, 1504195384.9
unit.000017, stage_3, 1504194599.14, 1504194600.23, 1504194600.23, 1504194600.59, 1504194600.64, 1504194600.68, 1504194600.71,1504194600.76, 1504205719.96, 1504205720.01, 1504205720.04, 1504205721.03, 1504205721.24
unit.000018, stage_3, 1504194610.06, 1504194611.42, 1504194611.42, 1504194612.12, 1504194612.18, 1504194612.21, 1504194612.24,1504194612.27, 1504196136.19, 1504196136.24, 1504196136.27, 1504196137.34, 1504196137.54
unit.000019, stage_3, 1504194621.29, 1504194622.56, 1504194622.56, 1504194622.91, 1504194622.97, 1504194623.0, 1504194623.03,1504194623.06, 1504204354.88, 1504204354.94, 1504204354.97, 1504204356.32, 1504204356.52
unit.000020, stage_3, 1504194625.51, 1504194626.04, 1504194626.04, 1504194626.4, 1504194626.45, 1504194626.48, 1504194626.51,1504194626.54, 1504195397.9, 1504195397.96, 1504195398.0, 1504195399.31, 1504195399.51
unit.000022, stage_3, 1504194700.55, 1504194701.24, 1504194701.24, 1504194701.7, 1504194701.75, 1504194701.78, 1504194701.82,1504194701.85, 1504196130.98, 1504196131.03, 1504196131.06, 1504196132.1, 1504196132.31
