stage, pipeline, probe,timestamp

stage_1,pipeline_1,start_time,2017-08-28 16:41:55.876106
stage_1,pipeline_1,wait_time,2017-08-28 16:41:55.915979
stage_1,pipeline_1,res_time,2017-08-28 16:43:16.919780
stage_1,pipeline_1,done_time,2017-08-28 16:43:16.919854
stage_1,pipeline_2,start_time,2017-08-28 16:41:55.878820
stage_1,pipeline_2,wait_time,2017-08-28 16:41:55.915984
stage_1,pipeline_2,res_time,2017-08-28 16:42:19.613421
stage_1,pipeline_2,done_time,2017-08-28 16:42:19.613501
stage_1,pipeline_3,start_time,2017-08-28 16:41:55.880973
stage_1,pipeline_3,wait_time,2017-08-28 16:41:55.915986
stage_1,pipeline_3,res_time,2017-08-28 16:43:16.201742
stage_1,pipeline_3,done_time,2017-08-28 16:43:16.201826
stage_1,pipeline_4,start_time,2017-08-28 16:41:55.881619
stage_1,pipeline_4,wait_time,2017-08-28 16:41:55.915989
stage_1,pipeline_4,res_time,2017-08-28 16:42:51.962276
stage_1,pipeline_4,done_time,2017-08-28 16:42:51.962350
stage_1,pipeline_5,start_time,2017-08-28 16:41:55.882254
stage_1,pipeline_5,wait_time,2017-08-28 16:41:55.915991
stage_1,pipeline_5,res_time,2017-08-28 16:42:18.893808
stage_1,pipeline_5,done_time,2017-08-28 16:42:18.893891
stage_1,pipeline_6,start_time,2017-08-28 16:41:55.883100
stage_1,pipeline_6,wait_time,2017-08-28 16:41:55.915993
stage_1,pipeline_6,res_time,2017-08-28 16:42:25.027607
stage_1,pipeline_6,done_time,2017-08-28 16:42:25.027691
stage_1,pipeline_7,start_time,2017-08-28 16:41:55.883754
stage_1,pipeline_7,wait_time,2017-08-28 16:41:55.915995
stage_1,pipeline_7,res_time,2017-08-28 16:42:28.316829
stage_1,pipeline_7,done_time,2017-08-28 16:42:28.316934
stage_1,pipeline_8,start_time,2017-08-28 16:41:55.884395
stage_1,pipeline_8,wait_time,2017-08-28 16:41:55.915997
stage_1,pipeline_8,res_time,2017-08-28 16:42:49.105025
stage_1,pipeline_8,done_time,2017-08-28 16:42:49.105110
stage_1,pipeline_9,start_time,2017-08-28 16:41:55.885038
stage_1,pipeline_9,wait_time,2017-08-28 16:41:55.915999
stage_1,pipeline_9,res_time,2017-08-28 16:42:54.026873
stage_1,pipeline_9,done_time,2017-08-28 16:42:54.026939
stage_1,pipeline_10,start_time,2017-08-28 16:41:55.885655
stage_1,pipeline_10,wait_time,2017-08-28 16:41:55.916002
stage_1,pipeline_10,res_time,2017-08-28 16:42:40.396303
stage_1,pipeline_10,done_time,2017-08-28 16:42:40.396378
stage_1,pipeline_11,start_time,2017-08-28 16:41:55.886270
stage_1,pipeline_11,wait_time,2017-08-28 16:41:55.916004
stage_1,pipeline_11,res_time,2017-08-28 16:42:53.400880
stage_1,pipeline_11,done_time,2017-08-28 16:42:53.400950
stage_1,pipeline_12,start_time,2017-08-28 16:41:55.886892
stage_1,pipeline_12,wait_time,2017-08-28 16:41:55.916006
stage_1,pipeline_12,res_time,2017-08-28 16:42:34.685561
stage_1,pipeline_12,done_time,2017-08-28 16:42:34.685644
stage_1,pipeline_13,start_time,2017-08-28 16:41:55.887500
stage_1,pipeline_13,wait_time,2017-08-28 16:41:55.916008
stage_1,pipeline_13,res_time,2017-08-28 16:42:58.593492
stage_1,pipeline_13,done_time,2017-08-28 16:42:58.593564
stage_1,pipeline_14,start_time,2017-08-28 16:41:55.888110
stage_1,pipeline_14,wait_time,2017-08-28 16:41:55.916010
stage_1,pipeline_14,res_time,2017-08-28 16:42:59.317632
stage_1,pipeline_14,done_time,2017-08-28 16:42:59.317716
stage_1,pipeline_15,start_time,2017-08-28 16:41:55.888720
stage_1,pipeline_15,wait_time,2017-08-28 16:41:55.916012
stage_1,pipeline_15,res_time,2017-08-28 16:42:59.927087
stage_1,pipeline_15,done_time,2017-08-28 16:42:59.927170
stage_1,pipeline_16,start_time,2017-08-28 16:41:55.889422
stage_1,pipeline_16,wait_time,2017-08-28 16:41:55.916015
stage_1,pipeline_16,res_time,2017-08-28 16:43:00.647530
stage_1,pipeline_16,done_time,2017-08-28 16:43:00.647614
stage_1,pipeline_17,start_time,2017-08-28 16:41:55.890037
stage_1,pipeline_17,wait_time,2017-08-28 16:41:55.916017
stage_1,pipeline_17,res_time,2017-08-28 16:42:35.404665
stage_1,pipeline_17,done_time,2017-08-28 16:42:35.404742
stage_1,pipeline_18,start_time,2017-08-28 16:41:55.890655
stage_1,pipeline_18,wait_time,2017-08-28 16:41:55.916019
stage_1,pipeline_18,res_time,2017-08-28 16:42:36.109294
stage_1,pipeline_18,done_time,2017-08-28 16:42:36.109385
stage_1,pipeline_19,start_time,2017-08-28 16:41:55.891273
stage_1,pipeline_19,wait_time,2017-08-28 16:41:55.916021
stage_1,pipeline_19,res_time,2017-08-28 16:42:51.247597
stage_1,pipeline_19,done_time,2017-08-28 16:42:51.247680
stage_1,pipeline_20,start_time,2017-08-28 16:41:55.891887
stage_1,pipeline_20,wait_time,2017-08-28 16:41:55.916023
stage_1,pipeline_20,res_time,2017-08-28 16:42:38.254669
stage_1,pipeline_20,done_time,2017-08-28 16:42:38.254750
stage_1,pipeline_21,start_time,2017-08-28 16:41:55.892521
stage_1,pipeline_21,wait_time,2017-08-28 16:41:55.916025
stage_1,pipeline_21,res_time,2017-08-28 16:42:24.310014
stage_1,pipeline_21,done_time,2017-08-28 16:42:24.310095
stage_1,pipeline_22,start_time,2017-08-28 16:41:55.893142
stage_1,pipeline_22,wait_time,2017-08-28 16:41:55.916027
stage_1,pipeline_22,res_time,2017-08-28 16:42:21.664531
stage_1,pipeline_22,done_time,2017-08-28 16:42:21.664619
stage_1,pipeline_23,start_time,2017-08-28 16:41:55.893765
stage_1,pipeline_23,wait_time,2017-08-28 16:41:55.916029
stage_1,pipeline_23,res_time,2017-08-28 16:42:26.448090
stage_1,pipeline_23,done_time,2017-08-28 16:42:26.448166
stage_1,pipeline_24,start_time,2017-08-28 16:41:55.894376
stage_1,pipeline_24,wait_time,2017-08-28 16:41:55.916032
stage_1,pipeline_24,res_time,2017-08-28 16:42:22.986265
stage_1,pipeline_24,done_time,2017-08-28 16:42:22.986350
stage_1,pipeline_25,start_time,2017-08-28 16:41:55.895053
stage_1,pipeline_25,wait_time,2017-08-28 16:41:55.916034
stage_1,pipeline_25,res_time,2017-08-28 16:42:41.110140
stage_1,pipeline_25,done_time,2017-08-28 16:42:41.110217
stage_1,pipeline_26,start_time,2017-08-28 16:41:55.895661
stage_1,pipeline_26,wait_time,2017-08-28 16:41:55.916036
stage_1,pipeline_26,res_time,2017-08-28 16:42:33.969404
stage_1,pipeline_26,done_time,2017-08-28 16:42:33.969490
stage_1,pipeline_27,start_time,2017-08-28 16:41:55.896260
stage_1,pipeline_27,wait_time,2017-08-28 16:41:55.916038
stage_1,pipeline_27,res_time,2017-08-28 16:42:49.816040
stage_1,pipeline_27,done_time,2017-08-28 16:42:49.816116
stage_1,pipeline_28,start_time,2017-08-28 16:41:55.896863
stage_1,pipeline_28,wait_time,2017-08-28 16:41:55.916040
stage_1,pipeline_28,res_time,2017-08-28 16:43:07.072967
stage_1,pipeline_28,done_time,2017-08-28 16:43:07.073049
stage_1,pipeline_29,start_time,2017-08-28 16:41:55.897451
stage_1,pipeline_29,wait_time,2017-08-28 16:41:55.916042
stage_1,pipeline_29,res_time,2017-08-28 16:43:06.364172
stage_1,pipeline_29,done_time,2017-08-28 16:43:06.364245
stage_1,pipeline_30,start_time,2017-08-28 16:41:55.898026
stage_1,pipeline_30,wait_time,2017-08-28 16:41:55.916044
stage_1,pipeline_30,res_time,2017-08-28 16:43:30.547273
stage_1,pipeline_30,done_time,2017-08-28 16:43:30.547349
stage_1,pipeline_31,start_time,2017-08-28 16:41:55.898596
stage_1,pipeline_31,wait_time,2017-08-28 16:41:55.916047
stage_1,pipeline_31,res_time,2017-08-28 16:43:07.789705
stage_1,pipeline_31,done_time,2017-08-28 16:43:07.789790
stage_1,pipeline_32,start_time,2017-08-28 16:41:55.899183
stage_1,pipeline_32,wait_time,2017-08-28 16:41:55.916049
stage_1,pipeline_32,res_time,2017-08-28 16:43:08.511040
stage_1,pipeline_32,done_time,2017-08-28 16:43:08.511125
stage_1,pipeline_33,start_time,2017-08-28 16:41:55.899737
stage_1,pipeline_33,wait_time,2017-08-28 16:41:55.916052
stage_1,pipeline_33,res_time,2017-08-28 16:42:39.688705
stage_1,pipeline_33,done_time,2017-08-28 16:42:39.688790
stage_1,pipeline_34,start_time,2017-08-28 16:41:55.900361
stage_1,pipeline_34,wait_time,2017-08-28 16:41:55.916054
stage_1,pipeline_34,res_time,2017-08-28 16:42:47.664920
stage_1,pipeline_34,done_time,2017-08-28 16:42:47.665001
stage_1,pipeline_35,start_time,2017-08-28 16:41:55.900902
stage_1,pipeline_35,wait_time,2017-08-28 16:41:55.916056
stage_1,pipeline_35,res_time,2017-08-28 16:42:33.250006
stage_1,pipeline_35,done_time,2017-08-28 16:42:33.250090
stage_1,pipeline_36,start_time,2017-08-28 16:41:55.901436
stage_1,pipeline_36,wait_time,2017-08-28 16:41:55.916058
stage_1,pipeline_36,res_time,2017-08-28 16:42:20.331695
stage_1,pipeline_36,done_time,2017-08-28 16:42:20.331770
stage_1,pipeline_37,start_time,2017-08-28 16:41:55.901978
stage_1,pipeline_37,wait_time,2017-08-28 16:41:55.916060
stage_1,pipeline_37,res_time,2017-08-28 16:42:37.540421
stage_1,pipeline_37,done_time,2017-08-28 16:42:37.540491
stage_1,pipeline_38,start_time,2017-08-28 16:41:55.902519
stage_1,pipeline_38,wait_time,2017-08-28 16:41:55.916063
stage_1,pipeline_38,res_time,2017-08-28 16:43:09.233048
stage_1,pipeline_38,done_time,2017-08-28 16:43:09.233133
stage_1,pipeline_39,start_time,2017-08-28 16:41:55.903072
stage_1,pipeline_39,wait_time,2017-08-28 16:41:55.916065
stage_1,pipeline_39,res_time,2017-08-28 16:42:25.737271
stage_1,pipeline_39,done_time,2017-08-28 16:42:25.737345
stage_1,pipeline_40,start_time,2017-08-28 16:41:55.903586
stage_1,pipeline_40,wait_time,2017-08-28 16:41:55.916067
stage_1,pipeline_40,res_time,2017-08-28 16:42:52.680302
stage_1,pipeline_40,done_time,2017-08-28 16:42:52.680379
stage_1,pipeline_41,start_time,2017-08-28 16:41:55.904109
stage_1,pipeline_41,wait_time,2017-08-28 16:41:55.916069
stage_1,pipeline_41,res_time,2017-08-28 16:42:46.906969
stage_1,pipeline_41,done_time,2017-08-28 16:42:46.907057
stage_1,pipeline_42,start_time,2017-08-28 16:41:55.904630
stage_1,pipeline_42,wait_time,2017-08-28 16:41:55.916071
stage_1,pipeline_42,res_time,2017-08-28 16:42:46.171557
stage_1,pipeline_42,done_time,2017-08-28 16:42:46.171645
stage_1,pipeline_43,start_time,2017-08-28 16:41:55.905160
stage_1,pipeline_43,wait_time,2017-08-28 16:41:55.916073
stage_1,pipeline_43,res_time,2017-08-28 16:43:09.845143
stage_1,pipeline_43,done_time,2017-08-28 16:43:09.845214
stage_1,pipeline_44,start_time,2017-08-28 16:41:55.905738
stage_1,pipeline_44,wait_time,2017-08-28 16:41:55.916076
stage_1,pipeline_44,res_time,2017-08-28 16:42:21.048986
stage_1,pipeline_44,done_time,2017-08-28 16:42:21.049069
stage_1,pipeline_45,start_time,2017-08-28 16:41:55.906242
stage_1,pipeline_45,wait_time,2017-08-28 16:41:55.916080
stage_1,pipeline_45,res_time,2017-08-28 16:42:45.441485
stage_1,pipeline_45,done_time,2017-08-28 16:42:45.441558
stage_1,pipeline_46,start_time,2017-08-28 16:41:55.906747
stage_1,pipeline_46,wait_time,2017-08-28 16:41:55.916082
stage_1,pipeline_46,res_time,2017-08-28 16:42:27.691989
stage_1,pipeline_46,done_time,2017-08-28 16:42:27.692072
stage_1,pipeline_47,start_time,2017-08-28 16:41:55.907260
stage_1,pipeline_47,wait_time,2017-08-28 16:41:55.916084
stage_1,pipeline_47,res_time,2017-08-28 16:42:44.700646
stage_1,pipeline_47,done_time,2017-08-28 16:42:44.700728
stage_1,pipeline_48,start_time,2017-08-28 16:41:55.907774
stage_1,pipeline_48,wait_time,2017-08-28 16:41:55.916086
stage_1,pipeline_48,res_time,2017-08-28 16:42:43.988600
stage_1,pipeline_48,done_time,2017-08-28 16:42:43.988676
stage_1,pipeline_49,start_time,2017-08-28 16:41:55.908282
stage_1,pipeline_49,wait_time,2017-08-28 16:41:55.916088
stage_1,pipeline_49,res_time,2017-08-28 16:43:39.137530
stage_1,pipeline_49,done_time,2017-08-28 16:43:39.137648
stage_1,pipeline_50,start_time,2017-08-28 16:41:55.908773
stage_1,pipeline_50,wait_time,2017-08-28 16:41:55.916090
stage_1,pipeline_50,res_time,2017-08-28 16:43:10.555429
stage_1,pipeline_50,done_time,2017-08-28 16:43:10.555513
stage_1,pipeline_51,start_time,2017-08-28 16:41:55.909263
stage_1,pipeline_51,wait_time,2017-08-28 16:41:55.916092
stage_1,pipeline_51,res_time,2017-08-28 16:43:11.994633
stage_1,pipeline_51,done_time,2017-08-28 16:43:11.994721
stage_1,pipeline_52,start_time,2017-08-28 16:41:55.909759
stage_1,pipeline_52,wait_time,2017-08-28 16:41:55.916094
stage_1,pipeline_52,res_time,2017-08-28 16:42:50.529390
stage_1,pipeline_52,done_time,2017-08-28 16:42:50.529474
stage_1,pipeline_53,start_time,2017-08-28 16:41:55.910323
