uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1503799555.73, 1503799557.69, 1503799557.69, 1503799578.2, 1503799578.22, 1503799579.06, 1503799579.07,1503799580.2, 1503799639.25, 1503799639.25, 1503799639.26, 1503799639.85, 1503799639.95
unit.000001, stage_1, 1503799555.73, 1503799557.07, 1503799557.07, 1503799578.05, 1503799578.07, 1503799579.01, 1503799579.01,1503799579.94, 1503799631.22, 1503799631.24, 1503799631.26, 1503799632.61, 1503799632.72
unit.000002, stage_1, 1503799555.73, 1503799557.25, 1503799557.25, 1503799578.07, 1503799578.1, 1503799579.02, 1503799579.02,1503799579.98, 1503799631.25, 1503799631.29, 1503799631.29, 1503799633.0, 1503799633.1
unit.000003, stage_1, 1503799555.73, 1503799557.45, 1503799557.45, 1503799578.13, 1503799578.15, 1503799579.04, 1503799579.04,1503799580.07, 1503799637.24, 1503799637.24, 1503799637.25, 1503799638.72, 1503799638.82
unit.000004, stage_1, 1503799555.73, 1503799557.66, 1503799557.66, 1503799578.17, 1503799578.19, 1503799579.05, 1503799579.06,1503799580.16, 1503799631.26, 1503799631.3, 1503799631.3, 1503799633.02, 1503799633.12
unit.000005, stage_1, 1503799555.73, 1503799557.04, 1503799557.04, 1503799577.93, 1503799578.05, 1503799579.0, 1503799579.01,1503799579.9, 1503799629.92, 1503799631.09, 1503799631.12, 1503799632.59, 1503799632.69
unit.000006, stage_1, 1503799555.73, 1503799557.28, 1503799557.28, 1503799578.1, 1503799578.12, 1503799579.03, 1503799579.03,1503799580.03, 1503799631.23, 1503799631.27, 1503799631.28, 1503799632.79, 1503799632.89
unit.000007, stage_1, 1503799555.73, 1503799557.48, 1503799557.48, 1503799578.15, 1503799578.17, 1503799579.04, 1503799579.05,1503799580.11, 1503799631.24, 1503799631.28, 1503799631.28, 1503799632.82, 1503799632.92
unit.000008, stage_2, 1503799635.03, 1503799636.19, 1503799636.19, 1503799636.63, 1503799636.68, 1503799636.71, 1503799636.74,1503799636.77, 1503799663.44, 1503799663.53, 1503799663.56, 1503799665.4, 1503799665.5
unit.000009, stage_2, 1503799635.76, 1503799636.5, 1503799636.5, 1503799636.8, 1503799636.83, 1503799636.86, 1503799636.89,1503799636.92, 1503799663.5, 1503799663.58, 1503799663.61, 1503799665.44, 1503799665.65
unit.000010, stage_2, 1503799636.48, 1503799637.33, 1503799637.33, 1503799637.69, 1503799637.75, 1503799637.77, 1503799637.8,1503799637.83, 1503799670.66, 1503799670.69, 1503799670.72, 1503799671.12, 1503799671.32
unit.000011, stage_2, 1503799637.2, 1503799637.8, 1503799637.8, 1503799638.23, 1503799638.27, 1503799638.29, 1503799638.32,1503799638.35, 1503799671.36, 1503799671.39, 1503799671.42, 1503799672.37, 1503799672.57
unit.000012, stage_2, 1503799637.93, 1503799638.74, 1503799638.74, 1503799639.12, 1503799639.16, 1503799639.19, 1503799639.22,1503799639.24, 1503799722.88, 1503799722.93, 1503799722.96, 1503799724.85, 1503799725.05
unit.000013, stage_2, 1503799638.65, 1503799639.21, 1503799639.21, 1503799639.65, 1503799639.7, 1503799639.73, 1503799639.75,1503799639.81, 1503799690.51, 1503799690.56, 1503799690.59, 1503799691.59, 1503799691.79
unit.000014, stage_2, 1503799642.79, 1503799643.45, 1503799643.45, 1503799643.72, 1503799643.77, 1503799643.8, 1503799643.83,1503799643.86, 1503799686.7, 1503799686.79, 1503799686.82, 1503799687.97, 1503799688.18
unit.000015, stage_2, 1503799643.51, 1503799644.76, 1503799644.76, 1503799645.11, 1503799645.47, 1503799645.49, 1503799645.52,1503799645.55, 1503799698.53, 1503799698.56, 1503799698.59, 1503799699.17, 1503799699.37
unit.000016, stage_3, 1503799668.13, 1503799669.31, 1503799669.31, 1503799669.79, 1503799669.84, 1503799669.87, 1503799669.9,1503799669.93, 1503800447.71, 1503800447.77, 1503800447.8, 1503800448.85, 1503800449.05
unit.000017, stage_3, 1503799668.86, 1503799669.62, 1503799669.62, 1503799670.08, 1503799670.52, 1503799670.56, 1503799670.59,1503799670.63, 1503801210.92, 1503801210.97, 1503801211.0, 1503801212.05, 1503801212.25
unit.000018, stage_3, 1503799672.99, 1503799673.75, 1503799673.75, 1503799674.15, 1503799674.21, 1503799674.24, 1503799674.27,1503799674.3, 1503801184.16, 1503801184.21, 1503801184.25, 1503801185.27, 1503801185.47
unit.000019, stage_3, 1503799673.72, 1503799674.34, 1503799674.34, 1503799674.68, 1503799674.73, 1503799674.76, 1503799674.78,1503799674.81, 1503803800.0, 1503803800.05, 1503803800.09, 1503803801.96, 1503803802.17
unit.000020, stage_3, 1503799692.01, 1503799692.83, 1503799692.83, 1503799693.27, 1503799693.32, 1503799693.35, 1503799693.38,1503799693.41, 1503811600.39, 1503811600.44, 1503811600.47, 1503811601.77, 1503811601.98
unit.000021, stage_3, 1503799696.26, 1503799697.55, 1503799697.55, 1503799697.97, 1503799698.02, 1503799698.06, 1503799698.09,1503799698.12, 1503800464.15, 1503800464.2, 1503800464.24, 1503800465.59, 1503800465.79
unit.000022, stage_3, 1503799700.5, 1503799701.13, 1503799701.13, 1503799701.56, 1503799701.61, 1503799701.65, 1503799701.68,1503799701.72, 1503801934.92, 1503801934.98, 1503801935.0, 1503801936.19, 1503801936.29
unit.000023, stage_3, 1503799725.84, 1503799726.55, 1503799726.55, 1503799726.93, 1503799726.98, 1503799727.01, 1503799727.04,1503799727.07, 1503801963.19, 1503801963.24, 1503801963.27, 1503801965.1, 1503801965.3
unit.000024, stage_4, 1503800450.84, 1503800451.68, 1503800451.68, 1503800452.13, 1503800452.19, 1503800452.22, 1503800452.26,1503800452.29, 1503803052.93, 1503803052.99, 1503803053.02, 1503803054.64, 1503803054.84
unit.000025, stage_4, 1503800469.15, 1503800470.51, 1503800470.51, 1503800470.91, 1503800470.96, 1503800471.0, 1503800471.03,1503800471.06, 1503818284.58, 1503818284.65, 1503818284.68, 1503818285.6, 1503818285.8
unit.000026, stage_4, 1503801187.06, 1503801187.93, 1503801187.93, 1503801188.34, 1503801188.39, 1503801188.42, 1503801188.45,1503801188.49, 1503802494.24, 1503802494.3, 1503802494.33, 1503802495.95, 1503802496.16
unit.000027, stage_4, 1503801216.25, 1503801216.93, 1503801216.93, 1503801217.38, 1503801217.43, 1503801217.46, 1503801217.5,1503801217.53, 1503810859.15, 1503810859.2, 1503810859.24, 1503810860.61, 1503810860.82
unit.000028, stage_4, 1503801939.8, 1503801940.58, 1503801940.58, 1503801940.97, 1503801941.02, 1503801941.05, 1503801941.08,1503801941.12, 1503802523.71, 1503802523.77, 1503802523.8, 1503802524.78, 1503802524.99
unit.000029, stage_4, 1503801968.98, 1503801969.56, 1503801969.56, 1503801969.81, 1503801969.95, 1503801969.98, 1503801970.02,1503801970.05, 1503803087.31, 1503803087.36, 1503803087.39, 1503803088.95, 1503803089.16
unit.000034, stage_4, 1503803806.23, 1503803807.56, 1503803807.56, 1503803807.93, 1503803807.98, 1503803808.01, 1503803808.04,1503803808.08, 1503810292.72, 1503810292.78, 1503810292.81, 1503810293.93, 1503810294.14
unit.000040, stage_4, 1503811606.01, 1503811606.79, 1503811606.79, 1503811607.19, 1503811607.24, 1503811607.27, 1503811607.31,1503811607.34, 1503818843.71, 1503818843.76, 1503818843.79, 1503818845.12, 1503818845.32
unit.000030, stage_5, 1503802499.94, 1503802500.51, 1503802500.51, 1503802500.93, 1503802501.83, 1503802501.87, 1503802501.9,1503802501.93, 1503817725.62, 1503817725.68, 1503817725.71, 1503817726.91, 1503817727.11
unit.000031, stage_5, 1503802526.19, 1503802527.0, 1503802527.0, 1503802527.68, 1503802528.06, 1503802528.09, 1503802528.13,1503802528.16, 1503832785.4, 1503832785.46, 1503832785.5, 1503832786.79, 1503832786.99
unit.000032, stage_5, 1503803058.76, 1503803060.24, 1503803060.24, 1503803060.73, 1503803060.78, 1503803060.82, 1503803060.85,1503803060.89, 1503809733.86, 1503809733.92, 1503809733.95, 1503809735.3, 1503809735.51
unit.000033, stage_5, 1503803092.28, 1503803093.35, 1503803093.35, 1503803093.82, 1503803094.15, 1503803094.19, 1503803094.22,1503803094.26, 1503810439.91, 1503810439.97, 1503810440.01, 1503810441.0, 1503810441.21
unit.000036, stage_5, 1503810296.52, 1503810297.2, 1503810297.2, 1503810297.63, 1503810297.69, 1503810297.72, 1503810297.76,1503810297.79, 1503818237.29, 1503818237.34, 1503818237.38, 1503818238.97, 1503818239.18
unit.000038, stage_5, 1503810862.52, 1503810863.87, 1503810863.87, 1503810864.25, 1503810864.31, 1503810864.34, 1503810864.37,1503810864.41, 1503826132.26, 1503826132.32, 1503826132.35, 1503826134.23, 1503826134.44
unit.000043, stage_5, 1503818287.01, 1503818287.67, 1503818287.67, 1503818288.06, 1503818288.11, 1503818288.15, 1503818288.18,1503818288.22, 1503825505.95, 1503825506.0, 1503825506.08, 1503825507.14, 1503825507.34
unit.000044, stage_5, 1503818848.12, 1503818849.36, 1503818849.36, 1503818849.8, 1503818849.86, 1503818849.89, 1503818849.93,1503818849.96, 1503832143.36, 1503832143.42, 1503832143.45, 1503832145.3, 1503832145.5
unit.000035, stage_6, 1503809738.65, 1503809739.68, 1503809739.68, 1503809740.17, 1503809740.23, 1503809740.27, 1503809740.31,1503809740.35, 1503811065.97, 1503811066.03, 1503811066.07, 1503811067.18, 1503811067.39
unit.000037, stage_6, 1503810443.33, 1503810444.24, 1503810444.24, 1503810444.64, 1503810444.7, 1503810444.74, 1503810444.77,1503810444.81, 1503833422.83, 1503833422.87, 1503833422.91, 1503833423.67, 1503833423.87
unit.000041, stage_6, 1503817730.72, 1503817731.27, 1503817731.27, 1503817731.63, 1503817731.69, 1503817731.73, 1503817731.77,1503817731.81, 1503818873.58, 1503818873.64, 1503818873.68, 1503818875.21, 1503818875.41
unit.000042, stage_6, 1503818241.68, 1503818242.27, 1503818242.27, 1503818242.55, 1503818242.6, 1503818242.65, 1503818242.69,1503818242.73, 1503819466.29, 1503819466.36, 1503819466.41, 1503819467.83, 1503819468.03
unit.000047, stage_6, 1503825509.0, 1503825510.25, 1503825510.25, 1503825510.66, 1503825510.92, 1503825510.96, 1503825511.0,1503825511.04, 1503832791.33, 1503832791.37, 1503832791.41, 1503832791.85, 1503832792.06
unit.000048, stage_6, 1503826136.19, 1503826137.09, 1503826137.09, 1503826137.52, 1503826137.58, 1503826137.62, 1503826137.66,1503826137.7, 1503834096.12, 1503834096.18, 1503834096.22, 1503834097.23, 1503834097.43
unit.000049, stage_6, 1503832149.64, 1503832150.29, 1503832150.29, 1503832150.7, 1503832150.76, 1503832150.8, 1503832150.84,1503832150.88, 1503833416.41, 1503833416.47, 1503833416.51, 1503833417.85, 1503833418.05
unit.000050, stage_6, 1503832789.26, 1503832790.29, 1503832790.29, 1503832790.67, 1503832790.73, 1503832790.77, 1503832790.81,1503832790.85, 1503834047.31, 1503834047.37, 1503834047.41, 1503834048.52, 1503834048.72
unit.000039, stage_7, 1503811068.01, 1503811069.34, 1503811069.34, 1503811069.64, 1503811069.68, 1503811069.7, 1503811069.71,1503811069.73, 1503819482.9, 1503819482.94, 1503819482.96, 1503819484.62, 1503819497.46
unit.000045, stage_7, 1503818878.39, 1503818879.41, 1503818879.41, 1503818879.74, 1503818879.78, 1503818879.8, 1503818879.81,1503818879.83, 1503819492.63, 1503819492.67, 1503819492.69, 1503819494.62, 1503819502.59
unit.000046, stage_7, 1503819472.43, 1503819473.12, 1503819473.12, 1503819473.38, 1503819473.42, 1503819473.44, 1503819473.45,1503819473.47, 1503832151.47, 1503832151.49, 1503832151.51, 1503832151.93, 1503832162.7
unit.000051, stage_7, 1503832793.84, 1503832795.01, 1503832795.01, 1503832795.34, 1503832796.09, 1503832796.11, 1503832796.13,1503832796.14, 1503833458.29, 1503833458.33, 1503833458.35, 1503833460.24, 1503833470.75
unit.000052, stage_7, 1503833419.52, 1503833420.81, 1503833420.81, 1503833421.06, 1503833421.1, 1503833421.11, 1503833421.13,1503833421.15, 1503834056.71, 1503834056.75, 1503834056.76, 1503834057.91, 1503834063.73
unit.000053, stage_7, 1503833427.59, 1503833428.62, 1503833428.62, 1503833428.94, 1503833428.98, 1503833429.0, 1503833429.01,1503833429.03, 1503834077.85, 1503834077.89, 1503834077.91, 1503834079.29, 1503834090.08
unit.000054, stage_7, 1503834052.71, 1503834053.3, 1503834053.3, 1503834053.63, 1503834053.67, 1503834053.69, 1503834053.71,1503834053.72, 1503834088.98, 1503834089.02, 1503834089.04, 1503834090.18, 1503834094.92
unit.000055, stage_7, 1503834099.3, 1503834099.74, 1503834099.74, 1503834099.98, 1503834100.02, 1503834100.04, 1503834100.05,1503834100.07, 1503834135.98, 1503834136.02, 1503834136.04, 1503834137.1, 1503834143.12
