uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502229135.44, 1502229136.33, 1502229136.33, 1502229140.77, 1502229140.77, 1502229140.8, 1502229140.8,1502229140.82, 1502229151.03, 1502229151.03, 1502229151.04, 1502229151.26, 1502229151.36
unit.000001, stage_1, 1502229135.44, 1502229136.53, 1502229136.53, 1502229140.78, 1502229140.79, 1502229140.81, 1502229140.81,1502229140.91, 1502229175.28, 1502229175.28, 1502229175.29, 1502229176.3, 1502229176.4
unit.000002, stage_1, 1502229135.44, 1502229136.31, 1502229136.31, 1502229140.76, 1502229140.77, 1502229140.79, 1502229140.79,1502229140.82, 1502229145.11, 1502229145.14, 1502229145.14, 1502229146.65, 1502229146.75
unit.000003, stage_1, 1502229135.44, 1502229136.51, 1502229136.51, 1502229140.78, 1502229140.78, 1502229140.8, 1502229140.81,1502229140.87, 1502229161.15, 1502229161.15, 1502229161.16, 1502229161.38, 1502229161.48
unit.000004, stage_2, 1502229148.57, 1502229149.94, 1502229149.94, 1502229150.19, 1502229150.21, 1502229150.22, 1502229150.22,1502229150.22, 1502229156.44, 1502229156.46, 1502229156.47, 1502229157.68, 1502229157.78
unit.000005, stage_2, 1502229152.29, 1502229153.25, 1502229153.25, 1502229153.54, 1502229153.57, 1502229153.57, 1502229153.57,1502229153.58, 1502229165.76, 1502229165.79, 1502229165.79, 1502229167.09, 1502229167.19
unit.000007, stage_2, 1502229162.81, 1502229163.36, 1502229163.36, 1502229163.63, 1502229163.66, 1502229163.66, 1502229163.66,1502229163.67, 1502229246.23, 1502229246.25, 1502229246.25, 1502229247.33, 1502229247.43
unit.000010, stage_2, 1502229177.46, 1502229178.08, 1502229178.08, 1502229178.39, 1502229178.42, 1502229178.42, 1502229178.42,1502229178.43, 1502229185.9, 1502229185.93, 1502229185.93, 1502229187.62, 1502229187.73
unit.000006, stage_3, 1502229159.1, 1502229160.05, 1502229160.05, 1502229160.28, 1502229160.3, 1502229160.31, 1502229160.31,1502229160.31, 1502229170.47, 1502229170.49, 1502229170.5, 1502229171.7, 1502229171.8
