stage, pipeline, probe,timestamp

stage_1,pipeline_1,start_time,2017-08-11 22:12:34.106924
stage_1,pipeline_1,wait_time,2017-08-11 22:12:34.129562
stage_1,pipeline_1,res_time,2017-08-11 22:13:46.146187
stage_1,pipeline_1,done_time,2017-08-11 22:13:46.146271
stage_1,pipeline_2,start_time,2017-08-11 22:12:34.109273
stage_1,pipeline_2,wait_time,2017-08-11 22:12:34.129567
stage_1,pipeline_2,res_time,2017-08-11 22:13:53.745940
stage_1,pipeline_2,done_time,2017-08-11 22:13:53.746018
stage_1,pipeline_3,start_time,2017-08-11 22:12:34.111249
stage_1,pipeline_3,wait_time,2017-08-11 22:12:34.129570
stage_1,pipeline_3,res_time,2017-08-11 22:13:56.222381
stage_1,pipeline_3,done_time,2017-08-11 22:13:56.222463
stage_1,pipeline_4,start_time,2017-08-11 22:12:34.112326
stage_1,pipeline_4,wait_time,2017-08-11 22:12:34.129573
stage_1,pipeline_4,res_time,2017-08-11 22:13:54.372334
stage_1,pipeline_4,done_time,2017-08-11 22:13:54.372417
stage_1,pipeline_5,start_time,2017-08-11 22:12:34.112937
stage_1,pipeline_5,wait_time,2017-08-11 22:12:34.129576
stage_1,pipeline_5,res_time,2017-08-11 22:13:55.603356
stage_1,pipeline_5,done_time,2017-08-11 22:13:55.603438
stage_1,pipeline_6,start_time,2017-08-11 22:12:34.113742
stage_1,pipeline_6,wait_time,2017-08-11 22:12:34.129579
stage_1,pipeline_6,res_time,2017-08-11 22:13:52.514867
stage_1,pipeline_6,done_time,2017-08-11 22:13:52.514944
stage_1,pipeline_7,start_time,2017-08-11 22:12:34.114357
stage_1,pipeline_7,wait_time,2017-08-11 22:12:34.129582
stage_1,pipeline_7,res_time,2017-08-11 22:13:57.444928
stage_1,pipeline_7,done_time,2017-08-11 22:13:57.445010
stage_1,pipeline_8,start_time,2017-08-11 22:12:34.114957
stage_1,pipeline_8,wait_time,2017-08-11 22:12:34.129584
stage_1,pipeline_8,res_time,2017-08-11 22:13:58.068193
stage_1,pipeline_8,done_time,2017-08-11 22:13:58.068267
stage_1,pipeline_9,start_time,2017-08-11 22:12:34.115540
stage_1,pipeline_9,wait_time,2017-08-11 22:12:34.129587
stage_1,pipeline_9,res_time,2017-08-11 22:13:59.286217
stage_1,pipeline_9,done_time,2017-08-11 22:13:59.286306
stage_1,pipeline_10,start_time,2017-08-11 22:12:34.116128
stage_1,pipeline_10,wait_time,2017-08-11 22:12:34.129590
stage_1,pipeline_10,res_time,2017-08-11 22:13:37.927048
stage_1,pipeline_10,done_time,2017-08-11 22:13:37.927130
stage_1,pipeline_11,start_time,2017-08-11 22:12:34.116712
stage_1,pipeline_11,wait_time,2017-08-11 22:12:34.129593
stage_1,pipeline_11,res_time,2017-08-11 22:13:35.450313
stage_1,pipeline_11,done_time,2017-08-11 22:13:35.450383
stage_1,pipeline_12,start_time,2017-08-11 22:12:34.117295
stage_1,pipeline_12,wait_time,2017-08-11 22:12:34.129596
stage_1,pipeline_12,res_time,2017-08-11 22:13:43.085664
stage_1,pipeline_12,done_time,2017-08-11 22:13:43.085734
stage_1,pipeline_13,start_time,2017-08-11 22:12:34.117878
stage_1,pipeline_13,wait_time,2017-08-11 22:12:34.129599
stage_1,pipeline_13,res_time,2017-08-11 22:13:36.091138
stage_1,pipeline_13,done_time,2017-08-11 22:13:36.091219
stage_1,pipeline_14,start_time,2017-08-11 22:12:34.118465
stage_1,pipeline_14,wait_time,2017-08-11 22:12:34.129602
stage_1,pipeline_14,res_time,2017-08-11 22:13:36.705123
stage_1,pipeline_14,done_time,2017-08-11 22:13:36.705208
stage_1,pipeline_15,start_time,2017-08-11 22:12:34.119058
stage_1,pipeline_15,wait_time,2017-08-11 22:12:34.129604
stage_1,pipeline_15,res_time,2017-08-11 22:13:43.692277
stage_1,pipeline_15,done_time,2017-08-11 22:13:43.692360
stage_1,pipeline_16,start_time,2017-08-11 22:12:34.119744
stage_1,pipeline_16,wait_time,2017-08-11 22:12:34.129607
stage_1,pipeline_16,res_time,2017-08-11 22:13:54.990223
stage_1,pipeline_16,done_time,2017-08-11 22:13:54.990307
stage_1,pipeline_17,start_time,2017-08-11 22:12:34.120345
stage_1,pipeline_17,wait_time,2017-08-11 22:12:34.129610
stage_1,pipeline_17,res_time,2017-08-11 22:13:44.307338
stage_1,pipeline_17,done_time,2017-08-11 22:13:44.307424
stage_1,pipeline_18,start_time,2017-08-11 22:12:34.120932
stage_1,pipeline_18,wait_time,2017-08-11 22:12:34.129613
stage_1,pipeline_18,res_time,2017-08-11 22:13:51.904335
stage_1,pipeline_18,done_time,2017-08-11 22:13:51.904427
stage_1,pipeline_19,start_time,2017-08-11 22:12:34.121515
stage_1,pipeline_19,wait_time,2017-08-11 22:12:34.129616
stage_1,pipeline_19,res_time,2017-08-11 22:13:58.677395
stage_1,pipeline_19,done_time,2017-08-11 22:13:58.677477
stage_1,pipeline_20,start_time,2017-08-11 22:12:34.122104
stage_1,pipeline_20,wait_time,2017-08-11 22:12:34.129618
stage_1,pipeline_20,res_time,2017-08-11 22:13:44.919493
stage_1,pipeline_20,done_time,2017-08-11 22:13:44.919576
stage_1,pipeline_21,start_time,2017-08-11 22:12:34.122670
stage_1,pipeline_21,wait_time,2017-08-11 22:12:34.129621
stage_1,pipeline_21,res_time,2017-08-11 22:13:53.132726
stage_1,pipeline_21,done_time,2017-08-11 22:13:53.132808
stage_1,pipeline_22,start_time,2017-08-11 22:12:34.123242
stage_1,pipeline_22,wait_time,2017-08-11 22:12:34.129624
stage_1,pipeline_22,res_time,2017-08-11 22:13:56.838242
stage_1,pipeline_22,done_time,2017-08-11 22:13:56.838315
stage_1,pipeline_23,start_time,2017-08-11 22:12:34.123814
stage_1,pipeline_23,wait_time,2017-08-11 22:12:34.129627
stage_1,pipeline_23,res_time,2017-08-11 22:13:47.977464
stage_1,pipeline_23,done_time,2017-08-11 22:13:47.977538
stage_1,pipeline_24,start_time,2017-08-11 22:12:34.124377
stage_1,pipeline_24,wait_time,2017-08-11 22:12:34.129630
stage_1,pipeline_24,res_time,2017-08-11 22:13:30.919910
stage_1,pipeline_24,done_time,2017-08-11 22:13:30.919978
stage_1,pipeline_25,start_time,2017-08-11 22:12:34.125026
stage_1,pipeline_25,wait_time,2017-08-11 22:12:34.129633
stage_1,pipeline_25,res_time,2017-08-11 22:13:30.307991
stage_1,pipeline_25,done_time,2017-08-11 22:13:30.308059
stage_1,pipeline_26,start_time,2017-08-11 22:12:34.125602
stage_1,pipeline_26,wait_time,2017-08-11 22:12:34.129635
stage_1,pipeline_26,res_time,2017-08-11 22:13:45.534080
stage_1,pipeline_26,done_time,2017-08-11 22:13:45.534156
stage_1,pipeline_27,start_time,2017-08-11 22:12:34.126173
stage_1,pipeline_27,wait_time,2017-08-11 22:12:34.129638
stage_1,pipeline_27,res_time,2017-08-11 22:13:47.364416
stage_1,pipeline_27,done_time,2017-08-11 22:13:47.364483
stage_1,pipeline_28,start_time,2017-08-11 22:12:34.126739
stage_1,pipeline_28,wait_time,2017-08-11 22:12:34.129641
stage_1,pipeline_28,res_time,2017-08-11 22:13:37.317762
stage_1,pipeline_28,done_time,2017-08-11 22:13:37.317837
stage_1,pipeline_29,start_time,2017-08-11 22:12:34.127317
stage_1,pipeline_29,wait_time,2017-08-11 22:12:34.129644
stage_1,pipeline_29,res_time,2017-08-11 22:13:46.755519
stage_1,pipeline_29,done_time,2017-08-11 22:13:46.755602
stage_1,pipeline_30,start_time,2017-08-11 22:12:34.127884
stage_1,pipeline_30,wait_time,2017-08-11 22:12:34.129647
stage_1,pipeline_30,res_time,2017-08-11 22:13:38.537775
stage_1,pipeline_30,done_time,2017-08-11 22:13:38.537857
stage_1,pipeline_31,start_time,2017-08-11 22:12:34.128444
stage_1,pipeline_31,wait_time,2017-08-11 22:12:34.129649
stage_1,pipeline_31,res_time,2017-08-11 22:13:42.471739
stage_1,pipeline_31,done_time,2017-08-11 22:13:42.471808
stage_1,pipeline_32,start_time,2017-08-11 22:12:34.129010
stage_1,pipeline_32,wait_time,2017-08-11 22:12:34.129652
stage_1,pipeline_32,res_time,2017-08-11 22:13:34.835999
stage_1,pipeline_32,done_time,2017-08-11 22:13:34.836025
stage_2,pipeline_1,start_time,2017-08-11 22:13:46.146366
stage_2,pipeline_1,wait_time,2017-08-11 22:13:46.148565
stage_2,pipeline_1,res_time,2017-08-11 22:14:29.766386
stage_2,pipeline_1,done_time,2017-08-11 22:14:29.766462
stage_2,pipeline_2,start_time,2017-08-11 22:13:53.746109
stage_2,pipeline_2,wait_time,2017-08-11 22:13:53.748287
stage_2,pipeline_2,res_time,2017-08-11 22:14:36.281508
stage_2,pipeline_2,done_time,2017-08-11 22:14:36.281534
stage_2,pipeline_3,start_time,2017-08-11 22:13:56.222555
stage_2,pipeline_3,wait_time,2017-08-11 22:13:56.225000
stage_2,pipeline_3,res_time,2017-08-11 22:14:37.509712
