uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502243584.87, 1502243594.93, 1502243594.93, 1502243595.26, 1502243595.26, 1502243595.27, 1502243595.27,1502243597.31, 1502243611.58, 1502243611.62, 1502243611.63, 1502243613.63, 1502243613.73
unit.000001, stage_1, 1502243584.87, 1502243598.98, 1502243598.98, 1502243599.27, 1502243599.28, 1502243599.28, 1502243599.29,1502243599.99, 1502243623.59, 1502243623.63, 1502243623.64, 1502243624.34, 1502243624.45
unit.000002, stage_1, 1502243584.87, 1502243599.06, 1502243599.06, 1502243599.28, 1502243599.29, 1502243599.29, 1502243599.3,1502243600.02, 1502243627.13, 1502243627.15, 1502243627.15, 1502243628.79, 1502243628.89
unit.000003, stage_1, 1502243584.87, 1502243599.18, 1502243599.18, 1502243599.43, 1502243599.44, 1502243599.44, 1502243599.45,1502243600.1, 1502243610.44, 1502243610.45, 1502243610.46, 1502243613.8, 1502243613.9
unit.000004, stage_1, 1502243584.87, 1502243599.27, 1502243599.27, 1502243599.6, 1502243599.6, 1502243599.6, 1502243599.61,1502243600.17, 1502243627.64, 1502243627.66, 1502243627.67, 1502243628.95, 1502243629.05
unit.000005, stage_1, 1502243584.87, 1502243599.38, 1502243599.38, 1502243599.61, 1502243599.62, 1502243599.62, 1502243599.63,1502243600.23, 1502243627.54, 1502243627.55, 1502243627.55, 1502243629.0, 1502243629.1
unit.000006, stage_1, 1502243584.87, 1502243599.47, 1502243599.47, 1502243599.76, 1502243599.76, 1502243599.77, 1502243599.77,1502243600.3, 1502243629.48, 1502243629.51, 1502243629.52, 1502243631.11, 1502243631.21
unit.000007, stage_1, 1502243584.87, 1502243599.58, 1502243599.58, 1502243599.93, 1502243599.97, 1502243599.97, 1502243599.98,1502243600.38, 1502243629.47, 1502243629.49, 1502243629.5, 1502243631.29, 1502243631.39
unit.000008, stage_1, 1502243584.87, 1502243599.67, 1502243599.67, 1502243599.98, 1502243599.99, 1502243599.99, 1502243600.0,1502243600.45, 1502243615.22, 1502243615.23, 1502243615.24, 1502243616.42, 1502243616.52
unit.000009, stage_1, 1502243584.87, 1502243595.13, 1502243595.13, 1502243595.42, 1502243595.42, 1502243595.43, 1502243595.43,1502243597.42, 1502243623.69, 1502243623.76, 1502243623.77, 1502243625.12, 1502243625.22
unit.000010, stage_1, 1502243584.87, 1502243595.39, 1502243595.39, 1502243595.76, 1502243595.76, 1502243595.77, 1502243595.78,1502243597.62, 1502243627.12, 1502243627.14, 1502243627.14, 1502243628.74, 1502243628.85
unit.000011, stage_1, 1502243584.87, 1502243595.73, 1502243595.73, 1502243595.93, 1502243595.94, 1502243595.94, 1502243595.95,1502243597.81, 1502243629.46, 1502243629.48, 1502243629.49, 1502243631.08, 1502243631.18
unit.000012, stage_1, 1502243584.87, 1502243596.01, 1502243596.01, 1502243596.26, 1502243596.27, 1502243596.28, 1502243596.28,1502243598.0, 1502243610.74, 1502243610.75, 1502243610.75, 1502243611.78, 1502243611.88
unit.000013, stage_1, 1502243584.87, 1502243596.21, 1502243596.21, 1502243596.43, 1502243596.43, 1502243596.44, 1502243596.45,1502243598.13, 1502243609.31, 1502243609.33, 1502243609.34, 1502243611.78, 1502243611.88
unit.000014, stage_1, 1502243584.87, 1502243596.55, 1502243596.55, 1502243597.17, 1502243597.18, 1502243597.2, 1502243597.21,1502243598.33, 1502243616.04, 1502243616.1, 1502243616.11, 1502243617.55, 1502243617.65
unit.000015, stage_1, 1502243584.87, 1502243596.75, 1502243596.75, 1502243597.21, 1502243597.23, 1502243597.24, 1502243597.25,1502243598.46, 1502243616.24, 1502243616.24, 1502243616.25, 1502243618.56, 1502243618.66
unit.000016, stage_1, 1502243584.87, 1502243597.02, 1502243597.02, 1502243597.28, 1502243597.28, 1502243597.29, 1502243597.3,1502243598.67, 1502243617.07, 1502243617.12, 1502243617.12, 1502243618.86, 1502243618.96
unit.000017, stage_1, 1502243584.87, 1502243597.36, 1502243597.36, 1502243597.58, 1502243597.59, 1502243597.59, 1502243597.59,1502243598.87, 1502243610.02, 1502243610.03, 1502243610.04, 1502243612.2, 1502243612.3
unit.000018, stage_1, 1502243584.87, 1502243597.62, 1502243597.62, 1502243597.95, 1502243597.96, 1502243597.96, 1502243597.97,1502243599.07, 1502243617.48, 1502243617.52, 1502243617.53, 1502243619.26, 1502243619.36
unit.000019, stage_1, 1502243584.87, 1502243598.86, 1502243598.86, 1502243599.11, 1502243599.11, 1502243599.12, 1502243599.13,1502243599.87, 1502243610.36, 1502243610.37, 1502243610.37, 1502243613.6, 1502243613.7
unit.000020, stage_1, 1502243584.87, 1502243592.68, 1502243592.68, 1502243593.17, 1502243593.17, 1502243593.18, 1502243593.19,1502243595.57, 1502243621.75, 1502243621.78, 1502243621.79, 1502243622.91, 1502243623.01
unit.000021, stage_1, 1502243584.87, 1502243597.97, 1502243597.97, 1502243598.25, 1502243598.25, 1502243598.26, 1502243598.27,1502243599.27, 1502243617.36, 1502243617.38, 1502243617.38, 1502243619.47, 1502243619.57
unit.000022, stage_1, 1502243584.87, 1502243592.27, 1502243592.27, 1502243592.49, 1502243592.5, 1502243592.5, 1502243592.51,1502243595.36, 1502243623.71, 1502243623.81, 1502243623.81, 1502243624.92, 1502243625.02
unit.000023, stage_1, 1502243584.87, 1502243598.38, 1502243598.38, 1502243598.59, 1502243598.6, 1502243598.6, 1502243598.61,1502243599.53, 1502243622.87, 1502243622.87, 1502243622.88, 1502243624.1, 1502243624.2
unit.000024, stage_1, 1502243584.87, 1502243598.58, 1502243598.58, 1502243598.93, 1502243598.93, 1502243598.94, 1502243598.95,1502243599.67, 1502243623.58, 1502243623.63, 1502243623.63, 1502243624.3, 1502243624.4
unit.000025, stage_1, 1502243584.87, 1502243598.78, 1502243598.78, 1502243599.1, 1502243599.1, 1502243599.11, 1502243599.12,1502243599.81, 1502243623.76, 1502243623.83, 1502243623.83, 1502243625.52, 1502243625.63
unit.000026, stage_1, 1502243584.87, 1502243586.85, 1502243586.85, 1502243591.74, 1502243591.75, 1502243591.77, 1502243591.78,1502243592.06, 1502243597.91, 1502243597.93, 1502243597.93, 1502243599.57, 1502243599.67
unit.000027, stage_1, 1502243584.87, 1502243587.05, 1502243587.05, 1502243591.76, 1502243591.76, 1502243591.8, 1502243591.81,1502243592.38, 1502243598.4, 1502243598.41, 1502243598.41, 1502243599.95, 1502243600.05
unit.000028, stage_1, 1502243584.87, 1502243587.38, 1502243587.38, 1502243591.79, 1502243591.8, 1502243591.84, 1502243591.84,1502243592.45, 1502243598.62, 1502243598.62, 1502243598.63, 1502243600.19, 1502243600.29
unit.000029, stage_1, 1502243584.87, 1502243587.59, 1502243587.59, 1502243591.83, 1502243591.84, 1502243591.87, 1502243591.87,1502243592.45, 1502243598.84, 1502243598.84, 1502243598.85, 1502243600.39, 1502243600.5
unit.000030, stage_1, 1502243584.87, 1502243587.86, 1502243587.86, 1502243591.87, 1502243591.88, 1502243591.9, 1502243591.91,1502243592.48, 1502243599.36, 1502243599.37, 1502243599.38, 1502243600.76, 1502243600.86
unit.000031, stage_1, 1502243584.87, 1502243588.06, 1502243588.06, 1502243591.9, 1502243591.91, 1502243591.92, 1502243591.93,1502243592.51, 1502243599.37, 1502243599.38, 1502243599.38, 1502243600.96, 1502243601.06
unit.000032, stage_1, 1502243584.87, 1502243588.41, 1502243588.41, 1502243591.94, 1502243591.95, 1502243591.96, 1502243591.97,1502243592.65, 1502243600.83, 1502243600.83, 1502243600.83, 1502243601.21, 1502243601.32
