stage, pipeline, probe,timestamp

stage_1,pipeline_1,start_time,2017-08-09 03:53:04.711988
stage_1,pipeline_1,wait_time,2017-08-09 03:53:04.780762
stage_1,pipeline_1,res_time,2017-08-09 03:55:05.791809
stage_1,pipeline_1,done_time,2017-08-09 03:55:05.791849
stage_1,pipeline_2,start_time,2017-08-09 03:53:04.714431
stage_1,pipeline_2,wait_time,2017-08-09 03:53:04.780766
stage_1,pipeline_2,res_time,2017-08-09 03:55:05.183851
stage_1,pipeline_2,done_time,2017-08-09 03:55:05.183934
stage_1,pipeline_3,start_time,2017-08-09 03:53:04.716455
stage_1,pipeline_3,wait_time,2017-08-09 03:53:04.780768
stage_1,pipeline_3,res_time,2017-08-09 03:55:04.568052
stage_1,pipeline_3,done_time,2017-08-09 03:55:04.568134
stage_1,pipeline_4,start_time,2017-08-09 03:53:04.717364
stage_1,pipeline_4,wait_time,2017-08-09 03:53:04.780772
stage_1,pipeline_4,res_time,2017-08-09 03:55:03.952962
stage_1,pipeline_4,done_time,2017-08-09 03:55:03.953036
stage_1,pipeline_5,start_time,2017-08-09 03:53:04.718215
stage_1,pipeline_5,wait_time,2017-08-09 03:53:04.780774
stage_1,pipeline_5,res_time,2017-08-09 03:55:08.246047
stage_1,pipeline_5,done_time,2017-08-09 03:55:08.246110
stage_1,pipeline_6,start_time,2017-08-09 03:53:04.718841
stage_1,pipeline_6,wait_time,2017-08-09 03:53:04.780776
stage_1,pipeline_6,res_time,2017-08-09 03:55:07.632859
stage_1,pipeline_6,done_time,2017-08-09 03:55:07.632943
stage_1,pipeline_7,start_time,2017-08-09 03:53:04.719446
stage_1,pipeline_7,wait_time,2017-08-09 03:53:04.780778
stage_1,pipeline_7,res_time,2017-08-09 03:55:07.024099
stage_1,pipeline_7,done_time,2017-08-09 03:55:07.024148
stage_1,pipeline_8,start_time,2017-08-09 03:53:04.720058
stage_1,pipeline_8,wait_time,2017-08-09 03:53:04.780780
stage_1,pipeline_8,res_time,2017-08-09 03:55:06.397149
stage_1,pipeline_8,done_time,2017-08-09 03:55:06.397225
stage_1,pipeline_9,start_time,2017-08-09 03:53:04.720688
stage_1,pipeline_9,wait_time,2017-08-09 03:53:04.780783
stage_1,pipeline_9,res_time,2017-08-09 03:55:00.869840
stage_1,pipeline_9,done_time,2017-08-09 03:55:00.869922
stage_1,pipeline_10,start_time,2017-08-09 03:53:04.721311
stage_1,pipeline_10,wait_time,2017-08-09 03:53:04.780785
stage_1,pipeline_10,res_time,2017-08-09 03:55:00.244529
stage_1,pipeline_10,done_time,2017-08-09 03:55:00.244613
stage_1,pipeline_11,start_time,2017-08-09 03:53:04.721916
stage_1,pipeline_11,wait_time,2017-08-09 03:53:04.780787
stage_1,pipeline_11,res_time,2017-08-09 03:53:59.865252
stage_1,pipeline_11,done_time,2017-08-09 03:53:59.865336
stage_1,pipeline_12,start_time,2017-08-09 03:53:04.722518
stage_1,pipeline_12,wait_time,2017-08-09 03:53:04.780789
stage_1,pipeline_12,res_time,2017-08-09 03:54:00.485724
stage_1,pipeline_12,done_time,2017-08-09 03:54:00.485810
stage_1,pipeline_13,start_time,2017-08-09 03:53:04.723172
stage_1,pipeline_13,wait_time,2017-08-09 03:53:04.780791
stage_1,pipeline_13,res_time,2017-08-09 03:53:32.548872
stage_1,pipeline_13,done_time,2017-08-09 03:53:32.548945
stage_1,pipeline_14,start_time,2017-08-09 03:53:04.723777
stage_1,pipeline_14,wait_time,2017-08-09 03:53:04.780793
stage_1,pipeline_14,res_time,2017-08-09 03:53:33.159066
stage_1,pipeline_14,done_time,2017-08-09 03:53:33.159154
stage_1,pipeline_15,start_time,2017-08-09 03:53:04.724475
stage_1,pipeline_15,wait_time,2017-08-09 03:53:04.780796
stage_1,pipeline_15,res_time,2017-08-09 03:54:01.090089
stage_1,pipeline_15,done_time,2017-08-09 03:54:01.090172
stage_1,pipeline_16,start_time,2017-08-09 03:53:04.725088
stage_1,pipeline_16,wait_time,2017-08-09 03:53:04.780798
stage_1,pipeline_16,res_time,2017-08-09 03:54:01.711102
stage_1,pipeline_16,done_time,2017-08-09 03:54:01.711184
stage_1,pipeline_17,start_time,2017-08-09 03:53:04.725675
stage_1,pipeline_17,wait_time,2017-08-09 03:53:04.780800
stage_1,pipeline_17,res_time,2017-08-09 03:54:02.319329
stage_1,pipeline_17,done_time,2017-08-09 03:54:02.319415
stage_1,pipeline_18,start_time,2017-08-09 03:53:04.726267
stage_1,pipeline_18,wait_time,2017-08-09 03:53:04.780802
stage_1,pipeline_18,res_time,2017-08-09 03:53:33.767888
stage_1,pipeline_18,done_time,2017-08-09 03:53:33.767971
stage_1,pipeline_19,start_time,2017-08-09 03:53:04.726854
stage_1,pipeline_19,wait_time,2017-08-09 03:53:04.780804
stage_1,pipeline_19,res_time,2017-08-09 03:53:58.619685
stage_1,pipeline_19,done_time,2017-08-09 03:53:58.619756
stage_1,pipeline_20,start_time,2017-08-09 03:53:04.727434
stage_1,pipeline_20,wait_time,2017-08-09 03:53:04.780806
stage_1,pipeline_20,res_time,2017-08-09 03:53:59.242251
stage_1,pipeline_20,done_time,2017-08-09 03:53:59.242335
stage_1,pipeline_21,start_time,2017-08-09 03:53:04.728011
stage_1,pipeline_21,wait_time,2017-08-09 03:53:04.780808
stage_1,pipeline_21,res_time,2017-08-09 03:54:12.159587
stage_1,pipeline_21,done_time,2017-08-09 03:54:12.159667
stage_1,pipeline_22,start_time,2017-08-09 03:53:04.728599
stage_1,pipeline_22,wait_time,2017-08-09 03:53:04.780810
stage_1,pipeline_22,res_time,2017-08-09 03:54:11.553893
stage_1,pipeline_22,done_time,2017-08-09 03:54:11.554003
stage_1,pipeline_23,start_time,2017-08-09 03:53:04.729185
stage_1,pipeline_23,wait_time,2017-08-09 03:53:04.780812
stage_1,pipeline_23,res_time,2017-08-09 03:55:08.862702
stage_1,pipeline_23,done_time,2017-08-09 03:55:08.862821
stage_1,pipeline_24,start_time,2017-08-09 03:53:04.729847
stage_1,pipeline_24,wait_time,2017-08-09 03:53:04.780814
stage_1,pipeline_24,res_time,2017-08-09 03:54:12.774257
stage_1,pipeline_24,done_time,2017-08-09 03:54:12.774355
stage_1,pipeline_25,start_time,2017-08-09 03:53:04.730430
stage_1,pipeline_25,wait_time,2017-08-09 03:53:04.780816
stage_1,pipeline_25,res_time,2017-08-09 03:54:54.071762
stage_1,pipeline_25,done_time,2017-08-09 03:54:54.071873
stage_1,pipeline_26,start_time,2017-08-09 03:53:04.731014
stage_1,pipeline_26,wait_time,2017-08-09 03:53:04.780818
stage_1,pipeline_26,res_time,2017-08-09 03:54:10.330154
stage_1,pipeline_26,done_time,2017-08-09 03:54:10.330234
stage_1,pipeline_27,start_time,2017-08-09 03:53:04.731593
stage_1,pipeline_27,wait_time,2017-08-09 03:53:04.780820
stage_1,pipeline_27,res_time,2017-08-09 03:53:22.891715
stage_1,pipeline_27,done_time,2017-08-09 03:53:22.891797
stage_1,pipeline_28,start_time,2017-08-09 03:53:04.732356
stage_1,pipeline_28,wait_time,2017-08-09 03:53:04.780822
stage_1,pipeline_28,res_time,2017-08-09 03:53:22.268621
stage_1,pipeline_28,done_time,2017-08-09 03:53:22.268726
stage_1,pipeline_29,start_time,2017-08-09 03:53:04.732955
stage_1,pipeline_29,wait_time,2017-08-09 03:53:04.780824
stage_1,pipeline_29,res_time,2017-08-09 03:53:21.653843
stage_1,pipeline_29,done_time,2017-08-09 03:53:21.653926
stage_1,pipeline_30,start_time,2017-08-09 03:53:04.733539
stage_1,pipeline_30,wait_time,2017-08-09 03:53:04.780827
stage_1,pipeline_30,res_time,2017-08-09 03:53:21.043777
stage_1,pipeline_30,done_time,2017-08-09 03:53:21.043856
stage_1,pipeline_31,start_time,2017-08-09 03:53:04.734129
stage_1,pipeline_31,wait_time,2017-08-09 03:53:04.780829
stage_1,pipeline_31,res_time,2017-08-09 03:53:24.135488
stage_1,pipeline_31,done_time,2017-08-09 03:53:24.135596
stage_1,pipeline_32,start_time,2017-08-09 03:53:04.734685
stage_1,pipeline_32,wait_time,2017-08-09 03:53:04.780831
stage_1,pipeline_32,res_time,2017-08-09 03:53:38.739541
stage_1,pipeline_32,done_time,2017-08-09 03:53:38.739617
stage_1,pipeline_33,start_time,2017-08-09 03:53:04.735249
stage_1,pipeline_33,wait_time,2017-08-09 03:53:04.780833
stage_1,pipeline_33,res_time,2017-08-09 03:53:38.117562
stage_1,pipeline_33,done_time,2017-08-09 03:53:38.117637
stage_1,pipeline_34,start_time,2017-08-09 03:53:04.735895
stage_1,pipeline_34,wait_time,2017-08-09 03:53:04.780835
stage_1,pipeline_34,res_time,2017-08-09 03:53:36.249054
stage_1,pipeline_34,done_time,2017-08-09 03:53:36.249141
stage_1,pipeline_35,start_time,2017-08-09 03:53:04.736454
stage_1,pipeline_35,wait_time,2017-08-09 03:53:04.780837
stage_1,pipeline_35,res_time,2017-08-09 03:53:40.582617
stage_1,pipeline_35,done_time,2017-08-09 03:53:40.582700
stage_1,pipeline_36,start_time,2017-08-09 03:53:04.737020
stage_1,pipeline_36,wait_time,2017-08-09 03:53:04.780839
stage_1,pipeline_36,res_time,2017-08-09 03:53:41.198375
stage_1,pipeline_36,done_time,2017-08-09 03:53:41.198461
stage_1,pipeline_37,start_time,2017-08-09 03:53:04.737560
stage_1,pipeline_37,wait_time,2017-08-09 03:53:04.780841
stage_1,pipeline_37,res_time,2017-08-09 03:53:39.352750
stage_1,pipeline_37,done_time,2017-08-09 03:53:39.352833
stage_1,pipeline_38,start_time,2017-08-09 03:53:04.738109
stage_1,pipeline_38,wait_time,2017-08-09 03:53:04.780843
stage_1,pipeline_38,res_time,2017-08-09 03:53:39.966828
stage_1,pipeline_38,done_time,2017-08-09 03:53:39.966951
stage_1,pipeline_39,start_time,2017-08-09 03:53:04.738649
stage_1,pipeline_39,wait_time,2017-08-09 03:53:04.780845
stage_1,pipeline_39,res_time,2017-08-09 03:53:47.990568
stage_1,pipeline_39,done_time,2017-08-09 03:53:47.990667
stage_1,pipeline_40,start_time,2017-08-09 03:53:04.739203
stage_1,pipeline_40,wait_time,2017-08-09 03:53:04.780847
stage_1,pipeline_40,res_time,2017-08-09 03:53:50.469898
stage_1,pipeline_40,done_time,2017-08-09 03:53:50.469969
stage_1,pipeline_41,start_time,2017-08-09 03:53:04.739726
stage_1,pipeline_41,wait_time,2017-08-09 03:53:04.780849
stage_1,pipeline_41,res_time,2017-08-09 03:53:42.413312
stage_1,pipeline_41,done_time,2017-08-09 03:53:42.413406
stage_1,pipeline_42,start_time,2017-08-09 03:53:04.740447
stage_1,pipeline_42,wait_time,2017-08-09 03:53:04.780851
stage_1,pipeline_42,res_time,2017-08-09 03:53:41.807254
stage_1,pipeline_42,done_time,2017-08-09 03:53:41.807326
stage_1,pipeline_43,start_time,2017-08-09 03:53:04.741101
stage_1,pipeline_43,wait_time,2017-08-09 03:53:04.780853
stage_1,pipeline_43,res_time,2017-08-09 03:54:37.403277
stage_1,pipeline_43,done_time,2017-08-09 03:54:37.403360
stage_1,pipeline_44,start_time,2017-08-09 03:53:04.741636
stage_1,pipeline_44,wait_time,2017-08-09 03:53:04.780855
