uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502735947.46, 1502735955.3, 1502735955.3, 1502735962.81, 1502735962.81, 1502735963.85, 1502735963.86,1502735967.18, 1502736191.31, 1502736191.41, 1502736191.41, 1502736194.21, 1502736194.31
unit.000001, stage_1, 1502735947.46, 1502735954.86, 1502735954.86, 1502735962.78, 1502735962.78, 1502735963.82, 1502735963.82,1502735966.96, 1502736191.14, 1502736191.17, 1502736191.18, 1502736193.8, 1502736193.91
unit.000002, stage_1, 1502735947.46, 1502735954.9, 1502735954.9, 1502735962.78, 1502735962.79, 1502735963.82, 1502735963.83,1502735967.01, 1502736191.27, 1502736191.35, 1502736191.35, 1502736193.81, 1502736193.91
unit.000003, stage_1, 1502735947.46, 1502735955.06, 1502735955.06, 1502735962.79, 1502735962.79, 1502735963.83, 1502735963.83,1502735967.05, 1502736191.31, 1502736191.4, 1502736191.4, 1502736194.01, 1502736194.11
unit.000004, stage_1, 1502735947.46, 1502735955.1, 1502735955.1, 1502735962.8, 1502735962.8, 1502735963.84, 1502735963.84,1502735967.09, 1502736202.86, 1502736202.96, 1502736202.96, 1502736205.34, 1502736205.44
unit.000005, stage_1, 1502735947.46, 1502735955.26, 1502735955.26, 1502735962.8, 1502735962.81, 1502735963.84, 1502735963.85,1502735967.14, 1502736191.28, 1502736191.36, 1502736191.36, 1502736194.01, 1502736194.11
unit.000006, stage_1, 1502735947.46, 1502735955.47, 1502735955.47, 1502735962.82, 1502735962.82, 1502735963.86, 1502735963.86,1502735967.23, 1502736202.89, 1502736203.01, 1502736203.01, 1502736205.44, 1502736205.54
unit.000007, stage_1, 1502735947.46, 1502735955.5, 1502735955.5, 1502735962.82, 1502735962.83, 1502735963.87, 1502735963.87,1502735967.28, 1502736202.86, 1502736202.97, 1502736202.97, 1502736205.54, 1502736205.64
unit.000008, stage_1, 1502735947.46, 1502735954.49, 1502735954.49, 1502735962.77, 1502735962.77, 1502735963.81, 1502735963.81,1502735966.92, 1502736202.91, 1502736203.02, 1502736203.03, 1502736205.24, 1502736205.34
unit.000009, stage_1, 1502735947.46, 1502735949.63, 1502735949.63, 1502735962.45, 1502735962.45, 1502735963.39, 1502735963.39,1502735964.49, 1502736172.51, 1502736172.52, 1502736172.53, 1502736173.57, 1502736173.67
unit.000010, stage_1, 1502735947.46, 1502735950.03, 1502735950.03, 1502735962.47, 1502735962.48, 1502735963.42, 1502735963.42,1502735964.65, 1502736172.53, 1502736172.54, 1502736172.55, 1502736174.17, 1502736174.27
unit.000011, stage_1, 1502735947.46, 1502735950.43, 1502735950.43, 1502735962.5, 1502735962.5, 1502735963.51, 1502735963.51,1502735964.86, 1502736191.12, 1502736191.14, 1502736191.15, 1502736192.19, 1502736192.29
unit.000012, stage_1, 1502735947.46, 1502735950.69, 1502735950.69, 1502735962.52, 1502735962.52, 1502735963.53, 1502735963.53,1502735965.0, 1502736191.23, 1502736191.24, 1502736191.26, 1502736192.4, 1502736192.5
unit.000013, stage_1, 1502735947.46, 1502735951.09, 1502735951.09, 1502735962.54, 1502735962.55, 1502735963.55, 1502735963.56,1502735965.18, 1502736198.53, 1502736198.61, 1502736198.62, 1502736199.92, 1502736200.02
unit.000014, stage_1, 1502735947.46, 1502735951.49, 1502735951.49, 1502735962.57, 1502735962.57, 1502735963.58, 1502735963.59,1502735965.38, 1502736202.84, 1502736202.9, 1502736202.92, 1502736204.54, 1502736204.64
unit.000015, stage_1, 1502735947.46, 1502735951.89, 1502735951.89, 1502735962.59, 1502735962.6, 1502735963.61, 1502735963.61,1502735965.55, 1502736198.39, 1502736198.42, 1502736198.43, 1502736200.12, 1502736200.22
unit.000016, stage_1, 1502735947.46, 1502735952.29, 1502735952.29, 1502735962.62, 1502735962.62, 1502735963.64, 1502735963.64,1502735965.74, 1502736198.5, 1502736198.57, 1502736198.57, 1502736200.32, 1502736200.42
unit.000017, stage_1, 1502735947.46, 1502735952.69, 1502735952.69, 1502735962.64, 1502735962.65, 1502735963.67, 1502735963.67,1502735965.92, 1502736198.51, 1502736198.58, 1502736198.59, 1502736200.53, 1502736200.63
unit.000018, stage_1, 1502735947.46, 1502735952.89, 1502735952.89, 1502735962.66, 1502735962.66, 1502735963.68, 1502735963.68,1502735966.01, 1502736198.55, 1502736198.64, 1502736198.64, 1502736200.73, 1502736200.83
unit.000019, stage_1, 1502735947.46, 1502735953.29, 1502735953.29, 1502735962.68, 1502735962.69, 1502735963.71, 1502735963.71,1502735966.18, 1502736191.28, 1502736191.37, 1502736191.38, 1502736193.2, 1502736193.3
unit.000020, stage_1, 1502735947.46, 1502735953.65, 1502735953.65, 1502735962.7, 1502735962.7, 1502735963.73, 1502735963.73,1502735966.31, 1502736198.53, 1502736198.6, 1502736198.61, 1502736201.13, 1502736201.23
unit.000021, stage_1, 1502735947.46, 1502735954.06, 1502735954.06, 1502735962.73, 1502735962.73, 1502735963.76, 1502735963.76,1502735966.49, 1502736198.56, 1502736198.65, 1502736198.65, 1502736201.33, 1502736201.43
unit.000022, stage_1, 1502735947.46, 1502735954.26, 1502735954.26, 1502735962.74, 1502735962.74, 1502735963.77, 1502735963.78,1502735966.57, 1502736191.29, 1502736191.38, 1502736191.38, 1502736193.4, 1502736193.51
unit.000023, stage_1, 1502735947.46, 1502735954.66, 1502735954.66, 1502735962.76, 1502735962.76, 1502735963.79, 1502735963.8,1502735966.83, 1502736191.26, 1502736191.34, 1502736191.35, 1502736193.6, 1502736193.7
unit.000024, stage_1, 1502735947.46, 1502735950.49, 1502735950.49, 1502735962.51, 1502735962.51, 1502735963.51, 1502735963.52,1502735964.91, 1502736191.28, 1502736191.37, 1502736191.37, 1502736192.2, 1502736192.3
unit.000025, stage_1, 1502735947.46, 1502735952.84, 1502735952.84, 1502735962.65, 1502735962.65, 1502735963.67, 1502735963.68,1502735965.96, 1502736198.41, 1502736198.43, 1502736198.44, 1502736200.73, 1502736200.83
unit.000026, stage_1, 1502735947.46, 1502735954.69, 1502735954.69, 1502735962.76, 1502735962.77, 1502735963.8, 1502735963.81,1502735966.88, 1502736191.3, 1502736191.39, 1502736191.39, 1502736193.61, 1502736193.71
unit.000027, stage_1, 1502735947.46, 1502735951.24, 1502735951.24, 1502735962.55, 1502735962.55, 1502735963.56, 1502735963.57,1502735965.25, 1502736202.87, 1502736202.98, 1502736202.98, 1502736203.94, 1502736204.04
unit.000028, stage_1, 1502735947.46, 1502735953.45, 1502735953.45, 1502735962.69, 1502735962.69, 1502735963.71, 1502735963.72,1502735966.22, 1502736198.52, 1502736198.59, 1502736198.6, 1502736200.93, 1502736201.03
unit.000029, stage_1, 1502735947.46, 1502735949.69, 1502735949.69, 1502735962.45, 1502735962.46, 1502735963.39, 1502735963.4,1502735964.52, 1502736172.93, 1502736172.94, 1502736172.95, 1502736173.96, 1502736174.07
unit.000030, stage_1, 1502735947.46, 1502735952.04, 1502735952.04, 1502735962.6, 1502735962.6, 1502735963.62, 1502735963.62,1502735965.59, 1502736202.87, 1502736202.99, 1502736202.99, 1502736204.64, 1502736204.74
unit.000031, stage_1, 1502735947.46, 1502735951.29, 1502735951.29, 1502735962.56, 1502735962.56, 1502735963.57, 1502735963.57,1502735965.3, 1502736202.83, 1502736202.87, 1502736202.89, 1502736204.14, 1502736204.24
unit.000032, stage_1, 1502735947.46, 1502735953.9, 1502735953.9, 1502735962.72, 1502735962.72, 1502735963.75, 1502735963.76,1502735966.44, 1502736191.25, 1502736191.34, 1502736191.34, 1502736193.4, 1502736193.5
unit.000033, stage_1, 1502735947.46, 1502735953.25, 1502735953.25, 1502735962.68, 1502735962.68, 1502735963.7, 1502735963.7,1502735966.13, 1502736191.24, 1502736191.32, 1502736191.32, 1502736193.0, 1502736193.1
unit.000034, stage_1, 1502735947.46, 1502735952.64, 1502735952.64, 1502735962.64, 1502735962.64, 1502735963.66, 1502735963.66,1502735965.87, 1502736198.54, 1502736198.62, 1502736198.62, 1502736200.52, 1502736200.62
unit.000035, stage_1, 1502735947.46, 1502735951.84, 1502735951.84, 1502735962.59, 1502735962.59, 1502735963.6, 1502735963.61,1502735965.51, 1502736191.24, 1502736191.3, 1502736191.32, 1502736192.8, 1502736192.9
unit.000036, stage_1, 1502735947.46, 1502735951.04, 1502735951.04, 1502735962.54, 1502735962.54, 1502735963.55, 1502735963.55,1502735965.13, 1502736191.23, 1502736191.27, 1502736191.29, 1502736192.6, 1502736192.7
unit.000037, stage_1, 1502735947.46, 1502735950.29, 1502735950.29, 1502735962.49, 1502735962.5, 1502735963.5, 1502735963.5,1502735964.81, 1502736184.09, 1502736184.11, 1502736184.11, 1502736185.39, 1502736185.49
unit.000038, stage_1, 1502735947.46, 1502735949.49, 1502735949.49, 1502735962.44, 1502735962.44, 1502735963.38, 1502735963.38,1502735964.42, 1502736171.61, 1502736171.63, 1502736171.63, 1502736173.56, 1502736173.66
unit.000039, stage_1, 1502735947.46, 1502735954.46, 1502735954.46, 1502735962.75, 1502735962.76, 1502735963.79, 1502735963.79,1502735966.79, 1502736202.85, 1502736202.95, 1502736202.95, 1502736205.14, 1502736205.24
unit.000040, stage_1, 1502735947.46, 1502735949.43, 1502735949.43, 1502735962.43, 1502735962.44, 1502735963.37, 1502735963.38,1502735964.38, 1502736172.61, 1502736172.64, 1502736172.64, 1502736173.77, 1502736173.87
