uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502733318.48, 1502733325.87, 1502733325.87, 1502733329.3, 1502733329.31, 1502733330.08, 1502733330.08,1502733333.04, 1502733469.09, 1502733469.11, 1502733469.12, 1502733470.32, 1502733470.42
unit.000001, stage_1, 1502733318.48, 1502733324.68, 1502733324.68, 1502733329.27, 1502733329.27, 1502733329.93, 1502733330.04,1502733332.73, 1502733467.51, 1502733467.61, 1502733467.62, 1502733469.72, 1502733469.82
unit.000002, stage_1, 1502733318.48, 1502733324.85, 1502733324.85, 1502733329.28, 1502733329.28, 1502733330.05, 1502733330.05,1502733332.81, 1502733467.54, 1502733467.67, 1502733467.67, 1502733469.92, 1502733470.02
unit.000003, stage_1, 1502733318.48, 1502733325.28, 1502733325.28, 1502733329.28, 1502733329.29, 1502733330.05, 1502733330.06,1502733332.86, 1502733467.51, 1502733467.62, 1502733467.62, 1502733469.92, 1502733470.02
unit.000004, stage_1, 1502733318.48, 1502733325.67, 1502733325.67, 1502733329.29, 1502733329.29, 1502733330.06, 1502733330.07,1502733332.92, 1502733467.56, 1502733467.69, 1502733467.69, 1502733470.12, 1502733470.22
unit.000005, stage_1, 1502733318.48, 1502733325.84, 1502733325.84, 1502733329.3, 1502733329.3, 1502733330.07, 1502733330.07,1502733332.98, 1502733469.08, 1502733469.09, 1502733469.1, 1502733470.12, 1502733470.22
unit.000006, stage_1, 1502733318.48, 1502733326.04, 1502733326.04, 1502733329.31, 1502733329.31, 1502733330.08, 1502733330.09,1502733333.1, 1502733469.08, 1502733469.1, 1502733469.11, 1502733470.32, 1502733470.42
unit.000007, stage_1, 1502733318.48, 1502733326.07, 1502733326.07, 1502733329.31, 1502733329.32, 1502733330.09, 1502733330.09,1502733333.16, 1502733469.1, 1502733469.12, 1502733469.12, 1502733470.52, 1502733470.62
unit.000008, stage_1, 1502733318.48, 1502733324.45, 1502733324.45, 1502733329.27, 1502733329.27, 1502733329.92, 1502733329.92,1502733332.68, 1502733467.57, 1502733467.7, 1502733467.71, 1502733469.72, 1502733469.82
unit.000009, stage_1, 1502733318.48, 1502733320.31, 1502733320.31, 1502733328.96, 1502733328.96, 1502733329.58, 1502733329.58,1502733330.2, 1502733421.85, 1502733448.4, 1502733448.43, 1502733450.27, 1502733450.37
unit.000010, stage_1, 1502733318.48, 1502733320.66, 1502733320.66, 1502733328.98, 1502733328.98, 1502733329.6, 1502733329.61,1502733330.34, 1502733421.87, 1502733448.49, 1502733448.51, 1502733450.49, 1502733450.59
unit.000011, stage_1, 1502733318.48, 1502733321.06, 1502733321.06, 1502733329.0, 1502733329.01, 1502733329.63, 1502733329.63,1502733330.52, 1502733456.41, 1502733456.52, 1502733456.52, 1502733457.5, 1502733457.6
unit.000012, stage_1, 1502733318.48, 1502733321.46, 1502733321.46, 1502733329.03, 1502733329.03, 1502733329.66, 1502733329.66,1502733330.71, 1502733456.4, 1502733456.5, 1502733456.51, 1502733457.9, 1502733458.0
unit.000013, stage_1, 1502733318.48, 1502733321.85, 1502733321.85, 1502733329.05, 1502733329.05, 1502733329.69, 1502733329.69,1502733330.89, 1502733456.36, 1502733456.44, 1502733456.44, 1502733458.29, 1502733458.39
unit.000014, stage_1, 1502733318.48, 1502733322.26, 1502733322.26, 1502733329.08, 1502733329.08, 1502733329.71, 1502733329.72,1502733331.07, 1502733456.37, 1502733456.46, 1502733456.46, 1502733458.69, 1502733458.79
unit.000015, stage_1, 1502733318.48, 1502733322.66, 1502733322.66, 1502733329.1, 1502733329.1, 1502733329.74, 1502733329.74,1502733331.27, 1502733456.56, 1502733456.62, 1502733456.62, 1502733458.9, 1502733459.0
unit.000016, stage_1, 1502733318.48, 1502733322.89, 1502733322.89, 1502733329.12, 1502733329.12, 1502733329.76, 1502733329.76,1502733331.41, 1502733456.38, 1502733456.47, 1502733456.48, 1502733459.1, 1502733459.2
unit.000017, stage_1, 1502733318.48, 1502733323.26, 1502733323.26, 1502733329.14, 1502733329.14, 1502733329.78, 1502733329.78,1502733331.56, 1502733464.43, 1502733464.47, 1502733464.47, 1502733465.41, 1502733465.51
unit.000018, stage_1, 1502733318.48, 1502733323.49, 1502733323.49, 1502733329.16, 1502733329.16, 1502733329.8, 1502733329.8,1502733331.7, 1502733456.55, 1502733456.6, 1502733456.61, 1502733459.49, 1502733459.59
