stage, pipeline, probe,timestamp

stage_1,pipeline_1,start_time,2017-08-20 18:52:54.560190
stage_1,pipeline_1,wait_time,2017-08-20 18:52:54.573839
stage_1,pipeline_1,res_time,2017-08-20 19:01:48.827364
stage_1,pipeline_1,done_time,2017-08-20 19:01:48.827436
stage_1,pipeline_2,start_time,2017-08-20 18:52:54.562698
stage_1,pipeline_2,wait_time,2017-08-20 18:52:54.573844
stage_1,pipeline_2,res_time,2017-08-20 19:01:56.652263
stage_1,pipeline_2,done_time,2017-08-20 19:01:56.652346
stage_1,pipeline_3,start_time,2017-08-20 18:52:54.564816
stage_1,pipeline_3,wait_time,2017-08-20 18:52:54.573848
stage_1,pipeline_3,res_time,2017-08-20 19:01:55.836245
stage_1,pipeline_3,done_time,2017-08-20 19:01:55.836327
stage_1,pipeline_4,start_time,2017-08-20 18:52:54.565461
stage_1,pipeline_4,wait_time,2017-08-20 18:52:54.573851
stage_1,pipeline_4,res_time,2017-08-20 19:01:55.117553
stage_1,pipeline_4,done_time,2017-08-20 19:01:55.117636
stage_1,pipeline_5,start_time,2017-08-20 18:52:54.566100
stage_1,pipeline_5,wait_time,2017-08-20 18:52:54.573854
stage_1,pipeline_5,res_time,2017-08-20 19:01:58.091390
stage_1,pipeline_5,done_time,2017-08-20 19:01:58.091474
stage_1,pipeline_6,start_time,2017-08-20 18:52:54.566916
stage_1,pipeline_6,wait_time,2017-08-20 18:52:54.573857
stage_1,pipeline_6,res_time,2017-08-20 19:01:48.112274
stage_1,pipeline_6,done_time,2017-08-20 19:01:48.112350
stage_1,pipeline_7,start_time,2017-08-20 18:52:54.567556
stage_1,pipeline_7,wait_time,2017-08-20 18:52:54.573860
stage_1,pipeline_7,res_time,2017-08-20 19:01:57.370345
stage_1,pipeline_7,done_time,2017-08-20 19:01:57.370427
stage_1,pipeline_8,start_time,2017-08-20 18:52:54.568189
stage_1,pipeline_8,wait_time,2017-08-20 18:52:54.573863
stage_1,pipeline_8,res_time,2017-08-20 19:01:38.535307
stage_1,pipeline_8,done_time,2017-08-20 19:01:38.535389
stage_1,pipeline_9,start_time,2017-08-20 18:52:54.568822
stage_1,pipeline_9,wait_time,2017-08-20 18:52:54.573865
stage_1,pipeline_9,res_time,2017-08-20 19:01:54.397111
stage_1,pipeline_9,done_time,2017-08-20 19:01:54.397186
stage_1,pipeline_10,start_time,2017-08-20 18:52:54.569457
stage_1,pipeline_10,wait_time,2017-08-20 18:52:54.573868
stage_1,pipeline_10,res_time,2017-08-20 19:01:53.678562
stage_1,pipeline_10,done_time,2017-08-20 19:01:53.678634
stage_1,pipeline_11,start_time,2017-08-20 18:52:54.570094
stage_1,pipeline_11,wait_time,2017-08-20 18:52:54.573871
stage_1,pipeline_11,res_time,2017-08-20 19:01:37.816805
stage_1,pipeline_11,done_time,2017-08-20 19:01:37.816886
stage_1,pipeline_12,start_time,2017-08-20 18:52:54.570704
stage_1,pipeline_12,wait_time,2017-08-20 18:52:54.573874
stage_1,pipeline_12,res_time,2017-08-20 19:01:45.968402
stage_1,pipeline_12,done_time,2017-08-20 19:01:45.968474
