uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1503247974.59, 1503247976.78, 1503247976.78, 1503248064.27, 1503248064.29, 1503248065.59, 1503248065.6,1503248065.8, 1503248503.08, 1503248503.14, 1503248503.15, 1503248505.14, 1503248505.25
unit.000001, stage_1, 1503247974.59, 1503247976.79, 1503247976.79, 1503248064.29, 1503248064.31, 1503248065.6, 1503248065.6,1503248065.84, 1503248503.12, 1503248503.2, 1503248503.2, 1503248505.75, 1503248505.86
unit.000002, stage_1, 1503247974.59, 1503247977.18, 1503247977.18, 1503248064.36, 1503248064.38, 1503248065.63, 1503248065.63,1503248065.97, 1503248503.14, 1503248503.23, 1503248503.23, 1503248506.15, 1503248506.25
unit.000003, stage_1, 1503247974.59, 1503247977.6, 1503247977.6, 1503248064.48, 1503248064.49, 1503248065.67, 1503248065.68,1503248066.18, 1503248503.11, 1503248503.18, 1503248503.19, 1503248505.55, 1503248505.65
unit.000004, stage_1, 1503247974.59, 1503247976.59, 1503247976.59, 1503248064.24, 1503248064.26, 1503248065.58, 1503248065.59,1503248065.75, 1503248503.13, 1503248503.22, 1503248503.22, 1503248505.95, 1503248506.07
unit.000005, stage_1, 1503247974.59, 1503247976.99, 1503247976.99, 1503248064.34, 1503248064.36, 1503248065.62, 1503248065.62,1503248065.93, 1503248503.09, 1503248503.15, 1503248503.16, 1503248505.34, 1503248505.44
unit.000006, stage_1, 1503247974.59, 1503247977.58, 1503247977.58, 1503248064.45, 1503248064.47, 1503248065.66, 1503248065.67,1503248066.14, 1503248503.13, 1503248503.21, 1503248503.21, 1503248505.95, 1503248506.05
unit.000007, stage_1, 1503247974.59, 1503247976.17, 1503247976.17, 1503248064.08, 1503248064.14, 1503248065.53, 1503248065.54,1503248065.57, 1503248422.35, 1503248494.75, 1503248494.78, 1503248495.91, 1503248496.01
unit.000008, stage_1, 1503247974.59, 1503247977.38, 1503247977.38, 1503248064.41, 1503248064.43, 1503248065.65, 1503248065.65,1503248066.06, 1503248509.07, 1503248509.07, 1503248509.08, 1503248510.58, 1503248510.68
unit.000009, stage_1, 1503247974.59, 1503247976.39, 1503247976.39, 1503248064.2, 1503248064.22, 1503248065.56, 1503248065.56,1503248065.69, 1503248503.12, 1503248503.19, 1503248503.2, 1503248505.74, 1503248505.84
unit.000010, stage_1, 1503247974.59, 1503247976.19, 1503247976.19, 1503248064.15, 1503248064.17, 1503248065.54, 1503248065.55,1503248065.68, 1503248422.39, 1503248494.79, 1503248494.8, 1503248496.11, 1503248496.22
unit.000011, stage_1, 1503247974.59, 1503247977.2, 1503247977.2, 1503248064.38, 1503248064.4, 1503248065.64, 1503248065.64,1503248066.01, 1503248503.09, 1503248503.16, 1503248503.17, 1503248505.35, 1503248505.45
unit.000012, stage_1, 1503247974.59, 1503247976.37, 1503247976.37, 1503248064.17, 1503248064.19, 1503248065.55, 1503248065.56,1503248065.69, 1503248503.04, 1503248503.08, 1503248503.1, 1503248504.94, 1503248505.04
unit.000013, stage_1, 1503247974.59, 1503247976.58, 1503247976.58, 1503248064.22, 1503248064.24, 1503248065.57, 1503248065.58,1503248065.71, 1503248503.07, 1503248503.11, 1503248503.13, 1503248505.14, 1503248505.24
unit.000014, stage_1, 1503247974.59, 1503247977.4, 1503247977.4, 1503248064.43, 1503248064.45, 1503248065.65, 1503248065.66,1503248066.1, 1503248503.1, 1503248503.17, 1503248503.18, 1503248505.54, 1503248505.64
unit.000015, stage_1, 1503247974.59, 1503247976.98, 1503247976.98, 1503248064.31, 1503248064.33, 1503248065.61, 1503248065.61,1503248065.88, 1503248422.38, 1503248494.78, 1503248494.79, 1503248495.91, 1503248496.02
unit.000016, stage_2, 1503248497.1, 1503248498.15, 1503248498.15, 1503248498.63, 1503248498.68, 1503248498.71, 1503248498.74,1503248498.77, 1503248729.58, 1503248729.71, 1503248729.75, 1503248731.57, 1503248731.67
unit.000017, stage_2, 1503248497.82, 1503248498.45, 1503248498.45, 1503248498.8, 1503248498.83, 1503248498.86, 1503248498.89,1503248498.92, 1503248728.56, 1503248728.75, 1503248728.78, 1503248730.17, 1503248730.36
unit.000018, stage_2, 1503248498.54, 1503248499.26, 1503248499.26, 1503248499.68, 1503248499.74, 1503248499.77, 1503248499.79,1503248499.83, 1503248728.62, 1503248728.81, 1503248728.84, 1503248730.17, 1503248730.37
unit.000019, stage_2, 1503248505.97, 1503248507.28, 1503248507.28, 1503248507.69, 1503248507.74, 1503248507.77, 1503248507.8,1503248507.83, 1503248729.68, 1503248729.85, 1503248729.88, 1503248731.57, 1503248731.77
unit.000020, stage_2, 1503248506.69, 1503248507.48, 1503248507.48, 1503248507.86, 1503248507.89, 1503248507.92, 1503248507.95,1503248507.98, 1503248729.64, 1503248729.79, 1503248729.82, 1503248731.77, 1503248731.98
unit.000021, stage_2, 1503248507.4, 1503248508.69, 1503248508.69, 1503248509.17, 1503248509.22, 1503248509.25, 1503248509.29,1503248509.32, 1503248854.84, 1503248854.97, 1503248855.06, 1503248856.18, 1503248856.38
unit.000022, stage_2, 1503248508.12, 1503248508.88, 1503248508.88, 1503248509.35, 1503248509.38, 1503248509.41, 1503248509.44,1503248509.47, 1503248855.0, 1503248855.21, 1503248855.24, 1503248856.19, 1503248856.4
unit.000023, stage_2, 1503248508.83, 1503248510.1, 1503248510.1, 1503248510.49, 1503248510.53, 1503248510.56, 1503248510.59,1503248510.62, 1503248854.9, 1503248855.09, 1503248855.12, 1503248856.48, 1503248856.68
unit.000024, stage_2, 1503248512.96, 1503248513.6, 1503248513.6, 1503248513.95, 1503248514.0, 1503248514.03, 1503248514.06,1503248514.09, 1503248834.77, 1503248834.88, 1503248834.97, 1503248836.63, 1503248836.83
