uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1503344530.79, 1503344532.1, 1503344532.1, 1503344536.06, 1503344536.06, 1503344536.1, 1503344536.11,1503344536.19, 1503345166.47, 1503345166.49, 1503345166.5, 1503345168.5, 1503345168.6
unit.000001, stage_1, 1503344530.79, 1503344532.1, 1503344532.1, 1503344536.05, 1503344536.06, 1503344536.09, 1503344536.1,1503344536.15, 1503344966.72, 1503344966.75, 1503344966.76, 1503344967.82, 1503344967.92
unit.000002, stage_1, 1503344530.79, 1503344531.9, 1503344531.9, 1503344536.05, 1503344536.05, 1503344536.08, 1503344536.09,1503344536.15, 1503344746.62, 1503344746.64, 1503344746.64, 1503344747.81, 1503344747.91
unit.000003, stage_1, 1503344530.79, 1503344532.3, 1503344532.3, 1503344536.07, 1503344536.07, 1503344536.11, 1503344536.12,1503344536.23, 1503344958.1, 1503344958.12, 1503344958.13, 1503344959.91, 1503344960.01
unit.000004, stage_1, 1503344530.79, 1503344532.5, 1503344532.5, 1503344536.09, 1503344536.1, 1503344536.13, 1503344536.14,1503344536.31, 1503344835.71, 1503344835.74, 1503344835.74, 1503344837.23, 1503344837.33
unit.000005, stage_1, 1503344530.79, 1503344531.9, 1503344531.9, 1503344536.04, 1503344536.04, 1503344536.07, 1503344536.08,1503344536.12, 1503344746.6, 1503344746.63, 1503344746.63, 1503344747.61, 1503344747.71
unit.000006, stage_1, 1503344530.79, 1503344532.3, 1503344532.3, 1503344536.08, 1503344536.09, 1503344536.13, 1503344536.13,1503344536.27, 1503345382.7, 1503345382.73, 1503345382.73, 1503345383.69, 1503345383.79
unit.000007, stage_1, 1503344530.79, 1503344532.5, 1503344532.5, 1503344536.11, 1503344536.12, 1503344536.14, 1503344536.15,1503344536.36, 1503344836.51, 1503344836.52, 1503344836.52, 1503344837.43, 1503344837.53
unit.000008, stage_2, 1503344749.52, 1503344750.8, 1503344750.8, 1503344751.03, 1503344751.06, 1503344751.07, 1503344751.07,1503344751.13, 1503345683.74, 1503345683.75, 1503345683.75, 1503345685.04, 1503345685.14
unit.000009, stage_2, 1503344750.13, 1503344750.81, 1503344750.81, 1503344751.06, 1503344751.07, 1503344751.08, 1503344751.08,1503344751.17, 1503345166.97, 1503345166.97, 1503345166.98, 1503345168.51, 1503345168.61
unit.000010, stage_2, 1503344840.42, 1503344841.33, 1503344841.33, 1503344841.57, 1503344841.6, 1503344841.6, 1503344841.6,1503344841.61, 1503344974.04, 1503344974.06, 1503344974.32, 1503344975.34, 1503344975.44
unit.000011, stage_2, 1503344841.03, 1503344841.53, 1503344841.53, 1503344841.86, 1503344841.86, 1503344841.87, 1503344841.87,1503344841.88, 1503344974.64, 1503344974.64, 1503344974.65, 1503344975.54, 1503344975.64
unit.000012, stage_2, 1503344963.34, 1503344964.0, 1503344964.0, 1503344964.32, 1503344964.34, 1503344964.35, 1503344964.35,1503344964.35, 1503345255.84, 1503345255.87, 1503345255.87, 1503345257.91, 1503345258.02
unit.000013, stage_2, 1503344970.36, 1503344970.81, 1503344970.81, 1503344971.09, 1503344971.11, 1503344971.11, 1503344971.12,1503344971.12, 1503345593.56, 1503345593.64, 1503345593.65, 1503345595.61, 1503345595.71
unit.000017, stage_2, 1503345171.4, 1503345171.87, 1503345171.87, 1503345172.17, 1503345172.18, 1503345172.18, 1503345172.18,1503345172.19, 1503345892.28, 1503345892.29, 1503345892.29, 1503345893.44, 1503345893.54
unit.000021, stage_2, 1503345385.28, 1503345385.96, 1503345385.96, 1503345386.19, 1503345386.2, 1503345386.21, 1503345386.21,1503345386.22, 1503345891.38, 1503345891.41, 1503345891.41, 1503345893.46, 1503345893.56
unit.000014, stage_3, 1503344977.37, 1503344977.92, 1503344977.92, 1503344978.19, 1503344978.22, 1503344978.22, 1503344978.22,1503344978.23, 1503345382.72, 1503345382.73, 1503345382.74, 1503345383.69, 1503345383.8
unit.000015, stage_3, 1503344977.98, 1503344978.72, 1503344978.72, 1503344978.97, 1503344978.97, 1503344978.97, 1503344978.98,1503344978.98, 1503345256.24, 1503345256.25, 1503345256.25, 1503345257.93, 1503345258.03
unit.000016, stage_3, 1503345170.79, 1503345171.67, 1503345171.67, 1503345171.88, 1503345171.91, 1503345171.91, 1503345171.92,1503345171.92, 1503345593.58, 1503345593.65, 1503345593.65, 1503345595.61, 1503345595.71
unit.000019, stage_3, 1503345259.11, 1503345260.19, 1503345260.19, 1503345260.47, 1503345260.53, 1503345260.53, 1503345260.54,1503345260.54, 1503345474.5, 1503345474.52, 1503345474.52, 1503345476.44, 1503345476.54
unit.000024, stage_3, 1503345598.51, 1503345598.91, 1503345598.91, 1503345599.15, 1503345599.18, 1503345599.18, 1503345599.18,1503345599.19, 1503346653.75, 1503346653.78, 1503346653.78, 1503346655.17, 1503346655.27
unit.000027, stage_3, 1503345686.22, 1503345687.28, 1503345687.28, 1503345687.57, 1503345687.57, 1503345687.57, 1503345687.58,1503345687.58, 1503345911.66, 1503345911.67, 1503345911.67, 1503345913.48, 1503345913.59
unit.000028, stage_3, 1503345894.94, 1503345895.63, 1503345895.63, 1503345895.84, 1503345895.87, 1503345895.87, 1503345895.87,1503345895.88, 1503346123.57, 1503346123.59, 1503346123.6, 1503346125.42, 1503346125.52
unit.000029, stage_3, 1503345895.55, 1503345896.75, 1503345896.75, 1503345896.98, 1503345896.99, 1503345896.99, 1503345897.0,1503345897.0, 1503346123.67, 1503346123.67, 1503346123.68, 1503346125.42, 1503346125.52
unit.000018, stage_4, 1503345258.5, 1503345259.01, 1503345259.01, 1503345259.32, 1503345259.35, 1503345259.35, 1503345259.36,1503345259.36, 1503345474.7, 1503345474.7, 1503345474.7, 1503345476.43, 1503345476.53
unit.000020, stage_4, 1503345384.67, 1503345385.89, 1503345385.89, 1503345386.16, 1503345386.19, 1503345386.2, 1503345386.2,1503345386.21, 1503345683.34, 1503345683.37, 1503345683.37, 1503345685.05, 1503345685.15
unit.000023, stage_4, 1503345478.98, 1503345479.79, 1503345479.79, 1503345480.05, 1503345480.06, 1503345480.07, 1503345480.07,1503345480.08, 1503346512.16, 1503346512.19, 1503346512.2, 1503346513.96, 1503346514.06
unit.000025, stage_4, 1503345599.12, 1503345600.05, 1503345600.05, 1503345600.32, 1503345600.32, 1503345600.32, 1503345600.33,1503345600.33, 1503346004.92, 1503346004.93, 1503346004.93, 1503346006.22, 1503346006.32
unit.000030, stage_4, 1503345915.98, 1503345916.76, 1503345916.76, 1503345916.97, 1503345916.99, 1503345916.99, 1503345917.0,1503345917.0, 1503346414.76, 1503346414.79, 1503346414.79, 1503346416.63, 1503346416.73
unit.000034, stage_4, 1503346126.62, 1503346127.39, 1503346127.39, 1503346127.61, 1503346127.63, 1503346127.63, 1503346127.64,1503346127.64, 1503346441.22, 1503346441.25, 1503346441.25, 1503346443.27, 1503346443.37
unit.000035, stage_4, 1503346127.22, 1503346127.76, 1503346127.76, 1503346128.01, 1503346128.02, 1503346128.02, 1503346128.02,1503346128.03, 1503346441.24, 1503346441.26, 1503346441.27, 1503346443.27, 1503346443.37
unit.000044, stage_4, 1503346658.32, 1503346659.51, 1503346659.51, 1503346659.77, 1503346659.77, 1503346659.77, 1503346659.78,1503346659.78, 1503347119.62, 1503347119.64, 1503347119.65, 1503347121.04, 1503347121.14
unit.000022, stage_5, 1503345478.37, 1503345479.74, 1503345479.74, 1503345480.02, 1503345480.05, 1503345480.05, 1503345480.06,1503345480.07, 1503346004.52, 1503346004.55, 1503346004.55, 1503346006.22, 1503346006.32
unit.000026, stage_5, 1503345685.61, 1503345686.14, 1503345686.14, 1503345686.42, 1503345686.45, 1503345686.45, 1503345686.45,1503345686.46, 1503345911.63, 1503345911.66, 1503345911.67, 1503345913.47, 1503345913.58
unit.000032, stage_5, 1503346009.72, 1503346010.59, 1503346010.59, 1503346010.86, 1503346010.89, 1503346010.89, 1503346010.9,1503346010.9, 1503346211.85, 1503346211.87, 1503346211.87, 1503346213.74, 1503346213.84
unit.000038, stage_5, 1503346419.87, 1503346420.96, 1503346420.96, 1503346421.29, 1503346421.31, 1503346421.32, 1503346421.32,1503346421.34, 1503347253.36, 1503347253.38, 1503347253.39, 1503347254.54, 1503347254.64
unit.000040, stage_5, 1503346444.22, 1503346445.4, 1503346445.4, 1503346445.69, 1503346445.72, 1503346445.72, 1503346445.73,1503346445.74, 1503346862.55, 1503346862.57, 1503346862.57, 1503346863.77, 1503346863.87
unit.000041, stage_5, 1503346444.83, 1503346445.43, 1503346445.43, 1503346445.72, 1503346445.73, 1503346445.73, 1503346445.74,1503346445.75, 1503346809.14, 1503346809.17, 1503346809.17, 1503346810.89, 1503346810.99
unit.000042, stage_5, 1503346514.95, 1503346516.1, 1503346516.1, 1503346516.31, 1503346516.33, 1503346516.34, 1503346516.34,1503346516.34, 1503346661.8, 1503346661.81, 1503346661.82, 1503346663.08, 1503346663.19
unit.000051, stage_5, 1503347123.11, 1503347123.86, 1503347123.86, 1503347124.11, 1503347124.13, 1503347124.14, 1503347124.14,1503347124.14, 1503347331.69, 1503347331.71, 1503347331.72, 1503347332.93, 1503347333.03
unit.000031, stage_6, 1503345916.59, 1503345917.88, 1503345917.88, 1503345918.11, 1503345918.11, 1503345918.11, 1503345918.12,1503345918.12, 1503346415.56, 1503346415.57, 1503346415.57, 1503346416.63, 1503346416.73
unit.000033, stage_6, 1503346010.32, 1503346010.8, 1503346010.8, 1503346011.03, 1503346011.03, 1503346011.04, 1503346011.04,1503346011.05, 1503346214.55, 1503346214.58, 1503346214.58, 1503346215.95, 1503346216.05
unit.000036, stage_6, 1503346217.05, 1503346217.92, 1503346217.92, 1503346218.15, 1503346218.18, 1503346218.18, 1503346218.18,1503346218.19, 1503346653.85, 1503346653.86, 1503346653.86, 1503346655.17, 1503346655.27
unit.000045, stage_6, 1503346665.54, 1503346666.14, 1503346666.14, 1503346666.41, 1503346666.44, 1503346666.44, 1503346666.45,1503346666.45, 1503346911.13, 1503346911.16, 1503346911.16, 1503346912.44, 1503346912.54
