uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502734584.09, 1502734587.16, 1502734587.16, 1502734596.87, 1502734596.87, 1502734597.62, 1502734597.62,1502734599.3, 1502734619.19, 1502734619.19, 1502734619.19, 1502734620.09, 1502734620.19
unit.000001, stage_1, 1502734584.09, 1502734587.36, 1502734587.36, 1502734596.88, 1502734596.88, 1502734597.63, 1502734597.63,1502734599.34, 1502734616.87, 1502734616.88, 1502734616.89, 1502734617.43, 1502734617.53
unit.000002, stage_1, 1502734584.09, 1502734587.56, 1502734587.56, 1502734596.88, 1502734596.89, 1502734597.63, 1502734597.64,1502734599.39, 1502734622.71, 1502734622.73, 1502734622.73, 1502734624.17, 1502734624.27
unit.000003, stage_1, 1502734584.09, 1502734587.95, 1502734587.95, 1502734596.89, 1502734596.89, 1502734597.64, 1502734597.64,1502734599.45, 1502734620.4, 1502734620.41, 1502734620.41, 1502734621.39, 1502734621.5
unit.000004, stage_1, 1502734584.09, 1502734586.15, 1502734586.15, 1502734596.86, 1502734596.87, 1502734597.61, 1502734597.62,1502734599.24, 1502734620.39, 1502734620.4, 1502734620.4, 1502734621.35, 1502734621.45
unit.000005, stage_1, 1502734584.09, 1502734587.97, 1502734587.97, 1502734596.9, 1502734596.9, 1502734597.65, 1502734597.65,1502734599.49, 1502734616.88, 1502734616.89, 1502734616.9, 1502734617.48, 1502734617.58
unit.000006, stage_1, 1502734584.09, 1502734584.94, 1502734584.94, 1502734596.85, 1502734596.85, 1502734597.59, 1502734597.6,1502734599.08, 1502734623.02, 1502734623.03, 1502734623.03, 1502734623.96, 1502734624.06
unit.000007, stage_1, 1502734584.09, 1502734585.34, 1502734585.34, 1502734596.85, 1502734596.86, 1502734597.6, 1502734597.6,1502734599.14, 1502734622.71, 1502734622.72, 1502734622.72, 1502734624.0, 1502734624.1
unit.000008, stage_1, 1502734584.09, 1502734585.95, 1502734585.95, 1502734596.86, 1502734596.86, 1502734597.61, 1502734597.61,1502734599.19, 1502734631.96, 1502734631.97, 1502734631.97, 1502734632.73, 1502734632.83
unit.000009, stage_1, 1502734584.09, 1502734585.53, 1502734585.53, 1502734596.72, 1502734596.73, 1502734597.46, 1502734597.47,1502734598.23, 1502734611.57, 1502734611.62, 1502734611.62, 1502734612.9, 1502734613.0
unit.000010, stage_1, 1502734584.09, 1502734585.73, 1502734585.73, 1502734596.74, 1502734596.74, 1502734597.48, 1502734597.48,1502734598.32, 1502734611.54, 1502734611.58, 1502734611.59, 1502734613.11, 1502734613.21
unit.000011, stage_1, 1502734584.09, 1502734585.94, 1502734585.94, 1502734596.75, 1502734596.76, 1502734597.49, 1502734597.5,1502734598.41, 1502734611.55, 1502734611.59, 1502734611.6, 1502734613.31, 1502734613.41
unit.000012, stage_1, 1502734584.09, 1502734586.14, 1502734586.14, 1502734596.76, 1502734596.76, 1502734597.5, 1502734597.5,1502734598.45, 1502734623.01, 1502734623.02, 1502734623.02, 1502734623.8, 1502734623.9
unit.000013, stage_1, 1502734584.09, 1502734586.35, 1502734586.35, 1502734596.77, 1502734596.78, 1502734597.51, 1502734597.52,1502734598.54, 1502734634.88, 1502734634.88, 1502734634.89, 1502734635.34, 1502734635.44
unit.000014, stage_1, 1502734584.09, 1502734586.55, 1502734586.55, 1502734596.79, 1502734596.79, 1502734597.53, 1502734597.53,1502734598.63, 1502734617.78, 1502734617.79, 1502734617.79, 1502734618.74, 1502734618.84
unit.000015, stage_1, 1502734584.09, 1502734586.94, 1502734586.94, 1502734596.8, 1502734596.81, 1502734597.55, 1502734597.55,1502734598.77, 1502734614.26, 1502734614.27, 1502734614.27, 1502734615.72, 1502734615.82
unit.000016, stage_1, 1502734584.09, 1502734587.15, 1502734587.15, 1502734596.82, 1502734596.82, 1502734597.56, 1502734597.56,1502734598.86, 1502734614.26, 1502734614.28, 1502734614.28, 1502734615.75, 1502734615.85
unit.000017, stage_1, 1502734584.09, 1502734587.35, 1502734587.35, 1502734596.82, 1502734596.83, 1502734597.57, 1502734597.57,1502734598.9, 1502734615.57, 1502734615.59, 1502734615.59, 1502734615.95, 1502734616.06
unit.000018, stage_1, 1502734584.09, 1502734586.75, 1502734586.75, 1502734596.8, 1502734596.8, 1502734597.54, 1502734597.54,1502734598.72, 1502734615.56, 1502734615.57, 1502734615.58, 1502734615.92, 1502734616.02
unit.000019, stage_1, 1502734584.09, 1502734587.55, 1502734587.55, 1502734596.83, 1502734596.83, 1502734597.57, 1502734597.58,1502734598.95, 1502734615.58, 1502734615.6, 1502734615.6, 1502734616.12, 1502734616.23
unit.000020, stage_1, 1502734584.09, 1502734587.75, 1502734587.75, 1502734596.83, 1502734596.84, 1502734597.58, 1502734597.58,1502734598.99, 1502734616.37, 1502734616.37, 1502734616.38, 1502734617.27, 1502734617.38
