uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502732373.82, 1502732376.28, 1502732376.28, 1502732380.68, 1502732380.69, 1502732380.92, 1502732380.92,1502732381.59, 1502732402.96, 1502732402.97, 1502732402.97, 1502732404.39, 1502732404.5
unit.000001, stage_1, 1502732373.82, 1502732376.52, 1502732376.52, 1502732380.7, 1502732380.71, 1502732380.94, 1502732380.94,1502732381.73, 1502732396.83, 1502732396.84, 1502732396.84, 1502732398.3, 1502732398.4
unit.000002, stage_1, 1502732373.82, 1502732375.9, 1502732375.9, 1502732380.67, 1502732380.67, 1502732380.9, 1502732380.9,1502732381.46, 1502732402.45, 1502732402.46, 1502732402.46, 1502732403.09, 1502732403.19
unit.000003, stage_1, 1502732373.82, 1502732375.7, 1502732375.7, 1502732380.66, 1502732380.66, 1502732380.89, 1502732380.9,1502732381.42, 1502732392.92, 1502732392.94, 1502732392.94, 1502732394.57, 1502732394.67
unit.000004, stage_1, 1502732373.83, 1502732376.48, 1502732376.48, 1502732380.7, 1502732380.7, 1502732380.93, 1502732380.94,1502732381.69, 1502732400.45, 1502732400.47, 1502732400.48, 1502732401.81, 1502732401.91
unit.000005, stage_1, 1502732373.83, 1502732375.68, 1502732375.68, 1502732380.65, 1502732380.66, 1502732380.89, 1502732380.89,1502732381.37, 1502732411.9, 1502732411.9, 1502732411.9, 1502732412.73, 1502732412.83
unit.000006, stage_1, 1502732373.83, 1502732376.31, 1502732376.31, 1502732380.69, 1502732380.69, 1502732380.93, 1502732380.93,1502732381.64, 1502732410.59, 1502732410.6, 1502732410.6, 1502732411.48, 1502732411.58
unit.000007, stage_1, 1502732373.83, 1502732376.11, 1502732376.11, 1502732380.68, 1502732380.68, 1502732380.91, 1502732380.92,1502732381.55, 1502732395.42, 1502732395.45, 1502732395.46, 1502732396.99, 1502732397.09
unit.000008, stage_1, 1502732373.83, 1502732376.08, 1502732376.08, 1502732380.67, 1502732380.68, 1502732380.91, 1502732380.91,1502732381.5, 1502732398.14, 1502732398.14, 1502732398.15, 1502732399.58, 1502732399.68
unit.000009, stage_1, 1502732373.83, 1502732375.08, 1502732375.08, 1502732380.62, 1502732380.62, 1502732380.84, 1502732380.85,1502732381.11, 1502732392.31, 1502732392.81, 1502732392.82, 1502732394.16, 1502732394.27
unit.000010, stage_1, 1502732373.83, 1502732375.5, 1502732375.5, 1502732380.64, 1502732380.64, 1502732380.87, 1502732380.88,1502732381.28, 1502732396.63, 1502732396.64, 1502732396.64, 1502732398.27, 1502732398.37
