stage, pipeline, probe,timestamp

stage_1,pipeline_1,start_time,2017-08-09 17:41:23.296198
stage_1,pipeline_1,wait_time,2017-08-09 17:41:23.356381
stage_1,pipeline_1,res_time,2017-08-09 17:43:28.530755
stage_1,pipeline_1,done_time,2017-08-09 17:43:28.530876
stage_1,pipeline_2,start_time,2017-08-09 17:41:23.297419
stage_1,pipeline_2,wait_time,2017-08-09 17:41:23.356385
stage_1,pipeline_2,res_time,2017-08-09 17:43:27.923401
stage_1,pipeline_2,done_time,2017-08-09 17:43:27.923482
stage_1,pipeline_3,start_time,2017-08-09 17:41:23.298369
stage_1,pipeline_3,wait_time,2017-08-09 17:41:23.356388
stage_1,pipeline_3,res_time,2017-08-09 17:43:27.311777
stage_1,pipeline_3,done_time,2017-08-09 17:43:27.311856
stage_1,pipeline_4,start_time,2017-08-09 17:41:23.299313
stage_1,pipeline_4,wait_time,2017-08-09 17:41:23.356391
stage_1,pipeline_4,res_time,2017-08-09 17:43:26.703544
stage_1,pipeline_4,done_time,2017-08-09 17:43:26.703621
stage_1,pipeline_5,start_time,2017-08-09 17:41:23.300234
stage_1,pipeline_5,wait_time,2017-08-09 17:41:23.356393
stage_1,pipeline_5,res_time,2017-08-09 17:43:30.975206
stage_1,pipeline_5,done_time,2017-08-09 17:43:30.975282
stage_1,pipeline_6,start_time,2017-08-09 17:41:23.301057
stage_1,pipeline_6,wait_time,2017-08-09 17:41:23.356395
stage_1,pipeline_6,res_time,2017-08-09 17:43:30.364844
stage_1,pipeline_6,done_time,2017-08-09 17:43:30.364923
stage_1,pipeline_7,start_time,2017-08-09 17:41:23.301766
stage_1,pipeline_7,wait_time,2017-08-09 17:41:23.356397
stage_1,pipeline_7,res_time,2017-08-09 17:43:29.753174
stage_1,pipeline_7,done_time,2017-08-09 17:43:29.753269
stage_1,pipeline_8,start_time,2017-08-09 17:41:23.302300
stage_1,pipeline_8,wait_time,2017-08-09 17:41:23.356399
stage_1,pipeline_8,res_time,2017-08-09 17:43:29.142752
stage_1,pipeline_8,done_time,2017-08-09 17:43:29.142874
stage_1,pipeline_9,start_time,2017-08-09 17:41:23.302822
stage_1,pipeline_9,wait_time,2017-08-09 17:41:23.356401
stage_1,pipeline_9,res_time,2017-08-09 17:43:23.657418
stage_1,pipeline_9,done_time,2017-08-09 17:43:23.657487
stage_1,pipeline_10,start_time,2017-08-09 17:41:23.303338
stage_1,pipeline_10,wait_time,2017-08-09 17:41:23.356403
stage_1,pipeline_10,res_time,2017-08-09 17:43:23.049236
stage_1,pipeline_10,done_time,2017-08-09 17:43:23.049315
stage_1,pipeline_11,start_time,2017-08-09 17:41:23.303851
stage_1,pipeline_11,wait_time,2017-08-09 17:41:23.356406
stage_1,pipeline_11,res_time,2017-08-09 17:42:21.390834
stage_1,pipeline_11,done_time,2017-08-09 17:42:21.390925
stage_1,pipeline_12,start_time,2017-08-09 17:41:23.304365
stage_1,pipeline_12,wait_time,2017-08-09 17:41:23.356408
stage_1,pipeline_12,res_time,2017-08-09 17:41:50.109019
stage_1,pipeline_12,done_time,2017-08-09 17:41:50.109098
stage_1,pipeline_13,start_time,2017-08-09 17:41:23.304876
stage_1,pipeline_13,wait_time,2017-08-09 17:41:23.356410
stage_1,pipeline_13,res_time,2017-08-09 17:41:50.716573
stage_1,pipeline_13,done_time,2017-08-09 17:41:50.716655
stage_1,pipeline_14,start_time,2017-08-09 17:41:23.305386
stage_1,pipeline_14,wait_time,2017-08-09 17:41:23.356412
stage_1,pipeline_14,res_time,2017-08-09 17:42:21.999542
stage_1,pipeline_14,done_time,2017-08-09 17:42:21.999624
stage_1,pipeline_15,start_time,2017-08-09 17:41:23.305881
stage_1,pipeline_15,wait_time,2017-08-09 17:41:23.356414
stage_1,pipeline_15,res_time,2017-08-09 17:42:22.608640
stage_1,pipeline_15,done_time,2017-08-09 17:42:22.608722
stage_1,pipeline_16,start_time,2017-08-09 17:41:23.306452
stage_1,pipeline_16,wait_time,2017-08-09 17:41:23.356416
stage_1,pipeline_16,res_time,2017-08-09 17:41:51.326728
stage_1,pipeline_16,done_time,2017-08-09 17:41:51.326846
stage_1,pipeline_17,start_time,2017-08-09 17:41:23.306945
stage_1,pipeline_17,wait_time,2017-08-09 17:41:23.356418
stage_1,pipeline_17,res_time,2017-08-09 17:41:51.937265
stage_1,pipeline_17,done_time,2017-08-09 17:41:51.937347
stage_1,pipeline_18,start_time,2017-08-09 17:41:23.307427
stage_1,pipeline_18,wait_time,2017-08-09 17:41:23.356421
stage_1,pipeline_18,res_time,2017-08-09 17:41:52.544622
stage_1,pipeline_18,done_time,2017-08-09 17:41:52.544703
stage_1,pipeline_19,start_time,2017-08-09 17:41:23.307908
stage_1,pipeline_19,wait_time,2017-08-09 17:41:23.356423
stage_1,pipeline_19,res_time,2017-08-09 17:41:39.019485
stage_1,pipeline_19,done_time,2017-08-09 17:41:39.019600
stage_1,pipeline_20,start_time,2017-08-09 17:41:23.308385
stage_1,pipeline_20,wait_time,2017-08-09 17:41:23.356425
stage_1,pipeline_20,res_time,2017-08-09 17:42:20.785404
stage_1,pipeline_20,done_time,2017-08-09 17:42:20.785432
stage_1,pipeline_21,start_time,2017-08-09 17:41:23.308864
stage_1,pipeline_21,wait_time,2017-08-09 17:41:23.356427
stage_1,pipeline_21,res_time,2017-08-09 17:42:28.714095
stage_1,pipeline_21,done_time,2017-08-09 17:42:28.714175
stage_1,pipeline_22,start_time,2017-08-09 17:41:23.309342
stage_1,pipeline_22,wait_time,2017-08-09 17:41:23.356429
stage_1,pipeline_22,res_time,2017-08-09 17:41:58.669259
stage_1,pipeline_22,done_time,2017-08-09 17:41:58.669315
stage_1,pipeline_23,start_time,2017-08-09 17:41:23.309882
stage_1,pipeline_23,wait_time,2017-08-09 17:41:23.356431
stage_1,pipeline_23,res_time,2017-08-09 17:41:59.889259
stage_1,pipeline_23,done_time,2017-08-09 17:41:59.889341
stage_1,pipeline_24,start_time,2017-08-09 17:41:23.310354
stage_1,pipeline_24,wait_time,2017-08-09 17:41:23.356433
stage_1,pipeline_24,res_time,2017-08-09 17:41:59.279667
stage_1,pipeline_24,done_time,2017-08-09 17:41:59.279748
stage_1,pipeline_25,start_time,2017-08-09 17:41:23.310827
stage_1,pipeline_25,wait_time,2017-08-09 17:41:23.356435
stage_1,pipeline_25,res_time,2017-08-09 17:42:14.539260
stage_1,pipeline_25,done_time,2017-08-09 17:42:14.539350
stage_1,pipeline_26,start_time,2017-08-09 17:41:23.311370
stage_1,pipeline_26,wait_time,2017-08-09 17:41:23.356438
stage_1,pipeline_26,res_time,2017-08-09 17:42:26.886362
stage_1,pipeline_26,done_time,2017-08-09 17:42:26.886444
stage_1,pipeline_27,start_time,2017-08-09 17:41:23.311829
stage_1,pipeline_27,wait_time,2017-08-09 17:41:23.356440
stage_1,pipeline_27,res_time,2017-08-09 17:42:28.105041
stage_1,pipeline_27,done_time,2017-08-09 17:42:28.105161
stage_1,pipeline_28,start_time,2017-08-09 17:41:23.312283
stage_1,pipeline_28,wait_time,2017-08-09 17:41:23.356442
stage_1,pipeline_28,res_time,2017-08-09 17:42:27.496381
stage_1,pipeline_28,done_time,2017-08-09 17:42:27.496466
stage_1,pipeline_29,start_time,2017-08-09 17:41:23.312743
stage_1,pipeline_29,wait_time,2017-08-09 17:41:23.356444
stage_1,pipeline_29,res_time,2017-08-09 17:41:58.062161
stage_1,pipeline_29,done_time,2017-08-09 17:41:58.062243
stage_1,pipeline_30,start_time,2017-08-09 17:41:23.313201
stage_1,pipeline_30,wait_time,2017-08-09 17:41:23.356446
stage_1,pipeline_30,res_time,2017-08-09 17:42:26.276683
stage_1,pipeline_30,done_time,2017-08-09 17:42:26.276764
stage_1,pipeline_31,start_time,2017-08-09 17:41:23.313640
stage_1,pipeline_31,wait_time,2017-08-09 17:41:23.356448
stage_1,pipeline_31,res_time,2017-08-09 17:42:29.936943
