uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502293283.44, 1502293287.44, 1502293287.44, 1502293289.35, 1502293289.36, 1502293289.38, 1502293289.39,1502293290.9, 1502293314.49, 1502293314.5, 1502293314.5, 1502293316.44, 1502293316.55
unit.000001, stage_1, 1502293283.44, 1502293287.64, 1502293287.64, 1502293289.36, 1502293289.37, 1502293289.39, 1502293289.4,1502293290.98, 1502293314.37, 1502293314.38, 1502293314.44, 1502293316.65, 1502293316.75
unit.000002, stage_1, 1502293283.44, 1502293287.84, 1502293287.84, 1502293289.38, 1502293289.38, 1502293289.41, 1502293289.42,1502293291.01, 1502293319.63, 1502293319.64, 1502293319.65, 1502293320.07, 1502293320.17
unit.000003, stage_1, 1502293283.44, 1502293288.04, 1502293288.04, 1502293289.39, 1502293289.4, 1502293289.42, 1502293289.43,1502293291.06, 1502293319.84, 1502293319.85, 1502293319.85, 1502293321.57, 1502293321.67
unit.000004, stage_1, 1502293283.44, 1502293288.24, 1502293288.24, 1502293289.4, 1502293289.41, 1502293289.43, 1502293289.44,1502293291.11, 1502293320.76, 1502293320.77, 1502293320.77, 1502293322.69, 1502293322.8
unit.000005, stage_1, 1502293283.44, 1502293288.65, 1502293288.65, 1502293289.41, 1502293289.42, 1502293289.44, 1502293289.44,1502293291.16, 1502293321.02, 1502293321.09, 1502293321.09, 1502293322.78, 1502293322.89
unit.000006, stage_1, 1502293283.44, 1502293297.32, 1502293297.32, 1502293297.58, 1502293297.59, 1502293297.6, 1502293297.6,1502293297.65, 1502293326.74, 1502293326.75, 1502293326.75, 1502293328.62, 1502293328.72
unit.000007, stage_1, 1502293283.44, 1502293297.51, 1502293297.51, 1502293297.74, 1502293297.75, 1502293297.75, 1502293297.76,1502293297.76, 1502293306.73, 1502293306.75, 1502293306.76, 1502293310.49, 1502293310.59
unit.000008, stage_1, 1502293283.44, 1502293297.52, 1502293297.52, 1502293297.75, 1502293298.03, 1502293298.06, 1502293298.07,1502293298.09, 1502293327.14, 1502293327.17, 1502293327.17, 1502293328.72, 1502293328.83
unit.000009, stage_1, 1502293283.45, 1502293288.85, 1502293288.85, 1502293289.46, 1502293289.47, 1502293289.47, 1502293289.48,1502293291.26, 1502293326.12, 1502293326.13, 1502293326.14, 1502293327.31, 1502293327.41
unit.000010, stage_1, 1502293283.45, 1502293289.05, 1502293289.05, 1502293289.51, 1502293289.52, 1502293289.53, 1502293289.53,1502293291.36, 1502293327.35, 1502293327.36, 1502293327.38, 1502293327.91, 1502293328.02
unit.000011, stage_1, 1502293283.45, 1502293289.45, 1502293289.45, 1502293289.71, 1502293289.71, 1502293289.72, 1502293289.72,1502293291.51, 1502293306.93, 1502293306.94, 1502293306.94, 1502293307.47, 1502293307.57
unit.000012, stage_1, 1502293283.45, 1502293289.66, 1502293289.66, 1502293290.06, 1502293290.07, 1502293290.08, 1502293290.08,1502293291.66, 1502293307.86, 1502293307.86, 1502293307.88, 1502293308.68, 1502293308.79
unit.000013, stage_1, 1502293283.45, 1502293290.47, 1502293290.47, 1502293290.78, 1502293290.79, 1502293290.8, 1502293290.8,1502293292.04, 1502293320.66, 1502293320.66, 1502293320.67, 1502293320.67, 1502293320.78
unit.000014, stage_1, 1502293283.45, 1502293290.27, 1502293290.27, 1502293290.5, 1502293290.51, 1502293290.52, 1502293290.52,1502293292.0, 1502293319.64, 1502293319.65, 1502293319.65, 1502293319.86, 1502293319.96
unit.000015, stage_1, 1502293283.45, 1502293290.67, 1502293290.67, 1502293290.95, 1502293290.95, 1502293290.96, 1502293290.97,1502293292.15, 1502293306.19, 1502293306.2, 1502293306.21, 1502293307.67, 1502293307.77
unit.000016, stage_1, 1502293283.45, 1502293290.87, 1502293290.87, 1502293291.12, 1502293291.12, 1502293291.13, 1502293291.13,1502293292.26, 1502293306.71, 1502293306.72, 1502293306.73, 1502293307.87, 1502293307.98
unit.000017, stage_1, 1502293283.45, 1502293291.08, 1502293291.08, 1502293291.42, 1502293291.43, 1502293291.43, 1502293291.44,1502293292.42, 1502293307.24, 1502293307.24, 1502293307.24, 1502293308.28, 1502293308.38
unit.000018, stage_1, 1502293283.45, 1502293285.22, 1502293285.22, 1502293288.93, 1502293288.93, 1502293288.98, 1502293288.99,1502293289.48, 1502293295.86, 1502293295.87, 1502293295.87, 1502293296.89, 1502293296.99
unit.000019, stage_1, 1502293283.45, 1502293291.68, 1502293291.68, 1502293291.95, 1502293291.97, 1502293291.98, 1502293291.99,1502293292.75, 1502293314.27, 1502293314.29, 1502293314.29, 1502293314.81, 1502293314.91
unit.000020, stage_1, 1502293283.45, 1502293292.08, 1502293292.08, 1502293292.36, 1502293292.37, 1502293292.38, 1502293292.39,1502293292.91, 1502293326.33, 1502293326.33, 1502293326.34, 1502293327.51, 1502293327.61
unit.000021, stage_1, 1502293283.45, 1502293287.03, 1502293287.03, 1502293289.19, 1502293289.2, 1502293289.21, 1502293289.22,1502293290.31, 1502293299.17, 1502293299.18, 1502293299.18, 1502293300.93, 1502293301.03
unit.000022, stage_1, 1502293283.45, 1502293287.84, 1502293287.84, 1502293289.27, 1502293289.28, 1502293289.3, 1502293289.3,1502293290.6, 1502293300.19, 1502293300.19, 1502293300.2, 1502293301.56, 1502293301.66
unit.000023, stage_1, 1502293283.45, 1502293292.88, 1502293292.88, 1502293293.16, 1502293293.29, 1502293293.29, 1502293293.3,1502293293.63, 1502293307.87, 1502293307.89, 1502293307.9, 1502293309.49, 1502293309.59
unit.000024, stage_1, 1502293283.45, 1502293293.09, 1502293293.09, 1502293293.33, 1502293293.34, 1502293293.35, 1502293293.35,1502293293.81, 1502293308.17, 1502293308.18, 1502293308.19, 1502293309.69, 1502293309.79
unit.000025, stage_1, 1502293283.45, 1502293293.48, 1502293293.48, 1502293293.78, 1502293293.78, 1502293293.79, 1502293293.8,1502293294.0, 1502293314.49, 1502293314.5, 1502293314.51, 1502293315.62, 1502293315.72
unit.000026, stage_1, 1502293283.45, 1502293293.69, 1502293293.69, 1502293293.98, 1502293293.98, 1502293293.99, 1502293294.0,1502293294.18, 1502293320.05, 1502293320.06, 1502293320.06, 1502293320.96, 1502293321.06
unit.000027, stage_1, 1502293283.45, 1502293294.09, 1502293294.09, 1502293294.4, 1502293294.4, 1502293294.41, 1502293294.42,1502293294.43, 1502293321.0, 1502293321.07, 1502293321.08, 1502293322.18, 1502293322.28
unit.000028, stage_1, 1502293283.45, 1502293294.29, 1502293294.29, 1502293294.57, 1502293294.57, 1502293294.58, 1502293294.59,1502293294.59, 1502293306.61, 1502293306.61, 1502293306.62, 1502293308.48, 1502293308.58
unit.000029, stage_1, 1502293283.45, 1502293294.49, 1502293294.49, 1502293294.74, 1502293294.75, 1502293294.75, 1502293294.76,1502293294.8, 1502293327.14, 1502293327.15, 1502293327.16, 1502293328.42, 1502293328.52
unit.000030, stage_1, 1502293283.45, 1502293294.89, 1502293294.89, 1502293295.2, 1502293295.2, 1502293295.21, 1502293295.22,1502293295.23, 1502293318.52, 1502293318.53, 1502293318.54, 1502293319.46, 1502293319.56
unit.000031, stage_1, 1502293283.45, 1502293295.1, 1502293295.1, 1502293295.37, 1502293295.38, 1502293295.39, 1502293295.4,1502293295.44, 1502293312.83, 1502293312.85, 1502293312.86, 1502293315.62, 1502293315.72
unit.000032, stage_1, 1502293283.45, 1502293295.49, 1502293295.49, 1502293295.82, 1502293295.82, 1502293295.83, 1502293295.84,1502293295.85, 1502293308.07, 1502293308.09, 1502293308.1, 1502293310.29, 1502293310.39
unit.000033, stage_1, 1502293283.45, 1502293295.71, 1502293295.71, 1502293296.05, 1502293296.05, 1502293296.06, 1502293296.07,1502293296.08, 1502293313.65, 1502293313.66, 1502293313.66, 1502293316.04, 1502293316.14
unit.000034, stage_1, 1502293283.45, 1502293295.91, 1502293295.91, 1502293296.16, 1502293296.17, 1502293296.17, 1502293296.18,1502293296.24, 1502293314.42, 1502293314.46, 1502293314.46, 1502293316.24, 1502293316.34
unit.000035, stage_1, 1502293283.45, 1502293296.31, 1502293296.31, 1502293296.62, 1502293296.62, 1502293296.63, 1502293296.64,1502293296.65, 1502293319.74, 1502293319.75, 1502293319.76, 1502293321.17, 1502293321.27
unit.000036, stage_1, 1502293283.45, 1502293296.51, 1502293296.51, 1502293296.82, 1502293296.82, 1502293296.84, 1502293296.85,1502293296.87, 1502293320.56, 1502293320.56, 1502293320.57, 1502293321.48, 1502293321.58
unit.000037, stage_1, 1502293283.45, 1502293296.91, 1502293296.91, 1502293297.12, 1502293297.12, 1502293297.13, 1502293297.14,1502293297.15, 1502293321.01, 1502293321.08, 1502293321.08, 1502293322.49, 1502293322.59
unit.000038, stage_1, 1502293283.45, 1502293297.12, 1502293297.12, 1502293297.42, 1502293297.43, 1502293297.44, 1502293297.45,1502293297.52, 1502293326.63, 1502293326.64, 1502293326.64, 1502293327.81, 1502293327.92
unit.000039, stage_1, 1502293283.45, 1502293288.45, 1502293288.45, 1502293289.32, 1502293289.33, 1502293289.35, 1502293289.36,1502293290.82, 1502293313.45, 1502293313.46, 1502293313.46, 1502293314.41, 1502293314.51
unit.000040, stage_1, 1502293283.45, 1502293288.85, 1502293288.85, 1502293289.45, 1502293289.46, 1502293289.46, 1502293289.47,1502293291.21, 1502293320.97, 1502293320.97, 1502293321.0, 1502293321.77, 1502293321.87
unit.000041, stage_1, 1502293283.45, 1502293289.05, 1502293289.05, 1502293289.51, 1502293289.51, 1502293289.52, 1502293289.52,1502293291.31, 1502293326.43, 1502293326.44, 1502293326.44, 1502293327.41, 1502293327.51
unit.000042, stage_1, 1502293283.45, 1502293289.25, 1502293289.25, 1502293289.55, 1502293289.56, 1502293289.56, 1502293289.57,1502293291.46, 1502293306.92, 1502293306.93, 1502293306.94, 1502293307.47, 1502293307.57
unit.000043, stage_1, 1502293283.45, 1502293289.66, 1502293289.66, 1502293289.87, 1502293290.06, 1502293290.06, 1502293290.07,1502293291.61, 1502293312.73, 1502293312.73, 1502293312.73, 1502293314.0, 1502293314.1
