uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502491486.14, 1502491494.45, 1502491494.45, 1502491494.69, 1502491494.7, 1502491494.7, 1502491494.71,1502491494.72, 1502491516.66, 1502491516.72, 1502491516.73, 1502491518.9, 1502491519.0
unit.000001, stage_1, 1502491486.14, 1502491494.48, 1502491494.48, 1502491494.7, 1502491494.71, 1502491494.72, 1502491494.73,1502491494.77, 1502491516.65, 1502491516.71, 1502491516.71, 1502491518.91, 1502491519.01
unit.000002, stage_1, 1502491486.14, 1502491494.65, 1502491494.65, 1502491494.98, 1502491494.98, 1502491494.99, 1502491495.0,1502491495.01, 1502491516.84, 1502491516.84, 1502491516.85, 1502491519.1, 1502491519.2
unit.000003, stage_1, 1502491486.14, 1502491494.68, 1502491494.68, 1502491494.99, 1502491495.0, 1502491495.01, 1502491495.02,1502491495.04, 1502491513.32, 1502491513.37, 1502491513.37, 1502491514.38, 1502491514.48
unit.000004, stage_1, 1502491486.14, 1502491494.85, 1502491494.85, 1502491495.15, 1502491495.15, 1502491495.17, 1502491495.17,1502491495.18, 1502491516.85, 1502491516.86, 1502491516.87, 1502491519.11, 1502491519.21
unit.000005, stage_1, 1502491486.14, 1502491494.89, 1502491494.89, 1502491495.16, 1502491495.16, 1502491495.18, 1502491495.19,1502491495.22, 1502491516.84, 1502491516.85, 1502491516.86, 1502491519.3, 1502491519.41
unit.000006, stage_1, 1502491486.14, 1502491493.67, 1502491493.67, 1502491493.91, 1502491493.92, 1502491493.93, 1502491493.93,1502491494.16, 1502491515.52, 1502491515.53, 1502491515.54, 1502491515.88, 1502491515.98
unit.000007, stage_1, 1502491486.14, 1502491493.88, 1502491493.88, 1502491494.08, 1502491494.08, 1502491494.09, 1502491494.1,1502491494.27, 1502491511.09, 1502491511.11, 1502491511.12, 1502491512.0, 1502491512.11
unit.000008, stage_1, 1502491486.14, 1502491494.28, 1502491494.28, 1502491494.53, 1502491494.54, 1502491494.55, 1502491494.56,1502491494.58, 1502491516.64, 1502491516.7, 1502491516.7, 1502491518.71, 1502491518.81
unit.000009, stage_1, 1502491486.14, 1502491489.62, 1502491489.62, 1502491491.66, 1502491491.67, 1502491491.72, 1502491491.73,1502491492.07, 1502491504.63, 1502491504.67, 1502491504.68, 1502491507.36, 1502491507.46
