uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1503854778.54, 1503854780.28, 1503854780.28, 1503854791.18, 1503854791.2, 1503854791.53, 1503854791.54,1503854792.1, 1503854813.97, 1503854813.98, 1503854813.99, 1503854815.3, 1503854815.4
unit.000001, stage_1, 1503854778.54, 1503854780.48, 1503854780.48, 1503854791.22, 1503854791.24, 1503854791.55, 1503854791.56,1503854792.19, 1503854813.99, 1503854814.01, 1503854814.01, 1503854815.5, 1503854815.6
unit.000002, stage_1, 1503854778.54, 1503854780.69, 1503854780.69, 1503854791.27, 1503854791.28, 1503854791.57, 1503854791.57,1503854792.27, 1503854807.75, 1503854807.77, 1503854807.77, 1503854808.28, 1503854808.38
unit.000003, stage_1, 1503854778.54, 1503854781.09, 1503854781.09, 1503854791.36, 1503854791.37, 1503854791.6, 1503854791.61,1503854792.45, 1503854821.21, 1503854821.32, 1503854821.34, 1503854822.32, 1503854822.43
unit.000004, stage_1, 1503854778.54, 1503854780.08, 1503854780.08, 1503854791.13, 1503854791.15, 1503854791.52, 1503854791.52,1503854792.01, 1503854808.86, 1503854808.87, 1503854808.87, 1503854809.58, 1503854809.69
unit.000005, stage_1, 1503854778.54, 1503854780.65, 1503854780.65, 1503854791.24, 1503854791.26, 1503854791.56, 1503854791.57,1503854792.23, 1503854813.98, 1503854814.0, 1503854814.0, 1503854815.3, 1503854815.41
unit.000006, stage_1, 1503854778.54, 1503854781.05, 1503854781.05, 1503854791.33, 1503854791.35, 1503854791.6, 1503854791.6,1503854792.41, 1503854821.2, 1503854821.29, 1503854821.31, 1503854822.32, 1503854822.42
unit.000007, stage_1, 1503854778.54, 1503854779.83, 1503854779.83, 1503854790.86, 1503854791.08, 1503854791.49, 1503854791.49,1503854791.89, 1503854803.03, 1503854803.07, 1503854803.08, 1503854804.56, 1503854804.67
unit.000008, stage_1, 1503854778.54, 1503854780.85, 1503854780.85, 1503854791.29, 1503854791.31, 1503854791.58, 1503854791.58,1503854792.32, 1503854808.86, 1503854808.88, 1503854808.88, 1503854809.58, 1503854809.69
unit.000009, stage_1, 1503854778.54, 1503854780.04, 1503854780.04, 1503854791.11, 1503854791.13, 1503854791.51, 1503854791.51,1503854791.97, 1503854803.06, 1503854803.08, 1503854803.08, 1503854804.56, 1503854804.67
unit.000010, stage_1, 1503854778.54, 1503854780.24, 1503854780.24, 1503854791.16, 1503854791.17, 1503854791.53, 1503854791.53,1503854792.06, 1503854807.75, 1503854807.76, 1503854807.76, 1503854808.28, 1503854808.38
unit.000011, stage_1, 1503854778.54, 1503854781.25, 1503854781.25, 1503854791.38, 1503854791.4, 1503854791.61, 1503854791.62,1503854792.5, 1503854853.73, 1503854853.74, 1503854853.74, 1503854854.62, 1503854854.72
unit.000012, stage_1, 1503854778.54, 1503854780.44, 1503854780.44, 1503854791.2, 1503854791.22, 1503854791.54, 1503854791.55,1503854792.14, 1503854803.06, 1503854803.09, 1503854803.09, 1503854804.77, 1503854804.87
unit.000013, stage_1, 1503854778.54, 1503854781.3, 1503854781.3, 1503854791.4, 1503854791.42, 1503854791.62, 1503854791.63,1503854792.55, 1503854851.02, 1503854851.04, 1503854851.05, 1503854852.39, 1503854852.5
unit.000014, stage_1, 1503854778.54, 1503854780.89, 1503854780.89, 1503854791.31, 1503854791.33, 1503854791.59, 1503854791.59,1503854792.36, 1503854814.69, 1503854814.69, 1503854814.7, 1503854815.51, 1503854815.61
unit.000015, stage_1, 1503854778.54, 1503854779.88, 1503854779.88, 1503854791.08, 1503854791.11, 1503854791.5, 1503854791.5,1503854791.93, 1503854803.53, 1503854803.54, 1503854803.54, 1503854804.77, 1503854804.87
unit.000016, stage_2, 1503854806.19, 1503854806.81, 1503854806.81, 1503854807.23, 1503854807.28, 1503854807.31, 1503854807.34,1503854807.37, 1503854841.0, 1503854841.03, 1503854841.06, 1503854841.87, 1503854842.07
unit.000017, stage_2, 1503854806.91, 1503854807.97, 1503854807.97, 1503854808.36, 1503854808.4, 1503854808.43, 1503854808.46,1503854808.48, 1503854827.05, 1503854827.08, 1503854827.11, 1503854828.03, 1503854828.24
unit.000018, stage_2, 1503854807.52, 1503854808.21, 1503854808.21, 1503854808.64, 1503854808.68, 1503854808.71, 1503854808.74,1503854808.77, 1503854828.96, 1503854829.01, 1503854829.05, 1503854830.24, 1503854830.45
unit.000019, stage_2, 1503854808.24, 1503854809.37, 1503854809.37, 1503854809.79, 1503854809.83, 1503854809.86, 1503854809.89,1503854809.92, 1503854831.67, 1503854831.7, 1503854831.73, 1503854832.74, 1503854832.94
unit.000020, stage_2, 1503854812.36, 1503854812.92, 1503854812.92, 1503854813.27, 1503854813.32, 1503854813.35, 1503854813.38,1503854813.42, 1503854832.47, 1503854832.5, 1503854832.54, 1503854833.86, 1503854834.06
unit.000021, stage_2, 1503854813.07, 1503854814.08, 1503854814.08, 1503854814.57, 1503854814.6, 1503854814.62, 1503854814.65,1503854814.68, 1503862865.43, 1503862865.48, 1503862865.51, 1503862867.51, 1503862867.71
unit.000022, stage_2, 1503854813.79, 1503854814.33, 1503854814.33, 1503854814.76, 1503854814.8, 1503854814.83, 1503854814.86,1503854814.89, 1503856191.52, 1503856191.57, 1503856191.6, 1503856192.87, 1503856192.97
unit.000023, stage_2, 1503854814.51, 1503854815.48, 1503854815.48, 1503854815.95, 1503854816.36, 1503854816.39, 1503854816.42,1503854816.47, 1503856936.01, 1503856936.06, 1503856936.09, 1503856937.09, 1503856937.3
unit.000024, stage_2, 1503854818.63, 1503854820.05, 1503854820.05, 1503854820.44, 1503854820.49, 1503854820.52, 1503854820.55,1503854820.58, 1503855606.96, 1503855607.02, 1503855607.05, 1503855607.31, 1503855607.51
unit.000025, stage_2, 1503854819.35, 1503854820.2, 1503854820.2, 1503854820.63, 1503854820.66, 1503854820.69, 1503854820.72,1503854820.75, 1503855624.51, 1503855624.56, 1503855624.59, 1503855625.56, 1503855625.76
unit.000026, stage_2, 1503854820.07, 1503854821.45, 1503854821.45, 1503854821.89, 1503854821.94, 1503854821.97, 1503854822.0,1503854822.03, 1503854843.71, 1503854843.77, 1503854843.8, 1503854845.19, 1503854845.39
unit.000027, stage_2, 1503854820.79, 1503854821.61, 1503854821.61, 1503854822.06, 1503854822.11, 1503854822.14, 1503854822.16,1503854822.19, 1503854846.12, 1503854846.15, 1503854846.18, 1503854847.68, 1503854847.89
unit.000028, stage_2, 1503854825.02, 1503854826.17, 1503854826.17, 1503854826.51, 1503854826.57, 1503854826.6, 1503854826.63,1503854826.66, 1503854859.37, 1503854859.4, 1503854859.43, 1503854860.31, 1503854860.52
unit.000029, stage_2, 1503854825.74, 1503854826.32, 1503854826.32, 1503854826.69, 1503854826.72, 1503854826.75, 1503854826.78,1503854826.81, 1503854849.04, 1503854849.07, 1503854849.09, 1503854849.9, 1503854850.1
unit.000038, stage_2, 1503854856.85, 1503854857.67, 1503854857.67, 1503854858.02, 1503854858.08, 1503854858.11, 1503854858.14,1503854858.17, 1503855620.89, 1503855620.95, 1503855620.98, 1503855621.95, 1503855622.15
unit.000039, stage_2, 1503854857.58, 1503854858.39, 1503854858.39, 1503854858.8, 1503854858.84, 1503854858.87, 1503854858.9,1503854858.93, 1503871823.9, 1503871824.0, 1503871824.03, 1503871824.81, 1503871825.01
unit.000030, stage_3, 1503854829.96, 1503854830.88, 1503854830.88, 1503854831.26, 1503854831.31, 1503854831.34, 1503854831.37,1503854831.4, 1503855592.5, 1503855592.55, 1503855592.58, 1503855593.54, 1503855593.75
unit.000031, stage_3, 1503854834.18, 1503854835.45, 1503854835.45, 1503854835.82, 1503854835.87, 1503854835.9, 1503854835.93,1503854835.96, 1503855606.99, 1503855607.08, 1503855607.11, 1503855607.38, 1503855607.58
unit.000032, stage_3, 1503854834.9, 1503854835.6, 1503854835.6, 1503854835.99, 1503854836.03, 1503854836.06, 1503854836.09,1503854836.13, 1503856352.12, 1503856352.17, 1503856352.2, 1503856353.22, 1503856353.42
unit.000033, stage_3, 1503854839.13, 1503854840.16, 1503854840.16, 1503854840.57, 1503854840.63, 1503854840.66, 1503854840.69,1503854840.72, 1503855599.33, 1503855599.36, 1503855599.39, 1503855600.46, 1503855600.66
unit.000034, stage_3, 1503854843.36, 1503854844.73, 1503854844.73, 1503854845.13, 1503854845.18, 1503854845.21, 1503854845.24,1503854845.27, 1503855598.92, 1503855598.96, 1503855599.0, 1503855599.29, 1503855599.49
unit.000035, stage_3, 1503854847.58, 1503854848.17, 1503854848.17, 1503854848.59, 1503854848.64, 1503854848.67, 1503854848.71,1503854848.74, 1503871921.45, 1503871921.5, 1503871921.53, 1503871922.95, 1503871923.15
unit.000036, stage_3, 1503854851.81, 1503854852.75, 1503854852.75, 1503854853.18, 1503854853.24, 1503854853.28, 1503854853.32,1503854853.35, 1503856368.77, 1503856368.82, 1503856368.85, 1503856370.07, 1503856370.27
unit.000037, stage_3, 1503854852.53, 1503854853.05, 1503854853.05, 1503854853.39, 1503854853.42, 1503854853.45, 1503854853.48,1503854853.52, 1503856919.55, 1503856919.6, 1503856919.63, 1503856920.56, 1503856920.77
unit.000040, stage_3, 1503854861.9, 1503854863.11, 1503854863.11, 1503854863.5, 1503854863.56, 1503854863.58, 1503854863.61,1503854863.64, 1503857098.6, 1503857098.66, 1503857098.69, 1503857099.98, 1503857100.18
unit.000045, stage_3, 1503855610.03, 1503855610.61, 1503855610.61, 1503855611.03, 1503855611.07, 1503855611.1, 1503855611.13,1503855611.16, 1503859558.92, 1503859558.97, 1503859559.0, 1503859560.01, 1503859560.21
unit.000046, stage_3, 1503855625.2, 1503855626.35, 1503855626.35, 1503855626.74, 1503855626.79, 1503855626.82, 1503855626.85,1503855626.88, 1503858241.64, 1503858241.67, 1503858241.7, 1503858242.31, 1503858242.52
unit.000047, stage_3, 1503855629.52, 1503855631.07, 1503855631.07, 1503855631.42, 1503855631.47, 1503855631.5, 1503855631.53,1503855631.56, 1503857845.29, 1503857845.34, 1503857845.37, 1503857847.06, 1503857847.26
unit.000050, stage_3, 1503856195.93, 1503856196.96, 1503856196.96, 1503856197.38, 1503856197.44, 1503856197.47, 1503856197.5,1503856197.53, 1503858235.81, 1503858235.87, 1503858235.9, 1503858237.6, 1503858237.8
unit.000055, stage_3, 1503856941.5, 1503856942.3, 1503856942.3, 1503856942.69, 1503856942.74, 1503856942.77, 1503856942.8,1503856942.83, 1503858986.76, 1503858986.81, 1503858986.84, 1503858988.03, 1503858988.23
unit.000066, stage_3, 1503862872.39, 1503862873.65, 1503862873.65, 1503862874.0, 1503862874.27, 1503862874.3, 1503863418.56,1503863418.59, 1503868788.75, 1503868788.8, 1503868788.83, 1503868790.44, 1503868790.64
unit.000081, stage_3, 1503871825.84, 1503871827.27, 1503871827.27, 1503871827.8, 1503871827.85, 1503871827.89, 1503871827.92,1503871827.95, 1503880236.05, 1503880236.08, 1503880236.11, 1503880236.83, 1503880237.03
unit.000041, stage_4, 1503855596.29, 1503855597.68, 1503855597.68, 1503855598.05, 1503855598.13, 1503855598.17, 1503855598.21,1503855598.26, 1503856926.97, 1503856927.03, 1503856927.06, 1503856927.97, 1503856928.17
unit.000042, stage_4, 1503855600.64, 1503855601.29, 1503855601.29, 1503855601.73, 1503855601.79, 1503855601.82, 1503855601.86,1503855601.89, 1503856168.75, 1503856168.81, 1503856168.84, 1503856169.99, 1503856170.09
unit.000043, stage_4, 1503855604.97, 1503855606.0, 1503855606.0, 1503855606.3, 1503855606.36, 1503855606.39, 1503855606.42,1503855606.46, 1503856175.18, 1503856175.22, 1503856175.25, 1503856176.03, 1503856176.23
unit.000044, stage_4, 1503855609.31, 1503855609.85, 1503855609.85, 1503855610.35, 1503855610.41, 1503855610.44, 1503855610.47,1503855610.51, 1503880804.81, 1503880804.86, 1503880804.9, 1503880806.47, 1503880806.67
unit.000051, stage_4, 1503856355.85, 1503856357.04, 1503856357.04, 1503856357.41, 1503856357.47, 1503856357.5, 1503856357.53,1503856357.56, 1503857485.68, 1503857485.74, 1503857485.77, 1503857487.29, 1503857487.49
unit.000052, stage_4, 1503856371.05, 1503856371.67, 1503856371.67, 1503856372.12, 1503856372.18, 1503856372.21, 1503856372.24,1503856372.28, 1503864537.22, 1503864537.27, 1503864537.3, 1503864538.68, 1503864538.88
unit.000053, stage_4, 1503856921.96, 1503856922.73, 1503856922.73, 1503856922.99, 1503856923.05, 1503856923.08, 1503856923.11,1503856923.14, 1503857491.71, 1503857491.74, 1503857491.77, 1503857493.08, 1503857493.28
unit.000056, stage_4, 1503857101.54, 1503857102.48, 1503857102.48, 1503857102.77, 1503857102.82, 1503857102.85, 1503857102.89,1503857102.92, 1503858800.9, 1503858800.95, 1503858800.99, 1503858802.27, 1503858802.37
unit.000059, stage_4, 1503857848.26, 1503857849.4, 1503857849.4, 1503857849.66, 1503857849.72, 1503857849.75, 1503857849.79,1503857849.82, 1503866218.04, 1503866218.1, 1503866218.13, 1503866219.38, 1503866219.49
unit.000060, stage_4, 1503858239.75, 1503858240.91, 1503858240.91, 1503858241.18, 1503858241.24, 1503858241.28, 1503858241.31,1503858241.34, 1503884573.1, 1503884573.16, 1503884573.19, 1503884574.66, 1503884574.86
unit.000061, stage_4, 1503858244.17, 1503858245.39, 1503858245.39, 1503858245.75, 1503858245.81, 1503858245.84, 1503858245.87,1503858245.91, 1503863977.38, 1503863977.43, 1503863977.47, 1503863979.28, 1503863979.48
unit.000063, stage_4, 1503858989.12, 1503858989.91, 1503858989.91, 1503858990.28, 1503858990.34, 1503858990.37, 1503858990.4,1503858990.44, 1503863418.44, 1503863418.5, 1503863418.53, 1503863419.96, 1503863420.17
unit.000064, stage_4, 1503859562.97, 1503859563.57, 1503859563.57, 1503859563.88, 1503859563.93, 1503859563.97, 1503859564.0,1503859564.03, 1503867409.25, 1503867409.3, 1503867409.33, 1503867410.73, 1503867410.94
unit.000077, stage_4, 1503868792.82, 1503868793.5, 1503868793.5, 1503868793.87, 1503868793.92, 1503868793.95, 1503868793.98,1503868794.02, 1503872387.4, 1503872387.45, 1503872387.48, 1503872388.61, 1503872388.82
unit.000082, stage_4, 1503871924.31, 1503871925.45, 1503871925.45, 1503871925.91, 1503871925.96, 1503871926.0, 1503871926.03,1503871926.06, 1503872946.87, 1503872946.93, 1503872946.96, 1503872948.0, 1503872948.2
unit.000094, stage_4, 1503880238.58, 1503880239.62, 1503880239.62, 1503880240.06, 1503880240.11, 1503880240.15, 1503880240.19,1503880240.22, 1503881055.7, 1503881055.76, 1503881055.79, 1503881057.07, 1503881057.27
unit.000048, stage_5, 1503856172.8, 1503856173.53, 1503856173.53, 1503856173.85, 1503856173.91, 1503856173.94, 1503856173.98,1503856174.02, 1503864509.45, 1503864509.51, 1503864509.54, 1503864510.82, 1503864511.02
unit.000049, stage_5, 1503856177.13, 1503856178.14, 1503856178.14, 1503856178.52, 1503856178.58, 1503856178.61, 1503856178.65,1503856178.69, 1503862848.1, 1503862848.16, 1503862848.2, 1503862849.59, 1503862849.79
unit.000054, stage_5, 1503856929.92, 1503856930.66, 1503856930.66, 1503856930.9, 1503856930.96, 1503856931.0, 1503856931.03,1503856931.08, 1503887471.83, 1503887471.89, 1503887471.92, 1503887473.21, 1503887473.41
unit.000057, stage_5, 1503857489.91, 1503857490.79, 1503857490.79, 1503857491.25, 1503857491.31, 1503857491.35, 1503857491.38,1503857491.42, 1503866199.09, 1503866199.15, 1503866199.18, 1503866200.34, 1503866200.54
unit.000058, stage_5, 1503857494.23, 1503857495.36, 1503857495.36, 1503857495.71, 1503857495.77, 1503857495.81, 1503857495.85,1503857495.88, 1503879489.47, 1503879489.53, 1503879489.56, 1503879490.73, 1503879490.94
unit.000062, stage_5, 1503858805.53, 1503858806.72, 1503858806.72, 1503858807.12, 1503858807.18, 1503858807.22, 1503858807.25,1503858807.29, 1503865659.29, 1503865659.4, 1503865659.47, 1503865660.48, 1503865660.68
unit.000067, stage_5, 1503863423.21, 1503863423.96, 1503863423.96, 1503863424.41, 1503863424.46, 1503863424.5, 1503863977.5,1503863977.54, 1503871163.1, 1503871163.15, 1503871163.19, 1503871164.76, 1503871164.96
unit.000068, stage_5, 1503863980.95, 1503863982.03, 1503863982.03, 1503863982.5, 1503863982.56, 1503863982.6, 1503864509.58,1503864509.62, 1503871183.25, 1503871183.31, 1503871183.35, 1503871184.92, 1503871185.12
unit.000070, stage_5, 1503864543.84, 1503864544.68, 1503864544.68, 1503864545.14, 1503864545.19, 1503864545.23, 1503865659.37,1503865659.44, 1503872859.06, 1503872859.12, 1503872859.15, 1503872860.89, 1503872860.99
unit.000073, stage_5, 1503866223.2, 1503866223.88, 1503866223.88, 1503866224.16, 1503866224.21, 1503866224.25, 1503866847.89,1503866847.92, 1503882730.3, 1503882730.36, 1503882730.39, 1503882731.5, 1503882731.7
unit.000075, stage_5, 1503867414.34, 1503867414.87, 1503867414.87, 1503867415.25, 1503867415.3, 1503867415.34, 1503867415.38,1503867415.41, 1503875441.82, 1503875441.88, 1503875441.91, 1503875443.05, 1503875443.25
unit.000083, stage_5, 1503872393.6, 1503872394.37, 1503872394.37, 1503872394.79, 1503872394.85, 1503872394.88, 1503872394.92,1503872394.95, 1503879210.77, 1503879210.83, 1503879210.86, 1503879211.81, 1503879212.01
unit.000086, stage_5, 1503872949.23, 1503872949.81, 1503872949.81, 1503872950.17, 1503872950.23, 1503872950.26, 1503872950.3,1503872950.34, 1503880229.83, 1503880229.89, 1503880229.93, 1503880231.02, 1503880231.22
unit.000096, stage_5, 1503880810.0, 1503880811.11, 1503880811.11, 1503880811.59, 1503880811.65, 1503880811.68, 1503880811.72,1503880811.75, 1503887515.2, 1503887515.26, 1503887515.3, 1503887516.41, 1503887516.61
unit.000098, stage_5, 1503881058.99, 1503881059.54, 1503881059.54, 1503881059.88, 1503881059.93, 1503881059.97, 1503881060.0,1503881060.04, 1503888331.64, 1503888331.7, 1503888331.73, 1503888333.32, 1503888333.52
