uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502484925.62, 1502484926.34, 1502484926.34, 1502484936.76, 1502484936.76, 1502484937.26, 1502484937.26,1502484937.79, 1502484987.6, 1502484987.62, 1502484987.62, 1502484989.55, 1502484989.65
unit.000001, stage_1, 1502484925.62, 1502484926.13, 1502484926.13, 1502484936.75, 1502484936.76, 1502484937.25, 1502484937.25,1502484937.74, 1502484987.56, 1502484987.6, 1502484987.61, 1502484989.53, 1502484989.64
unit.000002, stage_1, 1502484925.62, 1502484926.55, 1502484926.55, 1502484936.76, 1502484936.77, 1502484937.26, 1502484937.27,1502484937.85, 1502484993.38, 1502484993.39, 1502484993.4, 1502484994.17, 1502484994.28
unit.000003, stage_1, 1502484925.62, 1502484926.96, 1502484926.96, 1502484936.78, 1502484936.78, 1502484937.28, 1502484937.28,1502484938.0, 1502484987.59, 1502484987.61, 1502484987.61, 1502484989.74, 1502484989.84
unit.000004, stage_1, 1502484925.62, 1502484927.38, 1502484927.38, 1502484936.8, 1502484936.8, 1502484937.3, 1502484937.3,1502484938.18, 1502484993.39, 1502484993.4, 1502484993.41, 1502484994.39, 1502484994.49
unit.000005, stage_1, 1502484925.62, 1502484927.17, 1502484927.17, 1502484936.78, 1502484936.79, 1502484937.28, 1502484937.29,1502484938.05, 1502484994.99, 1502484994.99, 1502484995.02, 1502484996.8, 1502484996.91
unit.000006, stage_1, 1502484925.62, 1502484926.76, 1502484926.76, 1502484936.77, 1502484936.77, 1502484937.27, 1502484937.27,1502484937.91, 1502484993.39, 1502484993.41, 1502484993.42, 1502484994.37, 1502484994.47
unit.000007, stage_1, 1502484925.62, 1502484927.25, 1502484927.25, 1502484936.79, 1502484936.79, 1502484937.29, 1502484937.29,1502484938.14, 1502484995.09, 1502484995.09, 1502484995.1, 1502484996.8, 1502484996.91
unit.000008, stage_2, 1502484991.43, 1502484992.65, 1502484992.65, 1502484992.93, 1502484992.96, 1502484992.96, 1502484992.97,1502484992.97, 1502485002.81, 1502485002.82, 1502485002.83, 1502485003.64, 1502485003.74
unit.000009, stage_2, 1502484992.05, 1502484992.78, 1502484992.78, 1502484993.06, 1502484993.07, 1502484993.07, 1502484993.08,1502484993.08, 1502485002.82, 1502485002.83, 1502485002.84, 1502485003.65, 1502485003.75
unit.000010, stage_2, 1502484992.68, 1502484993.95, 1502484993.95, 1502484994.21, 1502484994.21, 1502484994.21, 1502484994.22,1502484994.22, 1502485004.12, 1502485004.12, 1502485004.13, 1502485004.95, 1502485005.06
unit.000011, stage_2, 1502484996.52, 1502484997.41, 1502484997.41, 1502484997.69, 1502484997.72, 1502484997.72, 1502484997.73,1502484997.73, 1502485010.64, 1502485010.66, 1502485010.67, 1502485011.79, 1502485011.9
unit.000012, stage_2, 1502484997.15, 1502484997.67, 1502484997.67, 1502484997.98, 1502484997.99, 1502484997.99, 1502484998.0,1502484998.01, 1502485007.63, 1502485007.63, 1502485007.64, 1502485008.27, 1502485008.38
unit.000013, stage_2, 1502484997.8, 1502484998.59, 1502484998.59, 1502484998.88, 1502484998.96, 1502484998.96, 1502484998.97,1502484998.97, 1502485015.45, 1502485015.48, 1502485015.48, 1502485017.31, 1502485017.42
unit.000014, stage_2, 1502485001.63, 1502485002.1, 1502485002.1, 1502485002.35, 1502485002.37, 1502485002.38, 1502485002.38,1502485002.38, 1502485016.76, 1502485016.76, 1502485016.77, 1502485017.53, 1502485017.63
unit.000015, stage_2, 1502485002.26, 1502485003.42, 1502485003.42, 1502485003.73, 1502485003.74, 1502485003.74, 1502485003.75,1502485003.75, 1502485021.27, 1502485021.27, 1502485021.28, 1502485022.15, 1502485022.25
unit.000016, stage_3, 1502485006.1, 1502485006.73, 1502485006.73, 1502485007.04, 1502485007.07, 1502485007.07, 1502485007.07,1502485007.09, 1502485018.66, 1502485018.69, 1502485018.69, 1502485019.74, 1502485019.85
unit.000017, stage_3, 1502485006.73, 1502485008.04, 1502485008.04, 1502485008.36, 1502485008.38, 1502485008.39, 1502485008.39,1502485008.4, 1502485038.62, 1502485038.72, 1502485038.73, 1502485039.33, 1502485039.44
unit.000018, stage_3, 1502485007.36, 1502485008.05, 1502485008.05, 1502485008.38, 1502485008.39, 1502485008.4, 1502485008.41,1502485008.42, 1502485035.41, 1502485035.42, 1502485035.42, 1502485035.83, 1502485035.93
unit.000019, stage_3, 1502485011.2, 1502485012.67, 1502485012.67, 1502485012.92, 1502485012.95, 1502485012.95, 1502485012.96,1502485012.96, 1502485031.0, 1502485031.0, 1502485031.01, 1502485031.2, 1502485031.3
unit.000020, stage_3, 1502485015.03, 1502485015.99, 1502485015.99, 1502485016.27, 1502485016.27, 1502485016.28, 1502485016.28,1502485016.29, 1502485025.28, 1502485025.29, 1502485025.29, 1502485025.47, 1502485025.58
unit.000021, stage_3, 1502485018.87, 1502485019.51, 1502485019.51, 1502485019.77, 1502485019.78, 1502485019.78, 1502485019.79,1502485019.79, 1502485027.09, 1502485027.09, 1502485027.1, 1502485027.88, 1502485027.98
