uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502731600.97, 1502731602.8, 1502731602.8, 1502731610.86, 1502731610.87, 1502731610.91, 1502731610.91,1502731611.02, 1502731635.11, 1502731635.12, 1502731635.12, 1502731635.59, 1502731635.69
unit.000001, stage_1, 1502731600.97, 1502731602.39, 1502731602.39, 1502731610.83, 1502731610.83, 1502731610.86, 1502731610.86,1502731610.92, 1502731622.17, 1502731624.59, 1502731624.62, 1502731625.94, 1502731626.05
unit.000002, stage_1, 1502731600.97, 1502731602.4, 1502731602.4, 1502731610.84, 1502731610.84, 1502731610.87, 1502731610.88,1502731610.94, 1502731625.08, 1502731625.09, 1502731625.09, 1502731625.95, 1502731626.05
unit.000003, stage_1, 1502731600.97, 1502731602.6, 1502731602.6, 1502731610.85, 1502731610.85, 1502731610.9, 1502731610.9,1502731610.98, 1502731634.01, 1502731634.01, 1502731634.02, 1502731635.38, 1502731635.49
unit.000004, stage_1, 1502731600.97, 1502731603.0, 1502731603.0, 1502731610.88, 1502731610.89, 1502731610.93, 1502731610.93,1502731611.11, 1502731627.99, 1502731628.02, 1502731628.02, 1502731629.45, 1502731629.56
unit.000005, stage_1, 1502731600.97, 1502731603.0, 1502731603.0, 1502731610.9, 1502731610.91, 1502731610.93, 1502731610.94,1502731611.16, 1502731631.3, 1502731631.33, 1502731631.33, 1502731632.98, 1502731633.08
unit.000006, stage_1, 1502731600.97, 1502731602.59, 1502731602.59, 1502731610.84, 1502731610.85, 1502731610.89, 1502731610.89,1502731610.95, 1502731625.89, 1502731625.89, 1502731625.89, 1502731627.25, 1502731627.35
unit.000007, stage_1, 1502731600.97, 1502731602.8, 1502731602.8, 1502731610.87, 1502731610.88, 1502731610.92, 1502731610.92,1502731611.06, 1502731629.3, 1502731629.3, 1502731629.31, 1502731630.76, 1502731630.86
unit.000008, stage_2, 1502731627.34, 1502731628.54, 1502731628.54, 1502731628.82, 1502731628.82, 1502731628.83, 1502731628.83,1502731628.85, 1502731639.34, 1502731639.34, 1502731639.35, 1502731640.2, 1502731640.3
unit.000009, stage_2, 1502731627.95, 1502731628.54, 1502731628.54, 1502731628.82, 1502731628.83, 1502731628.84, 1502731628.84,1502731628.87, 1502731652.96, 1502731652.99, 1502731652.99, 1502731654.22, 1502731654.33
unit.000010, stage_2, 1502731631.76, 1502731633.15, 1502731633.15, 1502731633.4, 1502731633.42, 1502731633.43, 1502731633.44,1502731633.46, 1502731722.77, 1502731722.78, 1502731722.78, 1502731723.94, 1502731724.04
unit.000011, stage_2, 1502731632.37, 1502731633.15, 1502731633.15, 1502731633.43, 1502731633.44, 1502731633.45, 1502731633.46,1502731633.47, 1502731663.39, 1502731663.4, 1502731663.4, 1502731664.43, 1502731664.53
unit.000012, stage_2, 1502731632.98, 1502731634.45, 1502731634.45, 1502731634.66, 1502731634.67, 1502731634.67, 1502731634.67,1502731634.68, 1502731642.64, 1502731642.66, 1502731642.66, 1502731643.7, 1502731643.8
unit.000013, stage_2, 1502731636.8, 1502731637.76, 1502731637.76, 1502731638.0, 1502731638.03, 1502731638.03, 1502731638.04,1502731638.04, 1502731644.84, 1502731644.87, 1502731644.88, 1502731646.11, 1502731646.21
unit.000014, stage_2, 1502731637.41, 1502731637.95, 1502731637.95, 1502731638.17, 1502731638.17, 1502731638.18, 1502731638.18,1502731638.18, 1502731647.55, 1502731647.55, 1502731647.56, 1502731648.51, 1502731648.61
unit.000015, stage_2, 1502731638.02, 1502731639.06, 1502731639.06, 1502731639.31, 1502731639.32, 1502731639.32, 1502731639.33,1502731639.33, 1502731651.06, 1502731651.06, 1502731651.07, 1502731651.91, 1502731652.01
unit.000016, stage_3, 1502731641.83, 1502731642.57, 1502731642.57, 1502731642.8, 1502731642.8, 1502731642.8, 1502731642.81,1502731642.81, 1502731667.5, 1502731667.53, 1502731667.54, 1502731669.04, 1502731669.14
unit.000017, stage_3, 1502731645.64, 1502731646.07, 1502731646.07, 1502731646.39, 1502731646.39, 1502731646.4, 1502731646.4,1502731646.4, 1502731657.88, 1502731657.9, 1502731657.91, 1502731659.82, 1502731659.92
unit.000018, stage_3, 1502731649.46, 1502731650.28, 1502731650.28, 1502731650.59, 1502731650.61, 1502731650.62, 1502731650.62,1502731650.63, 1502731664.1, 1502731664.1, 1502731664.11, 1502731664.55, 1502731664.65
unit.000019, stage_3, 1502731650.07, 1502731650.48, 1502731650.48, 1502731650.75, 1502731650.76, 1502731650.76, 1502731650.76,1502731650.77, 1502731659.68, 1502731659.69, 1502731659.69, 1502731659.94, 1502731660.04
unit.000020, stage_3, 1502731653.91, 1502731655.09, 1502731655.09, 1502731655.34, 1502731655.36, 1502731655.37, 1502731655.37,1502731655.37, 1502731685.96, 1502731685.97, 1502731685.97, 1502731686.17, 1502731686.27
unit.000021, stage_3, 1502731657.72, 1502731658.4, 1502731658.4, 1502731658.68, 1502731659.27, 1502731659.27, 1502731659.27,1502731659.28, 1502731671.82, 1502731671.91, 1502731671.92, 1502731672.46, 1502731672.56
unit.000025, stage_3, 1502731666.77, 1502731667.64, 1502731667.64, 1502731667.84, 1502731667.85, 1502731667.86, 1502731667.86,1502731667.88, 1502731679.54, 1502731679.54, 1502731679.55, 1502731680.46, 1502731680.56
unit.000044, stage_3, 1502731724.65, 1502731725.85, 1502731725.85, 1502731726.1, 1502731726.12, 1502731726.13, 1502731726.13,1502731726.14, 1502731763.37, 1502731763.4, 1502731763.4, 1502731764.76, 1502731764.86
