uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1503162950.97, 1503162952.28, 1503162952.28, 1503163010.04, 1503163010.06, 1503163014.81, 1503163014.81,1503163018.66, 1503163791.65, 1503163796.09, 1503163796.1, 1503163798.35, 1503163798.45
unit.000001, stage_1, 1503162950.97, 1503162952.26, 1503162952.26, 1503163010.01, 1503163010.03, 1503163014.79, 1503163014.8,1503163018.61, 1503163789.64, 1503163796.04, 1503163796.05, 1503163797.83, 1503163797.93
unit.000002, stage_1, 1503162950.97, 1503162952.46, 1503162952.46, 1503163010.06, 1503163010.08, 1503163014.82, 1503163014.82,1503163018.7, 1503163788.74, 1503163795.99, 1503163796.04, 1503163797.62, 1503163797.72
unit.000003, stage_1, 1503162950.97, 1503162951.45, 1503162951.45, 1503163009.86, 1503163009.91, 1503163014.72, 1503163014.75,1503163018.35, 1503163790.45, 1503163796.06, 1503163796.07, 1503163798.03, 1503163798.13
unit.000004, stage_1, 1503162950.97, 1503162951.65, 1503162951.65, 1503163009.92, 1503163009.94, 1503163014.75, 1503163014.76,1503163018.43, 1503163790.95, 1503163796.07, 1503163796.08, 1503163798.15, 1503163798.25
unit.000005, stage_1, 1503162950.97, 1503162952.07, 1503162952.07, 1503163009.99, 1503163010.01, 1503163014.78, 1503163014.79,1503163018.57, 1503163790.05, 1503163796.05, 1503163796.06, 1503163797.95, 1503163798.05
unit.000006, stage_1, 1503162950.97, 1503162951.85, 1503162951.85, 1503163009.94, 1503163009.96, 1503163014.76, 1503163014.77,1503163018.47, 1503163791.45, 1503163796.08, 1503163796.09, 1503163798.23, 1503163798.34
unit.000007, stage_1, 1503162950.97, 1503162952.05, 1503162952.05, 1503163009.97, 1503163009.99, 1503163014.77, 1503163014.78,1503163018.51, 1503163791.86, 1503163796.1, 1503163796.1, 1503163798.44, 1503163798.54
unit.000008, stage_2, 1503163798.27, 1503163798.97, 1503163798.97, 1503163799.44, 1503163799.49, 1503163799.52, 1503163799.55,1503163799.58, 1503164100.32, 1503164100.37, 1503164100.4, 1503164101.66, 1503164101.86
unit.000009, stage_2, 1503163798.99, 1503163800.3, 1503163800.3, 1503163800.73, 1503163800.77, 1503163800.83, 1503163800.86,1503163800.89, 1503164112.36, 1503164112.59, 1503164112.62, 1503164113.89, 1503164114.09
unit.000010, stage_2, 1503163799.72, 1503163800.38, 1503163800.38, 1503163800.8, 1503163800.92, 1503163800.95, 1503163800.98,1503163801.01, 1503164112.5, 1503164112.82, 1503164112.85, 1503164114.08, 1503164114.29
unit.000011, stage_2, 1503163803.72, 1503163805.03, 1503163805.03, 1503163805.46, 1503163805.51, 1503163805.57, 1503163805.6,1503163805.63, 1503164112.41, 1503164112.65, 1503164112.68, 1503164114.19, 1503164114.39
unit.000012, stage_2, 1503163804.34, 1503163805.08, 1503163805.08, 1503163805.54, 1503163805.65, 1503163805.68, 1503163805.71,1503163805.74, 1503164112.56, 1503164112.94, 1503164112.97, 1503164114.39, 1503164114.5
unit.000013, stage_2, 1503163805.06, 1503163806.43, 1503163806.43, 1503163806.94, 1503163806.98, 1503163807.05, 1503163807.08,1503163807.12, 1503164112.44, 1503164112.71, 1503164112.74, 1503164114.49, 1503164114.69
unit.000014, stage_2, 1503163805.77, 1503163806.5, 1503163806.5, 1503163807.01, 1503163807.15, 1503163807.18, 1503163807.21,1503163807.24, 1503164112.53, 1503164112.88, 1503164112.91, 1503164114.6, 1503164114.7
unit.000015, stage_2, 1503163806.48, 1503163807.84, 1503163807.84, 1503163808.22, 1503163808.26, 1503163808.28, 1503163808.31,1503163808.34, 1503164112.47, 1503164112.76, 1503164112.79, 1503164114.79, 1503164114.89
unit.000016, stage_3, 1503164103.75, 1503164104.42, 1503164104.42, 1503164104.74, 1503164104.8, 1503164104.83, 1503164104.86,1503164104.89, 1503164928.89, 1503164928.94, 1503164928.97, 1503164930.21, 1503164930.41
unit.000017, stage_3, 1503164114.71, 1503164115.65, 1503164115.65, 1503164116.17, 1503164116.22, 1503164116.25, 1503164116.28,1503164116.31, 1503167093.15, 1503167093.22, 1503167093.25, 1503167094.27, 1503167094.47
unit.000018, stage_3, 1503164115.43, 1503164116.03, 1503164116.03, 1503164116.46, 1503164116.49, 1503164116.52, 1503164116.56,1503164116.58, 1503165704.02, 1503165704.08, 1503165704.11, 1503165705.43, 1503165705.54
unit.000019, stage_3, 1503164119.64, 1503164120.75, 1503164120.75, 1503164121.15, 1503164121.2, 1503164121.23, 1503164121.26,1503164121.29, 1503190078.48, 1503190078.53, 1503190078.56, 1503190080.11, 1503190080.31
unit.000020, stage_3, 1503164120.35, 1503164121.06, 1503164121.06, 1503164121.43, 1503164121.47, 1503164121.5, 1503164121.53,1503164121.56, 1503165752.62, 1503165752.67, 1503165752.7, 1503165754.14, 1503165754.35
unit.000021, stage_3, 1503164121.07, 1503164122.34, 1503164122.34, 1503164122.71, 1503164122.75, 1503164122.78, 1503164122.8,1503164122.83, 1503167813.87, 1503167813.92, 1503167813.95, 1503167815.28, 1503167815.5
unit.000022, stage_3, 1503164121.77, 1503164122.48, 1503164122.48, 1503164122.87, 1503164122.91, 1503164122.94, 1503164122.97,1503164123.0, 1503166407.85, 1503166407.9, 1503166407.93, 1503166409.2, 1503166409.4
unit.000023, stage_3, 1503164122.49, 1503164123.74, 1503164123.74, 1503164124.12, 1503164124.16, 1503164124.19, 1503164124.22,1503164124.25, 1503165014.05, 1503165014.1, 1503165014.13, 1503165015.39, 1503165015.6
unit.000024, stage_4, 1503164934.33, 1503164935.46, 1503164935.46, 1503164935.91, 1503164935.96, 1503164935.99, 1503164936.03,1503164936.06, 1503166301.64, 1503166301.69, 1503166301.73, 1503166303.26, 1503166303.46
unit.000025, stage_4, 1503165019.39, 1503165020.49, 1503165020.49, 1503165020.88, 1503165020.93, 1503165020.96, 1503165021.0,1503165021.03, 1503166956.67, 1503166956.72, 1503166956.75, 1503166958.37, 1503166958.57
unit.000026, stage_4, 1503165708.54, 1503165709.56, 1503165709.56, 1503165709.96, 1503165710.01, 1503165710.05, 1503165710.08,1503165710.11, 1503167569.63, 1503167569.68, 1503167569.71, 1503167571.15, 1503167571.35
unit.000027, stage_4, 1503165754.93, 1503165755.95, 1503165755.95, 1503165756.4, 1503165756.55, 1503165756.58, 1503165756.61,1503165756.65, 1503168126.93, 1503168126.98, 1503168127.01, 1503168128.93, 1503168129.14
unit.000029, stage_4, 1503166409.92, 1503166410.97, 1503166410.97, 1503166411.5, 1503166411.55, 1503166411.58, 1503166411.61,1503166411.65, 1503181681.48, 1503181681.53, 1503181681.56, 1503181682.92, 1503181683.13
unit.000031, stage_4, 1503167097.98, 1503167099.08, 1503167099.08, 1503167099.69, 1503167099.75, 1503167099.78, 1503167099.82,1503167099.85, 1503182858.68, 1503182858.74, 1503182858.77, 1503182860.14, 1503182860.35
unit.000033, stage_4, 1503167816.22, 1503167817.6, 1503167817.6, 1503167817.97, 1503167818.02, 1503167818.05, 1503167818.09,1503167818.12, 1503182255.61, 1503182255.66, 1503182255.69, 1503182257.28, 1503182257.49
unit.000047, stage_4, 1503190081.89, 1503190082.43, 1503190082.43, 1503190082.8, 1503190082.85, 1503190082.89, 1503190082.92,1503190082.95, 1503192592.87, 1503192592.94, 1503192592.98, 1503192594.71, 1503192594.91
unit.000028, stage_5, 1503166307.23, 1503166308.38, 1503166308.38, 1503166308.78, 1503166309.08, 1503166309.12, 1503166309.15,1503166309.19, 1503181143.64, 1503181143.69, 1503181143.73, 1503181144.9, 1503181145.1
unit.000030, stage_5, 1503166959.78, 1503166961.18, 1503166961.18, 1503166961.55, 1503166961.6, 1503166961.64, 1503166961.68,1503166961.71, 1503174510.51, 1503174510.57, 1503174510.6, 1503174511.64, 1503174511.85
unit.000032, stage_5, 1503167572.91, 1503167573.62, 1503167573.62, 1503167574.0, 1503167574.25, 1503167574.28, 1503167574.32,1503167574.36, 1503174794.88, 1503174794.95, 1503174794.99, 1503174796.16, 1503174796.36
unit.000034, stage_5, 1503168131.99, 1503168133.31, 1503168133.31, 1503168133.7, 1503168133.76, 1503168133.79, 1503168133.83,1503168133.86, 1503181392.41, 1503181392.51, 1503181392.55, 1503181393.5, 1503181393.7
