uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502487103.01, 1502487117.96, 1502487117.96, 1502487121.14, 1502487121.15, 1502487122.24, 1502487122.25,1502487128.4, 1502487243.22, 1502487243.34, 1502487243.34, 1502487247.16, 1502487247.26
unit.000001, stage_1, 1502487103.01, 1502487118.09, 1502487118.09, 1502487121.15, 1502487121.15, 1502487122.25, 1502487122.25,1502487128.46, 1502487241.76, 1502487241.99, 1502487242.0, 1502487247.32, 1502487247.45
unit.000002, stage_1, 1502487103.01, 1502487118.29, 1502487118.29, 1502487121.16, 1502487121.16, 1502487122.26, 1502487122.26,1502487128.53, 1502487241.81, 1502487242.06, 1502487242.07, 1502487247.36, 1502487247.46
unit.000003, stage_1, 1502487103.01, 1502487118.49, 1502487118.49, 1502487121.16, 1502487121.17, 1502487122.26, 1502487122.27,1502487128.6, 1502487251.07, 1502487251.09, 1502487251.09, 1502487252.78, 1502487252.88
unit.000004, stage_1, 1502487103.01, 1502487118.58, 1502487118.58, 1502487121.17, 1502487121.17, 1502487122.27, 1502487122.27,1502487128.67, 1502487253.61, 1502487253.63, 1502487253.63, 1502487255.81, 1502487255.91
unit.000005, stage_1, 1502487103.01, 1502487118.69, 1502487118.69, 1502487121.18, 1502487121.18, 1502487122.28, 1502487122.28,1502487128.73, 1502487243.22, 1502487243.35, 1502487243.35, 1502487247.56, 1502487247.66
unit.000006, stage_1, 1502487103.01, 1502487118.78, 1502487118.78, 1502487121.18, 1502487121.19, 1502487122.28, 1502487122.29,1502487128.83, 1502487243.25, 1502487243.38, 1502487243.39, 1502487247.56, 1502487247.67
unit.000007, stage_1, 1502487103.01, 1502487117.55, 1502487117.55, 1502487121.13, 1502487121.13, 1502487122.23, 1502487122.23,1502487128.24, 1502487243.22, 1502487243.33, 1502487243.34, 1502487246.96, 1502487247.06
unit.000008, stage_1, 1502487103.01, 1502487117.89, 1502487117.89, 1502487121.14, 1502487121.14, 1502487122.24, 1502487122.24,1502487128.34, 1502487243.25, 1502487243.38, 1502487243.38, 1502487247.11, 1502487247.22
unit.000009, stage_1, 1502487103.01, 1502487110.19, 1502487110.19, 1502487120.64, 1502487120.64, 1502487121.65, 1502487121.66,1502487123.49, 1502487237.67, 1502487237.67, 1502487237.69, 1502487237.9, 1502487238.01
unit.000010, stage_1, 1502487103.01, 1502487106.54, 1502487106.54, 1502487120.41, 1502487120.42, 1502487121.23, 1502487121.24,1502487122.31, 1502487143.51, 1502487143.91, 1502487143.98, 1502487145.42, 1502487145.52
unit.000011, stage_1, 1502487103.01, 1502487106.75, 1502487106.75, 1502487120.43, 1502487120.43, 1502487121.25, 1502487121.25,1502487122.32, 1502487155.5, 1502487155.55, 1502487155.55, 1502487156.87, 1502487156.97
unit.000012, stage_1, 1502487103.01, 1502487107.02, 1502487107.02, 1502487120.44, 1502487120.45, 1502487121.27, 1502487121.27,1502487122.33, 1502487155.49, 1502487155.53, 1502487155.53, 1502487157.48, 1502487157.58
unit.000013, stage_1, 1502487103.01, 1502487107.42, 1502487107.42, 1502487120.47, 1502487120.47, 1502487121.3, 1502487121.3,1502487122.35, 1502487155.51, 1502487155.56, 1502487155.56, 1502487157.68, 1502487157.78
unit.000014, stage_1, 1502487103.01, 1502487107.63, 1502487107.63, 1502487120.48, 1502487120.48, 1502487121.31, 1502487121.31,1502487122.35, 1502487174.73, 1502487174.76, 1502487174.77, 1502487176.64, 1502487176.74
unit.000015, stage_1, 1502487103.01, 1502487107.96, 1502487107.96, 1502487120.5, 1502487120.5, 1502487121.33, 1502487121.33,1502487122.36, 1502487174.73, 1502487174.77, 1502487174.77, 1502487177.12, 1502487177.22
unit.000016, stage_1, 1502487103.01, 1502487108.16, 1502487108.16, 1502487120.51, 1502487120.52, 1502487121.34, 1502487121.35,1502487122.46, 1502487176.53, 1502487176.57, 1502487176.57, 1502487177.32, 1502487177.43
unit.000017, stage_1, 1502487103.01, 1502487108.44, 1502487108.44, 1502487120.53, 1502487120.53, 1502487121.36, 1502487121.37,1502487122.6, 1502487176.52, 1502487176.55, 1502487176.55, 1502487177.66, 1502487177.77
unit.000018, stage_1, 1502487103.01, 1502487108.65, 1502487108.65, 1502487120.54, 1502487120.55, 1502487121.38, 1502487121.54,1502487122.69, 1502487179.21, 1502487179.22, 1502487179.23, 1502487179.94, 1502487180.04
unit.000019, stage_1, 1502487103.01, 1502487108.97, 1502487108.97, 1502487120.56, 1502487120.57, 1502487121.56, 1502487121.56,1502487122.85, 1502487224.61, 1502487224.64, 1502487224.65, 1502487226.11, 1502487226.21
unit.000020, stage_1, 1502487103.01, 1502487109.18, 1502487109.18, 1502487120.57, 1502487120.58, 1502487121.57, 1502487121.58,1502487122.95, 1502487177.45, 1502487177.47, 1502487177.47, 1502487178.07, 1502487178.17
unit.000021, stage_1, 1502487103.01, 1502487109.45, 1502487109.45, 1502487120.59, 1502487120.6, 1502487121.6, 1502487121.6,1502487123.11, 1502487179.31, 1502487179.31, 1502487179.32, 1502487180.35, 1502487180.45
unit.000022, stage_1, 1502487103.01, 1502487109.66, 1502487109.66, 1502487120.61, 1502487120.61, 1502487121.61, 1502487121.62,1502487123.23, 1502487224.66, 1502487224.68, 1502487224.68, 1502487226.36, 1502487226.46
unit.000023, stage_1, 1502487103.01, 1502487109.98, 1502487109.98, 1502487120.62, 1502487120.63, 1502487121.64, 1502487121.64,1502487123.39, 1502487228.4, 1502487228.43, 1502487228.45, 1502487229.83, 1502487229.93
unit.000024, stage_1, 1502487103.01, 1502487110.26, 1502487110.26, 1502487120.64, 1502487120.65, 1502487121.66, 1502487121.67,1502487123.55, 1502487237.69, 1502487237.72, 1502487237.72, 1502487238.11, 1502487238.21
unit.000025, stage_1, 1502487103.01, 1502487110.59, 1502487110.59, 1502487120.66, 1502487120.67, 1502487121.69, 1502487121.7,1502487123.71, 1502487241.77, 1502487242.01, 1502487242.01, 1502487243.05, 1502487243.15
unit.000026, stage_1, 1502487103.02, 1502487110.8, 1502487110.8, 1502487120.67, 1502487120.68, 1502487121.71, 1502487121.72,1502487123.85, 1502487241.7, 1502487241.77, 1502487241.79, 1502487242.51, 1502487242.61
unit.000027, stage_1, 1502487103.02, 1502487111.07, 1502487111.07, 1502487120.69, 1502487120.7, 1502487121.74, 1502487121.74,1502487124.02, 1502487228.52, 1502487228.57, 1502487228.57, 1502487230.08, 1502487230.18
unit.000028, stage_1, 1502487103.02, 1502487111.27, 1502487111.27, 1502487120.71, 1502487120.71, 1502487121.75, 1502487121.76,1502487124.11, 1502487243.15, 1502487243.16, 1502487243.19, 1502487244.05, 1502487244.15
unit.000029, stage_1, 1502487103.02, 1502487111.61, 1502487111.61, 1502487120.72, 1502487120.73, 1502487121.77, 1502487121.78,1502487124.27, 1502487237.68, 1502487237.7, 1502487237.71, 1502487238.52, 1502487238.62
unit.000030, stage_1, 1502487103.02, 1502487111.81, 1502487111.81, 1502487120.74, 1502487120.74, 1502487121.79, 1502487121.79,1502487124.38, 1502487228.53, 1502487228.58, 1502487228.58, 1502487230.28, 1502487230.38
unit.000031, stage_1, 1502487103.02, 1502487112.08, 1502487112.08, 1502487120.76, 1502487120.76, 1502487121.81, 1502487121.81,1502487124.55, 1502487241.58, 1502487241.62, 1502487241.62, 1502487242.92, 1502487243.02
unit.000032, stage_1, 1502487103.02, 1502487112.28, 1502487112.28, 1502487120.77, 1502487120.77, 1502487121.82, 1502487121.83,1502487124.69, 1502487237.68, 1502487237.71, 1502487237.71, 1502487238.72, 1502487238.82
unit.000033, stage_1, 1502487103.02, 1502487112.61, 1502487112.61, 1502487120.79, 1502487120.79, 1502487121.84, 1502487121.85,1502487124.85, 1502487228.56, 1502487228.61, 1502487228.62, 1502487230.88, 1502487230.98
unit.000034, stage_1, 1502487103.02, 1502487112.88, 1502487112.88, 1502487120.81, 1502487120.81, 1502487121.87, 1502487121.87,1502487125.03, 1502487228.44, 1502487228.47, 1502487228.47, 1502487231.08, 1502487231.19
unit.000035, stage_1, 1502487103.02, 1502487113.22, 1502487113.22, 1502487120.82, 1502487120.83, 1502487121.89, 1502487121.89,1502487125.18, 1502487243.26, 1502487243.39, 1502487243.39, 1502487244.34, 1502487244.44
unit.000036, stage_1, 1502487103.02, 1502487113.43, 1502487113.43, 1502487120.84, 1502487120.84, 1502487121.9, 1502487121.91,1502487125.42, 1502487241.78, 1502487242.02, 1502487242.03, 1502487243.32, 1502487243.42
unit.000037, stage_1, 1502487103.02, 1502487105.94, 1502487105.94, 1502487120.38, 1502487120.38, 1502487121.19, 1502487121.19,1502487122.29, 1502487143.5, 1502487143.75, 1502487143.83, 1502487144.79, 1502487144.92
unit.000038, stage_1, 1502487103.02, 1502487106.0, 1502487106.0, 1502487120.38, 1502487120.39, 1502487121.2, 1502487121.2,1502487122.3, 1502487143.39, 1502487143.59, 1502487143.67, 1502487144.79, 1502487144.92
unit.000039, stage_1, 1502487103.02, 1502487106.2, 1502487106.2, 1502487120.39, 1502487120.4, 1502487121.21, 1502487121.21,1502487122.3, 1502487143.42, 1502487143.67, 1502487143.75, 1502487145.02, 1502487145.13
unit.000040, stage_1, 1502487103.02, 1502487106.34, 1502487106.34, 1502487120.4, 1502487120.4, 1502487121.22, 1502487121.22,1502487122.31, 1502487143.5, 1502487143.83, 1502487143.9, 1502487145.22, 1502487145.32
unit.000041, stage_1, 1502487103.02, 1502487106.61, 1502487106.61, 1502487120.42, 1502487120.42, 1502487121.24, 1502487121.24,1502487122.32, 1502487155.46, 1502487155.49, 1502487155.51, 1502487156.67, 1502487156.77
unit.000042, stage_1, 1502487103.02, 1502487106.81, 1502487106.81, 1502487120.43, 1502487120.44, 1502487121.25, 1502487121.26,1502487122.32, 1502487155.49, 1502487155.52, 1502487155.53, 1502487157.07, 1502487157.18
unit.000043, stage_1, 1502487103.02, 1502487107.15, 1502487107.15, 1502487120.45, 1502487120.45, 1502487121.27, 1502487121.28,1502487122.34, 1502487176.51, 1502487176.52, 1502487176.53, 1502487176.84, 1502487176.94
